"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,175,0,75,0,0,0,0,0
30,0,120.112035025072,46.6095831393972,24.8425389310898,0,0,0,0,0
60,0,155.3837074365,53.1951210301898,22.0055585673254,0,0,0,0,0
90,0,176.586964719149,48.7105866866414,16.3608413279376,0,0,0,0,0
120,0,191.945740623155,40.7524305321661,10.9601841058821,0,0,0,0,0
150,0,205.467689125461,32.1349559883092,6.65972244747391,0,0,0,0,0
180,0,217.368261150323,23.9323902128632,3.66734780064917,0,0,0,0,0
210,0,227.236563502549,16.850637328151,1.82981061742887,0,0,0,0,0
240,0,234.84277736839,11.2658621085444,0.831556490329886,0,0,0,0,0
270,0,240.306478551642,7.20720590699033,0.347887487517493,0,0,0,0,0
300,0,243.998610445032,4.45362609137252,0.13589837109496,0,0,0,0,0
330,0,246.374150802046,2.68323048935061,0.0503340880955725,0,0,0,0,0
360,0,247.847118176464,1.58875340502441,0.0179302173228276,0,0,0,0,0
390,0,248.736669927151,0.930126531775749,0.00621687614616368,0,0,0,0,0
420,0,249.264328326551,0.540697505741338,0.00211734227573992,0,0,0,0,0
450,0,249.573664418825,0.312967749638199,0.000712958623877751,0,0,0,0,0
480,0,249.75366421542,0.180689564023623,0.000238387726535829,0,0,0,0,0
510,0,249.857923010074,0.104162961334609,7.93708329129796e-05,0,0,0,0,0
540,0,249.918142985185,0.0599947099500359,2.63599453703194e-05,0,0,0,0,0
570,0,249.952868133426,0.0345375862102052,8.74151008930452e-06,0,0,0,0,0
600,0,249.9728722689,0.0198766653938117,2.89637482702072e-06,0,0,0,0,0
630,0,249.984389411659,0.0114372482074831,9.59194104507681e-07,0,0,0,0,0
660,0,249.991018039522,0.00658047440785783,3.17565338995584e-07,0,0,0,0,0
690,0,249.994832365099,0.00378589419330027,1.05120521431156e-07,0,0,0,0,0
720,0,249.997027002778,0.00217803925011497,3.47936770951474e-08,0,0,0,0,0
750,0,249.998289642864,0.00125301091201172,1.15156698060222e-08,0,0,0,0,0
780,0,249.999016049787,0.000720840794014427,3.81122242462135e-09,0,0,0,0,0
810,0,249.999433948429,0.000414687730045392,1.26133792739139e-09,0,0,0,0,0
840,0,249.999674360639,0.000238562114819221,4.17439989362968e-10,0,0,0,0,0
870,0,249.999812665983,0.000137240054429095,1.38150996173727e-10,0,0,0,0,0
900,0,249.999892230531,7.895138954328e-05,4.57206588837501e-11,0,0,0,0,0
930,0,249.99993800246,4.54190850661037e-05,1.5131084998964e-11,0,0,0,0,0
960,0,249.999964334119,2.61286406704755e-05,5.00757152830492e-12,0,0,0,0,0
990,0,249.999979482174,1.50312519484223e-05,1.65723449482223e-12,0,0,0,0,0
