"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,150,0,0,0,100,0,0,0,0
30,96.0032444919654,0,0,0,64.0021629946435,0,0,0,0
60,119.763409465,0,0,0,71.5549854995569,0,0,0,0
90,133.712461358852,0,0,0,71.7938077573572,0,0,0,0
120,144.554827319682,0,0,0,68.0382537931623,0,0,0,0
150,155.80271134094,0,0,0,62.5903805163351,0,0,0,0
180,168.120191470082,0,0,0,55.8247519084961,0,0,0,0
210,181.321083508611,0,0,0,47.9603634860609,0,0,0,0
240,194.801312304251,0,0,0,39.3819388607992,0,0,0,0
270,207.720743365746,0,0,0,30.7009555308382,0,0,0,0
300,219.224825796261,0,0,0,22.635541176027,0,0,0,0
330,228.696700260397,0,0,0,15.7900430802694,0,0,0,0
360,235.916906708238,0,0,0,10.4712849853106,0,0,0,0
390,241.04770878317,0,0,0,6.65490970276383,0,0,0,0
420,244.483447976563,0,0,0,4.09205569013661,0,0,0,0
450,246.678428510221,0,0,0,2.45685334296679,0,0,0,0
480,248.032424011383,0,0,0,1.45137334303444,0,0,0,0
510,248.847203063719,0,0,0,0.848460542350955,0,0,0,0
540,249.329360138716,0,0,0,0.492783050916129,0,0,0,0
570,249.611590590817,0,0,0,0.28508105851871,0,0,0,0
600,249.775661726821,0,0,0,0.164537391148651,0,0,0,0
630,249.870639238037,0,0,0,0.0948341357317513,0,0,0,0
660,249.925479226836,0,0,0,0.0546157362245039,0,0,0,0
690,249.957095538176,0,0,0,0.0314390851874424,0,0,0,0
720,249.97530655446,0,0,0,0.0180928054308544,0,0,0,0
750,249.98579058765,0,0,0,0.0104105813090993,0,0,0,0
780,249.991824366707,0,0,0,0.00598970569300076,0,0,0,0
810,249.995296314407,0,0,0,0.00344598818501258,0,0,0,0
840,249.997293931585,0,0,0,0.00198248224246451,0,0,0,0
870,249.998443210803,0,0,0,0.00114050573804841,0,0,0,0
900,249.999104397285,0,0,0,0.000656117184404319,0,0,0,0
930,249.999484773896,0,0,0,0.000377453030321486,0,0,0,0
960,249.999703599787,0,0,0,0.000217141593151916,0,0,0,0
990,249.999829486753,0,0,0,0.000124917222079388,0,0,0,0
