"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,0,0,0,0,0,0,0,0
30,211.074940123261,0,0,0,0,0,0,0,0
60,243.553237066239,0,0,0,0,0,0,0,0
90,248.585967990154,0,0,0,0,0,0,0,0
120,197.668279176935,0,0,0,90.435870061745,0,0,0,0
150,102.857849898973,0,0,0,149.364778460456,0,0,0,0
180,43.5955302117315,0,0,0,150.863111302597,0,0,0,0
210,20.7602547763039,0,0,0,77.1729742623148,0,0,0,0
240,12.3041003965299,0,0,0,60.6479737625825,0,0,0,0
270,8.09287411111106,0,0,0,48.853589200285,0,0,0,0
300,5.12951421452805,0,0,0,39.6470912142791,0,0,0,0
330,3.12582217477167,0,0,0,31.0740325252911,0,0,0,0
360,1.81716894661031,0,0,0,23.5523605755895,0,0,0,0
390,1.01070452441155,0,0,0,17.204471046222,0,0,0,0
420,0.538527369506681,0,0,0,12.1156539559835,0,0,0,0
450,0.27505207796234,0,0,0,8.21009600419061,0,0,0,0
480,0.13441410227564,0,0,0,5.33438388844417,0,0,0,0
510,0.062522490943893,0,0,0,3.29964117872584,0,0,0,0
540,0.0274066974805249,0,0,0,1.91997356681508,0,0,0,0
570,0.01113849012668,0,0,0,1.03144379223724,0,0,0,0
600,0.00409934119619821,0,0,0,0.498166543306385,0,0,0,0
630,0.00132752983048231,0,0,0,0.209420749069704,0,0,0,0
660,0.00036852538636657,0,0,0,0.0743711433951724,0,0,0,0
690,8.6577845549284e-05,0,0,0,0.0219656697031701,0,0,0,0
720,1.72943139576435e-05,0,0,0,0.00541533209284773,0,0,0,0
750,2.98655772841998e-06,0,0,0,0.0011336513316282,0,0,0,0
780,4.55012754821146e-07,0,0,0,0.000205923856084422,0,0,0,0
810,6.23403441701187e-08,0,0,0,3.31370460041544e-05,0,0,0,0
840,7.80804361078012e-09,0,0,0,4.80980876698617e-06,0,0,0,0
870,9.06322811673514e-10,0,0,0,6.39338819835713e-07,0,0,0,0
900,9.86043495452964e-11,0,0,0,7.88147747118422e-08,0,0,0,0
930,1.0149135180176e-11,0,0,0,9.10583360110453e-09,0,0,0,0
960,9.95930534802782e-13,0,0,0,9.94645122679027e-10,0,0,0,0
990,9.37722727676949e-14,0,0,0,1.03473412860857e-10,0,0,0,0
