"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,225,0,25,0,0,0,0,0
30,0,171.155609605447,6.26218398822753,1.62233443330652,0,0,11.1327715346267,0,0
60,0,204.002968274144,3.52159021554584,0.165532770268956,0,0,24.7340166346912,0.428104405918526,0.64554280777351
90,0,216.661852737989,1.57678432979168,0.0252037841937045,0,0,27.0652506425116,0.224866330703655,0.82852229320946
120,0,210.781246588198,2.15181546505572,8.60042530570822,0,0,35.1324084151614,2.10098857069356,1.76948407633959
150,0,190.619640099779,5.40027279855209,9.5936008603052,0,0,50.3137401806837,3.98846289304393,3.52063741114726
180,0,169.313219339963,6.77370861345226,9.86901418975696,0,0,65.7078177484485,5.75972521625671,6.40313536884367
210,0,155.727652211424,6.22520668266162,1.18090368820557,0,0,76.3532623286993,4.02016850295299,8.98902343187142
240,0,152.955406283496,3.27871522592218,0.172036451851562,0,0,81.0823420792279,1.99597249000374,10.6266292401775
270,0,152.319428072398,1.5826588080809,0.0306949771533489,0,0,83.50544920801,0.960839543306316,11.4222145288092
300,0,152.133956785327,0.749526268555278,0.00617815413496039,0,0,84.7260202378036,0.45691192048419,11.7923776270767
330,0,152.071431149979,0.353139378398604,0.00131610478978713,0,0,85.3180427123894,0.216132620611723,11.9659783121907
360,0,152.046776548135,0.166130217375985,0.00028688222374055,0,0,85.6002437690417,0.101934265770158,12.0478009788674
390,0,152.036173393636,0.0781182380958046,6.30771056267608e-05,0,0,85.7336162961333,0.0479965743124759,12.0863267826254
420,0,152.031362866672,0.0367272259810592,1.39129216422298e-05,0,0,85.7964607498387,0.0225806971321732,12.1044579142968
450,0,152.029136427473,0.0172662251741308,3.07237094625636e-06,0,0,85.8260297414491,0.0106190787677399,12.1129849478301
480,0,152.028095488113,0.0081169968533175,6.78767887675434e-07,0,0,85.8399354065693,0.00499288280173883,12.1169944072962
510,0,152.027607233075,0.00381582340389522,1.49983763192121e-07,0,0,85.8464733510473,0.00234733819381545,12.1188793952636
540,0,152.027377858911,0.00179381977311801,3.31434630648132e-08,0,0,85.8495470106905,0.00110352198294957,12.1197655596631
570,0,152.02727005598,0.000843273105067793,7.32427253018732e-09,0,0,85.8509919620971,0.000518773024607746,12.1201821492805
600,0,152.027219379979,0.000396421479052989,1.6185896814053e-09,0,0,85.85167123665,0.000243876291999459,12.1203779884924
630,0,152.027195557301,0.000186357065961342,3.57693929604029e-10,0,0,85.8519905631135,0.000114646237651868,12.1204700523082
660,0,152.027184358154,8.760611821997e-05,7.90473879191371e-11,0,0,85.8521406779996,5.38950777621852e-05,12.1205133313693
690,0,152.027179093403,4.11834719943543e-05,1.74688375852298e-11,0,0,85.8522112467287,2.53359948709394e-05,12.1205336767775
720,0,152.027176618436,1.93602718857282e-05,3.8604749299046e-12,0,0,85.8522444209522,1.19104073993236e-05,12.1205432411156
750,0,152.027175454953,9.10122675835905e-06,8.5313464880838e-13,0,0,85.85226001609,5.59906069007166e-06,12.1205477372926
780,0,152.027174908001,4.27846922497925e-06,1.88536082238001e-13,0,0,85.852267347334,2.63210789424613e-06,12.1205498509368
810,0,152.027174650879,2.01130015604752e-06,4.16650014299049e-14,0,0,85.8522707937375,1.23734890735358e-06,12.1205508445568
840,0,152.027174530007,9.4550833337624e-07,9.20764010093822e-15,0,0,85.8522724138852,5.81675350986131e-07,12.1205513116557
870,0,152.027174473185,4.44481647660121e-07,2.0348166182583e-15,0,0,85.8522731755135,2.73444465231873e-07,12.120551531238
900,0,152.027174446473,2.08949966922131e-07,4.49678598354184e-16,0,0,85.8522735335535,1.28545717225408e-07,12.1205516344632
930,0,152.027174433916,9.82269771852472e-08,9.93754624237316e-17,0,0,85.8522737018674,6.04290943076566e-08,12.1205516829892
960,0,152.027174428013,4.61763128644968e-08,2.19612020254861e-17,0,0,85.8522737809914,2.84076009185693e-08,12.1205517058011
990,0,152.027174425238,2.17073957758126e-08,4.85325434409152e-18,0,0,85.8522738181875,1.33543585050745e-08,12.120551716525
