"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,138.097806149441,0,0,0,13.0579780517546,39.1739341552637,0,0,0
60,181.795614684553,0,0,0,7.53798885192628,39.2395536878447,0,0,0
90,191.806823579926,0,0,0,3.1821242940963,48.531553595171,0,0,0
120,172.288563991467,0,0,0,26.6736546272389,64.1896840336209,0,0,0
150,136.860789083946,0,0,0,35.9620002677158,90.413807489522,0,0,0
180,108.049639796681,0,0,0,40.2983872611006,114.52180142797,0,0,0
210,98.2587816695905,0,0,0,19.291316601822,127.951533767007,0,0,0
240,97.8710255040954,0,0,0,10.0939880594734,138.087572700584,0,0,0
270,98.607587321413,0,0,0,4.95337510220553,144.242086491523,0,0,0
300,99.0617613562778,0,0,0,2.41596978432221,147.433635716337,0,0,0
330,99.2969629683739,0,0,0,1.1733607944808,149.005637259227,0,0,0
360,99.4109075671077,0,0,0,0.568753343758248,149.769255635706,0,0,0
390,99.4655337006964,0,0,0,0.275442053788849,150.138501843478,0,0,0
420,99.4917243259896,0,0,0,0.13333766276331,150.316928220179,0,0,0
450,99.5043133271317,0,0,0,0.0645338980090272,150.403171975841,0,0,0
480,99.5103804885589,0,0,0,0.0312306478670011,150.444873716245,0,0,0
510,99.5133093098449,0,0,0,0.0151131112580844,150.465044172801,0,0,0
540,99.5147247025838,0,0,0,0.00731336104097818,150.474802127043,0,0,0
570,99.5154091151019,0,0,0,0.0035389582283333,150.479523331088,0,0,0
600,99.5157401765322,0,0,0,0.00171250394617613,150.481807742775,0,0,0
630,99.5159003448385,0,0,0,0.000828679553449766,150.482913122513,0,0,0
660,99.5159778421589,0,0,0,0.000400997008413682,150.483448002945,0,0,0
690,99.5160153410272,0,0,0,0.000194041839911699,150.48370682795,0,0,0
720,99.516033486188,0,0,0,9.38965229789886e-05,150.483832072244,0,0,0
750,99.5160422664828,0,0,0,4.54363646801377e-05,150.483892677573,0,0,0
780,99.5160465152237,0,0,0,2.19865766156395e-05,150.483922004343,0,0,0
810,99.5160485711751,0,0,0,1.0639265243534e-05,150.483936195505,0,0,0
840,99.5160495660447,0,0,0,5.14832141071561e-06,150.483943062581,0,0,0
870,99.51605004746,0,0,0,2.49126349792257e-06,150.483946385546,0,0,0
900,99.5160502804157,0,0,0,1.20551793449878e-06,150.483947993522,0,0,0
930,99.5160503931425,0,0,0,5.83347963399037e-07,150.483948771619,0,0,0
960,99.5160504476909,0,0,0,2.82281031554529e-07,150.483949148139,0,0,0
990,99.5160504740868,0,0,0,1.36595284018621e-07,150.483949330336,0,0,0
