"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,69.7724134974914,0,0,0,124.947828050328,0,0,0,0
60,81.3051249367061,0,0,0,79.56859803998,0,0,0,0
90,81.7956301934701,0,0,0,90.0643496483809,0,0,0,0
120,59.6291313060506,0,0,0,124.553426507225,0,0,0,0
150,27.9011920644441,0,0,0,119.937491313705,0,0,0,0
180,9.61622744399668,0,0,0,97.8606185440209,0,0,0,0
210,3.662346125319,0,0,0,35.8395071770406,0,0,0,0
240,1.67388029648415,0,0,0,24.1578374574206,0,0,0,0
270,0.879902208154499,0,0,0,16.0005853855799,0,0,0,0
300,0.45508323846829,0,0,0,11.0824593802502,0,0,0,0
330,0.22865593591676,0,0,0,7.36191465650352,0,0,0,0
360,0.110145017871075,0,0,0,4.72081930883316,0,0,0,0
390,0.0504498497058756,0,0,0,2.87370952412833,0,0,0,0
420,0.0217057249600409,0,0,0,1.63982972263654,0,0,0,0
450,0.00861090558099486,0,0,0,0.858518231832508,0,0,0,0
480,0.00307082577273101,0,0,0,0.40076222228405,0,0,0,0
510,0.000956216672308135,0,0,0,0.161416784667184,0,0,0,0
540,0.000253940006839398,0,0,0,0.0545938348441485,0,0,0,0
570,5.70511268107136e-05,0,0,0,0.0153439125421075,0,0,0,0
600,1.09381934262939e-05,0,0,0,0.00361297242124193,0,0,0,0
630,1.82275921201913e-06,0,0,0,0.000726494540377416,0,0,0,0
660,2.69417637486765e-07,0,0,0,0.000127492444661843,0,0,0,0
690,3.59794407096568e-08,0,0,0,1.99225345446968e-05,0,0,0,0
720,4.40978741776179e-09,0,0,0,2.82031313164045e-06,0,0,0,0
750,5.025278252563e-10,0,0,0,3.66955010194321e-07,0,0,0,0
780,5.38194680231858e-11,0,0,0,4.44130402197496e-08,0,0,0,0
810,5.4651290488656e-12,0,0,0,5.05048747373705e-09,0,0,0,0
840,5.30060924507406e-13,0,0,0,5.44128919515354e-10,0,0,0,0
870,4.94037802158634e-14,0,0,0,5.59299031322302e-11,0,0,0,0
900,4.44745336437034e-15,0,0,0,5.5169948473141e-12,0,0,0,0
930,3.88357655941004e-16,0,0,0,5.24833708938256e-13,0,0,0,0
960,3.30129276421097e-17,0,0,0,4.83524773355437e-14,0,0,0,0
990,2.74026703848927e-18,0,0,0,4.32953442196501e-15,0,0,0,0
