"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,75,0,175,0,0,0,0,0
30,0,58.4160724643458,124.947828050328,11.3563410331457,0,0,0,0,0
60,0,80.6344992320683,79.5685980399801,101.635897666853,0,0,0,0,0
90,0,81.7560277515913,90.0643496483808,91.3049519937721,0,0,0,0,0
120,0,59.6267926641048,71.4777069396629,244.803758858533,0,0,0,0,0
150,0,27.9010539606836,63.7274926918012,335.365254809336,0,0,0,0,0
180,0,9.61621928855898,41.4655314245799,404.657594734506,0,0,0,0,0
210,0,3.66234564371616,32.5092095990445,317.569023452258,0,0,0,0,0
240,0,1.67388026804407,23.9611734832252,259.28727083458,0,0,0,0,0
270,0,0.879902206475028,15.9889717931484,234.900291790165,0,0,0,0,0
300,0,0.455083238369112,11.0817735630856,210.302318161488,0,0,0,0,0
330,0,0.228655935910904,7.36187415696077,185.571537499428,0,0,0,0,0
360,0,0.11014501787073,4.72081691721475,157.391056645867,0,0,0,0,0
390,0,0.0504498497058552,2.87370938289615,127.151844810669,0,0,0,0,0
420,0,0.0217057249600398,1.63982971429637,96.0926797246442,0,0,0,0,0
450,0,0.0086109055809948,0.858518231339996,66.3795587273065,0,0,0,0,0
480,0,0.00307082577273101,0.400762222254966,40.5940967299437,0,0,0,0,0
510,0,0.000956216672308134,0.161416784665467,21.1896783840063,0,0,0,0,0
540,0,0.000253940006839398,0.0545938348440471,9.15467964164423,0,0,0,0,0
570,0,5.70511268107136e-05,0.0153439125421015,3.2310441159988,0,0,0,0,0
600,0,1.09381934262939e-05,0.00361297242124158,0.938280794099454,0,0,0,0,0
630,0,1.82275921201913e-06,0.000726494540377395,0.228614424513173,0,0,0,0,0
660,0,2.69417637486765e-07,0.000127492444661842,0.0478232004479215,0,0,0,0,0
690,0,3.59794407096568e-08,1.99225345446968e-05,0.00877660329040031,0,0,0,0,0
720,0,4.40978741776179e-09,2.82031313164045e-06,0.001439871443896,0,0,0,0,0
750,0,5.02527825256301e-10,3.66955010194321e-07,0.000214550908883743,0,0,0,0,0
780,0,5.38194680231858e-11,4.44130402197496e-08,2.94263830868297e-05,0,0,0,0,0
810,0,5.4651290488656e-12,5.05048747373705e-09,3.7566030094015e-06,0,0,0,0,0
840,0,5.30060924507407e-13,5.44128919515354e-10,4.50583838672807e-07,0,0,0,0,0
870,0,4.94037802158635e-14,5.59299031322301e-11,5.11799941006452e-08,0,0,0,0,0
900,0,4.44745336437035e-15,5.5169948473141e-12,5.54187400246356e-09,0,0,0,0,0
930,0,3.88357655941004e-16,5.24833708938256e-13,5.75294958692269e-10,0,0,0,0,0
960,0,3.30129276421098e-17,4.83524773355437e-14,5.75284157887206e-11,0,0,0,0,0
990,0,2.74026703848927e-18,4.32953442196501e-15,5.56429132790471e-12,0,0,0,0,0
