"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,225,0,25,0,0,0,0,0
30,0,179.362813189781,28.3472178888582,47.2575457838819,0,0,0,0,0
60,0,170.218340171663,56.5721294390978,23.2833741460842,0,0,0,0,0
90,0,180.607962390532,49.0753322113571,16.4189390664661,0,0,0,0,0
120,0,193.391745167852,40.4772415590159,10.7590404870978,0,0,0,0,0
150,0,206.260145152168,31.7440295819947,6.48843318500056,0,0,0,0,0
180,0,217.937843719991,23.5611954754386,3.55390745927914,0,0,0,0,0
210,0,227.668144605494,16.5432583738157,1.76466328163848,0,0,0,0,0
240,0,235.157865409237,11.034159614838,0.79848195653188,0,0,0,0,0
270,0,240.523948574218,7.04546093541999,0.332820934506688,0,0,0,0,0
300,0,244.141114184811,4.34740074066499,0.129630410134221,0,0,0,0,0
330,0,246.463744439973,2.61657322879636,0.0479064746265239,0,0,0,0,0
360,0,247.901756658837,1.54823982003626,0.0170386804755053,0,0,0,0,0
390,0,248.769292954147,0.906019406467709,0.00590150353133126,0,0,0,0,0
420,0,249.283534317875,0.526544897899707,0.00200855651188244,0,0,0,0,0
450,0,249.584869816698,0.30472773913773,0.000676038464165154,0,0,0,0,0
480,0,249.760165084935,0.175915840132469,0.000225984057500438,0,0,0,0,0
510,0,249.861681579441,0.101405500267557,7.52293426062993e-05,0,0,0,0,0
540,0,249.920311575301,0.0584046464014703,2.49822191982472e-05,0,0,0,0,0
570,0,249.954117819781,0.0336216070039223,8.2841836609803e-06,0,0,0,0,0
600,0,249.973591904084,0.0193493072535323,2.74476090692842e-06,0,0,0,0,0
630,0,249.984803641623,0.0111337327906079,9.08967691032515e-07,0,0,0,0,0
660,0,249.991256416737,0.00640582291037716,3.00933497988583e-07,0,0,0,0,0
690,0,249.994969524835,0.00368540583383441,9.96144512685337e-08,0,0,0,0,0
720,0,249.997105916603,0.00212022545212509,3.29711179433055e-08,0,0,0,0,0
750,0,249.998335043203,0.00121975021814534,1.09124354206873e-08,0,0,0,0,0
780,0,249.999042168592,0.000701706081689173,3.61157204172132e-09,0,0,0,0,0
810,0,249.999448974337,0.000403679758644463,1.19526212181191e-09,0,0,0,0,0
840,0,249.999683004828,0.000232229404653403,3.95572041436853e-10,0,0,0,0,0
870,0,249.999817638834,0.00013359696204654,1.3091381059621e-10,0,0,0,0,0
900,0,249.999895091318,7.68555899483799e-05,4.33255285494422e-11,0,0,0,0,0
930,0,249.999939648213,4.42134142693413e-05,1.43384243347372e-11,0,0,0,0,0
960,0,249.999965280886,2.54350433625017e-05,4.74524348335485e-12,0,0,0,0,0
990,0,249.99998002683,1.46322400332278e-05,1.57041810690833e-12,0,0,0,0,0
