"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,200,0,0,0,50,0,0,0,0
30,159.335143375786,0,0,0,70.9829972413043,0,0,0,0
60,150.89013387745,0,0,0,69.0654055398352,0,0,0,0
90,159.492504973072,0,0,0,61.4686571014792,0,0,0,0
120,171.295540239579,0,0,0,54.1912168497326,0,0,0,0
150,184.448646970565,0,0,0,46.0632377950352,0,0,0,0
180,197.838352628022,0,0,0,37.3901853471722,0,0,0,0
210,210.496152465746,0,0,0,28.7847833728806,0,0,0,0
240,221.576462564049,0,0,0,20.9524097993498,0,0,0,0
270,230.538981559607,0,0,0,14.4402681689563,0,0,0,0
300,237.257596149544,0,0,0,9.47630805559878,0,0,0,0
330,241.962935142117,0,0,0,5.97235004141032,0,0,0,0
360,245.07677586538,0,0,0,3.64965912104109,0,0,0,0
390,247.048301388497,0,0,0,2.18184502691304,0,0,0,0
420,248.256611562436,0,0,0,1.28528336584373,0,0,0,0
450,248.9805024846,0,0,0,0.750033451096455,0,0,0,0
480,249.407624363035,0,0,0,0.435145561118953,0,0,0,0
510,249.657174526628,0,0,0,0.25157439599245,0,0,0,0
540,249.802079717202,0,0,0,0.145143454389096,0,0,0,0
570,249.885903492296,0,0,0,0.083637523775153,0,0,0,0
600,249.934282955432,0,0,0,0.048161318861121,0,0,0,0
630,249.962167706615,0,0,0,0.0277215920443843,0,0,0,0
660,249.978226996364,0,0,0,0.0159527493012891,0,0,0,0
690,249.987471499136,0,0,0,0.00917896823982957,0,0,0,0
720,249.992791639634,0,0,0,0.00528102454055402,0,0,0,0
750,249.995852858936,0,0,0,0.00303824593973269,0,0,0,0
780,249.997614130616,0,0,0,0.001747899263958,0,0,0,0
810,249.998627424684,0,0,0,0.00100554934965907,0,0,0,0
840,249.999210374975,0,0,0,0.000578477736544591,0,0,0,0
870,249.999545741714,0,0,0,0.000332788080648317,0,0,0,0
900,249.999738673639,0,0,0,0.000191446592986037,0,0,0,0
930,249.999849664112,0,0,0,0.000110135368884349,0,0,0,0
960,249.999913514841,0,0,0,6.33585997927524e-05,0,0,0,0
990,249.999950246893,0,0,0,3.64488722881692e-05,0,0,0,0
