"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,175,0,0,0,75,0,0,0,0
30,127.448284152376,0,0,0,42.755632856451,51.3921275802593,0,0,0
60,134.283214386671,0,0,0,19.5351257079437,76.8713610575233,0,0,0
90,140.396325713126,0,0,0,9.86890141272032,91.1407203456335,0,0,0
120,143.819849955513,0,0,0,4.59633250581416,97.8389370310832,0,0,0
150,145.29604905907,0,0,0,2.09905177900993,100.977522025413,0,0,0
180,145.952261481272,0,0,0,0.95150152751399,102.382379522458,0,0,0
210,146.239447196615,0,0,0,0.430035531884445,103.014258965966,0,0,0
240,146.366867764092,0,0,0,0.194113241686418,103.297886431223,0,0,0
270,146.423693751138,0,0,0,0.0875731571392125,103.425461371538,0,0,0
300,146.449163295106,0,0,0,0.0394987081544238,103.482896030238,0,0,0
330,146.460609943053,0,0,0,0.01781346584914,103.508772183554,0,0,0
360,146.465762391815,0,0,0,0.00803328485887879,103.520435204304,0,0,0
390,146.468083704672,0,0,0,0.00362266820626035,103.52569320489,0,0,0
420,146.469129982515,0,0,0,0.0016336527252537,103.528063970515,0,0,0
450,146.469601684694,0,0,0,0.000736697211947426,103.529132987557,0,0,0
480,146.469814371535,0,0,0,0.000332213636874389,103.529615042699,0,0,0
510,146.469910276559,0,0,0,0.000149811619666322,103.529832421078,0,0,0
540,146.469953523505,0,0,0,6.75574687784092e-05,103.529930446818,0,0,0
570,146.469973025387,0,0,0,3.04649984686678e-05,103.529974651253,0,0,0
600,146.46998181968,0,0,0,1.3738170966357e-05,103.529994585168,0,0,0
630,146.469985785446,0,0,0,6.19521890886052e-06,103.530003574344,0,0,0
660,146.469987573802,0,0,0,2.79372973209118e-06,103.530007628004,0,0,0
690,146.46998838026,0,0,0,1.25983050357365e-06,103.530009455999,0,0,0
720,146.469988743931,0,0,0,5.68119698251171e-07,103.530010280331,0,0,0
750,146.469988907928,0,0,0,2.56193186413116e-07,103.530010652064,0,0,0
780,146.469988981882,0,0,0,1.15530140781266e-07,103.530010819696,0,0,0
810,146.469989015232,0,0,0,5.20982373172708e-08,103.53001089529,0,0,0
840,146.469989030271,0,0,0,2.34936641887041e-08,103.530010929379,0,0,0
870,146.469989037053,0,0,0,1.05944516628391e-08,103.530010944751,0,0,0
900,146.469989040111,0,0,0,4.7775606704646e-09,103.530010951684,0,0,0
930,146.46998904149,0,0,0,2.1544376892803e-09,103.53001095481,0,0,0
960,146.469989042112,0,0,0,9.71542190067746e-10,103.530010956219,0,0,0
990,146.469989042393,0,0,0,4.38116280538377e-10,103.530010956855,0,0,0
