"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,0,0,0,250,0,0,0,0
30,40.4265954343012,0,0,0,60.9042621580495,94.1522089534789,0,0,0
60,46.2817256556039,0,0,0,51.1844361081579,120.021742493715,0,0,0
90,45.234789428803,0,0,0,32.9497219447907,155.735718975006,0,0,0
120,46.0849902944952,0,0,0,20.6620225390455,176.043820791693,0,0,0
150,46.0140541346004,0,0,0,12.6422757686396,188.070998414322,0,0,0
180,45.9153789796306,0,0,0,7.65315472448805,194.866709554459,0,0,0
210,45.7998896222905,0,0,0,4.61379270907272,198.791773412871,0,0,0
240,45.7158268576938,0,0,0,2.77624850752708,201.082470914187,0,0,0
270,45.6591815700999,0,0,0,1.66912815281959,202.434536990943,0,0,0
300,45.6231376721426,0,0,0,1.00308619030496,203.237872250241,0,0,0
330,45.6007468947181,0,0,0,0.602686495301637,203.717269070941,0,0,0
360,45.5870385710796,0,0,0,0.36206990671654,204.004095782176,0,0,0
390,45.5787113964569,0,0,0,0.217502284973092,204.175977457397,0,0,0
420,45.5736763669503,0,0,0,0.130652611539674,204.279074933985,0,0,0
450,45.5706400831384,0,0,0,0.0784805994608541,204.340949410114,0,0,0
480,45.5688120175762,0,0,0,0.0471411932817153,204.37809622297,0,0,0
510,45.5677124261008,0,0,0,0.0283162203505158,204.400402104451,0,0,0
540,45.5670513883839,0,0,0,0.0170085728424764,204.413797941208,0,0,0
570,45.566654128415,0,0,0,0.0102164307469355,204.421843419508,0,0,0
600,45.5664154375994,0,0,0,0.00613662740455299,204.426675707719,0,0,0
630,45.5662720392835,0,0,0,0.00368603842396783,204.42957816047,0,0,0
660,45.5661858961122,0,0,0,0.00221406153381982,204.431321509377,0,0,0
690,45.5661341498807,0,0,0,0.00132990111691922,204.432368656171,0,0,0
720,45.5661030667156,0,0,0,0.000798819974557342,204.432997631024,0,0,0
750,45.5660843958301,0,0,0,0.000479820083148896,204.433375429738,0,0,0
780,45.5660731807987,0,0,0,0.000288209234394095,204.433602357985,0,0,0
810,45.5660664443095,0,0,0,0.000173116052474636,204.433738664674,0,0,0
840,45.5660623979427,0,0,0,0.000103984061438907,204.433820538693,0,0,0
870,45.5660599674406,0,0,0,6.24591693626807e-05,204.433869717188,0,0,0
900,45.56605850753,0,0,0,3.75167861477366e-05,204.433899256778,0,0,0
930,45.5660576306179,0,0,0,2.25348695504614e-05,204.433917000053,0,0,0
960,45.5660571038906,0,0,0,1.35358167860694e-05,204.433927657745,0,0,0
990,45.5660567875059,0,0,0,8.13043693158957e-06,204.433934059404,0,0,0
