"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,167.25304869152,0,0,0,214.262280732365,0.0621161948392847,0,0,0
60,124.166845346913,0,0,0,287.552463652388,0.311242176884811,0,0,0
90,87.3275026701737,0,0,0,100.150774389295,0.569717795601331,0,0,0
120,71.9494861968194,0,0,0,95.410523086205,0.929875165568383,0,0,0
150,66.12983605984,0,0,0,90.7917677826132,1.64354037807232,0,0,0
180,61.5678593052813,0,0,0,90.1869139323922,2.77615410588152,0,0,0
210,56.993482623745,0,0,0,89.5789769834286,4.59286316591584,0,0,0
240,52.1009900427624,0,0,0,89.0125040588341,7.43459936745645,0,0,0
270,46.996768570436,0,0,0,88.3718001179268,11.7914715304686,0,0,0
300,41.8896417699362,0,0,0,87.8345698647917,18.2349630711788,0,0,0
330,37.0001202428199,0,0,0,87.5689394313164,27.2716545889141,0,0,0
360,32.4511938545887,0,0,0,87.5444208228012,39.0842612644112,0,0,0
390,28.2537602201287,0,0,0,87.4117211748418,53.3004242685341,0,0,0
420,24.3900688039518,0,0,0,86.6957360842184,69.008458111136,0,0,0
450,20.8800539796285,0,0,0,85.105045005377,85.0745347081408,0,0,0
480,17.7662976797854,0,0,0,82.6436858390232,100.527631644459,0,0,0
510,15.073598574009,0,0,0,79.5151385237224,114.756578080391,0,0,0
540,12.7925332409934,0,0,0,75.9811397086209,127.49655756101,0,0,0
570,10.8864686774587,0,0,0,72.2729609970487,138.720561442273,0,0,0
600,9.30547561474624,0,0,0,68.5607364990775,148.530493325889,0,0,0
630,7.9974296891712,0,0,0,64.9552837819744,157.081867668176,0,0,0
660,6.91426601091682,0,0,0,61.5212974047907,164.541128051918,0,0,0
690,6.01452868764276,0,0,0,58.2913862665587,171.064977866033,0,0,0
720,5.26378325989804,0,0,0,55.2773525365605,176.79223961232,0,0,0
750,4.6340236562128,0,0,0,52.4782412547213,181.842079295503,0,0,0
780,4.10272308899168,0,0,0,49.8857306984697,186.315121411798,0,0,0
810,3.65185001675503,0,0,0,47.4875993569837,190.295658209026,0,0,0
840,3.26698449672219,0,0,0,45.2698876451524,193.854089621756,0,0,0
870,2.9365764789685,0,0,0,43.2182050801173,197.049215251371,0,0,0
900,2.65134507847932,0,0,0,41.3184906728125,199.930239489173,0,0,0
930,2.40380143586577,0,0,0,39.5574294819485,202.538463027974,0,0,0
960,2.18787363843091,0,0,0,37.9226565168902,204.908682137478,0,0,0
990,1.99861327434598,0,0,0,36.4028317254909,207.070334205309,0,0,0
1020,1.83196614162475,0,0,0,34.9876390159596,209.048430875678,0,0,0
1050,1.68459290406327,0,0,0,33.6677424983321,210.864316910004,0,0,0
1080,1.55372846272858,0,0,0,32.4347205248163,212.536287610164,0,0,0
1110,1.43707130164932,0,0,0,31.2809901033693,214.080092096,0,0,0
1140,1.3326960611462,0,0,0,30.1997291972829,215.509344667336,0,0,0
1170,1.23898415218533,0,0,0,29.1848012400336,216.835862155567,0,0,0
1200,1.15456842853148,0,0,0,28.230684207789,218.069941600244,0,0,0
1230,1.07828885499476,0,0,0,27.3324053665763,219.220589697566,0,0,0
1260,1.00915681330659,0,0,0,26.4854820692871,220.295713156835,0,0,0
1290,0.946326223370551,0,0,0,25.6858685418058,221.302277263603,0,0,0
1320,0.88907006684106,0,0,0,24.9299083540402,222.246438491764,0,0,0
1350,0.836761212911959,0,0,0,24.2142921478963,223.133655853259,0,0,0
1380,0.788856686187666,0,0,0,23.5360201438782,223.968784759796,0,0,0
1410,0.744884701192473,0,0,0,22.8923689414922,224.756156445228,0,0,0
1440,0.704433930736017,0,0,0,22.2808621472545,225.499645419706,0,0,0
1470,0.667144586000886,0,0,0,21.6992443960955,226.202726966053,0,0,0
1500,0.632700972396641,0,0,0,21.1454583700473,226.868526319915,0,0,0
1530,0.60082525263129,0,0,0,20.6176244578649,227.499860879201,0,0,0
1560,0.571272201402577,0,0,0,20.114022738087,228.099276549617,0,0,0
1590,0.54382477788604,0,0,0,19.6330770045739,228.669079140149,0,0,0
1620,0.518290375294348,0,0,0,19.1733405870472,229.211361565725,0,0,0
1650,0.49449763311559,0,0,0,18.7334837493693,229.728027486723,0,0,0
1680,0.472293718676186,0,0,0,18.3122824752259,230.220811910748,0,0,0
1710,0.451542001549925,0,0,0,17.908608474695,230.691299196546,0,0,0
1740,0.432120057925494,0,0,0,17.5214202661278,231.140938829584,0,0,0
1770,0.413917953032626,0,0,0,17.1497552060998,231.571059280656,0,0,0
1800,0.39683675864395,0,0,0,16.7927223562153,231.982880210714,0,0,0
1830,0.380787269932585,0,0,0,16.4494960894951,232.37752324511,0,0,0
1860,0.36568889190273,0,0,0,16.1193103512376,232.756021506986,0,0,0
1890,0.351468670480685,0,0,0,15.8014534998125,233.11932807168,0,0,0
1920,0.338060447362482,0,0,0,15.4952636620412,233.468323480511,0,0,0
1950,0.325404121024663,0,0,0,15.200124545822,233.803822432632,0,0,0
1980,0.313444999047401,0,0,0,14.9154616596168,234.126579756958,0,0,0
