"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,152.838715678905,0,0,0,321.393421098547,0.0717193345745568,0,0,0
60,91.1474691032394,0,0,0,403.54484012055,0.284429309451495,0,0,0
90,48.9314600137738,0,0,0,101.894581765512,0.493885149190328,0,0,0
120,32.6241975389,0,0,0,87.1957155638463,0.757476050578443,0,0,0
150,24.6347939619417,0,0,0,75.7647705451402,1.43712966256847,0,0,0
180,18.8517969079117,0,0,0,69.9836085256634,2.6016712310367,0,0,0
210,14.329402355476,0,0,0,64.9899989794301,4.75908443899171,0,0,0
240,11.0900000346258,0,0,0,62.79563473289,8.6049759970283,0,0,0
270,9.02957493852768,0,0,0,64.7965834313869,15.2842727254764,0,0,0
300,7.71881729883284,0,0,0,70.6539028233247,25.8959944452925,0,0,0
330,6.68581964792932,0,0,0,77.7221008926193,40.4496704995874,0,0,0
360,5.70696576927817,0,0,0,83.258029519755,57.4947791850498,0,0,0
390,4.77665347983189,0,0,0,86.088448152623,75.0976224536177,0,0,0
420,3.94499285280447,0,0,0,86.3705743540246,91.8468008773852,0,0,0
450,3.24075763998965,0,0,0,84.7921360430557,107.046987704365,0,0,0
480,2.66425626788585,0,0,0,82.0481859996545,120.50365695727,0,0,0
510,2.20044464730423,0,0,0,78.6680445530195,132.279946378262,0,0,0
540,1.82973169250398,0,0,0,75.0084842512007,142.543389256488,0,0,0
570,1.53341614992483,0,0,0,71.2938452053759,151.488474201272,0,0,0
600,1.29564185031888,0,0,0,67.6579206012386,159.302367061755,0,0,0
630,1.10368436285287,0,0,0,64.1757700384347,166.152103069679,0,0,0
660,0.947599538005552,0,0,0,60.8855021516553,172.181522232102,0,0,0
690,0.819707098523959,0,0,0,57.8025012360698,177.512324127665,0,0,0
720,0.714096780586293,0,0,0,54.9285178012215,182.246619432574,0,0,0
750,0.626215563009378,0,0,0,52.2574047592134,186.469811889292,0,0,0
780,0.552542561525598,0,0,0,49.7787032727842,190.25332220575,0,0,0
810,0.490340239577323,0,0,0,47.4798611643109,193.656978757262,0,0,0
840,0.437466615127987,0,0,0,45.3475851461572,196.731040058345,0,0,0
870,0.392234279208906,0,0,0,43.3686458820263,199.517872643207,0,0,0
900,0.353304623289933,0,0,0,41.5303386197514,202.05332873823,0,0,0
930,0.319608300454454,0,0,0,39.8207283060834,204.367871756606,0,0,0
960,0.290285169596688,0,0,0,38.2287612179731,206.487494131519,0,0,0
990,0.264638715508041,0,0,0,36.7442953215294,208.434466004418,0,0,0
1020,0.242101254064616,0,0,0,35.3580825412902,210.227946919156,0,0,0
1050,0.222207206363044,0,0,0,34.0617239467894,211.88448682699,0,0,0
1080,0.204572440375335,0,0,0,32.847611055231,213.418437682059,0,0,0
1110,0.188878200786835,0,0,0,31.7088614360772,214.842292736196,0,0,0
1140,0.174858528927785,0,0,0,30.6392535865076,216.166967248946,0,0,0
1170,0.162290353632847,0,0,0,29.6331639880559,217.402031600213,0,0,0
1200,0.150985638610589,0,0,0,28.6855079449154,218.555905613247,0,0,0
1230,0.140785122848437,0,0,0,27.7916849794532,219.636021159945,0,0,0
1260,0.131553302402816,0,0,0,26.9475290494749,220.648958739941,0,0,0
1290,0.123174385204992,0,0,0,26.1492635436689,221.600562626615,0,0,0
1320,0.115549012877548,0,0,0,25.3934608340548,222.496038298149,0,0,0
1350,0.108591590519437,0,0,0,24.67700606994,223.340035173387,0,0,0
1380,0.102228100982053,0,0,0,23.9970648560028,224.136717113307,0,0,0
1410,0.0963943072421057,0,0,0,23.3510544475915,224.889822700501,0,0,0
1440,0.091034267216181,0,0,0,22.7366181060674,225.602716948011,0,0,0
1470,0.086099101329134,0,0,0,22.1516022776422,226.278435797426,0,0,0
1500,0.0815459655074744,0,0,0,21.5940362852434,226.919724529946,0,0,0
1530,0.0773371918847083,0,0,0,21.0621142511486,227.529071022206,0,0,0
1560,0.0734395670250598,0,0,0,20.5541789963603,228.108734622053,0,0,0
1590,0.0698237233810741,0,0,0,20.0687076897617,228.660771291358,0,0,0
1620,0.0664636243664244,0,0,0,19.6042990453144,229.187055557771,0,0,0
1650,0.0633361271264928,0,0,0,19.1596618886476,229.689299730633,0,0,0
1680,0.0604206100386188,0,0,0,18.7336049352336,230.169070764684,0,0,0
1710,0.0576986543342997,0,0,0,18.3250276410023,230.627805095801,0,0,0
1740,0.0551537711327157,0,0,0,17.9329120028337,231.066821723634,0,0,0
1770,0.0527711667058936,0,0,0,17.5563152010402,231.487333774805,0,0,0
1800,0.0505375400362119,0,0,0,17.194362988886,231.890458745888,0,0,0
1830,0.0484409077357926,0,0,0,16.8462437455684,232.277227596442,0,0,0
1860,0.0464704522208973,0,0,0,16.5112031190725,232.648592838037,0,0,0
1890,0.0446163897092045,0,0,0,16.188539194069,233.005435744681,0,0,0
1920,0.0428698551626165,0,0,0,15.8775981277054,233.348572792665,0,0,0
1950,0.0412228017559042,0,0,0,15.577770202862,233.678761423097,0,0,0
1980,0.0396679128302975,0,0,0,15.2884862543429,233.99670520785,0,0,0
