"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,146.256238819486,0,0,0,374.958991281639,0,0,0,0
60,79.4060988201089,0,0,0,457.832846874721,0,0,0,0
90,37.5556974485218,0,0,0,99.0680218083581,0,0,0,0
120,22.7917673399843,0,0,0,78.8905293965443,0,0,0,0
150,15.6327359196716,0,0,0,64.4037012527515,0,0,0,0
180,10.8238829691776,0,0,0,55.3936920787542,0,0,0,0
210,7.18507957193803,0,0,0,46.1797062429885,0,0,0,0
240,4.5493551366903,0,0,0,37.3424398070916,0,0,0,0
270,2.74214357622243,0,0,0,29.0959743798973,0,0,0,0
300,1.5774281475587,0,0,0,21.8569284943718,0,0,0,0
330,0.867995822510396,0,0,0,15.826161092968,0,0,0,0
360,0.457698115921818,0,0,0,11.0415431921828,0,0,0,0
390,0.231289379530931,0,0,0,7.40815760896283,0,0,0,0
420,0.111725550240739,0,0,0,4.75891395845261,0,0,0,0
450,0.0512688450524093,0,0,0,2.90330589636168,0,0,0,0
480,0.0220957994009751,0,0,0,1.65962520260861,0,0,0,0
510,0.0087835492923476,0,0,0,0.870776995320659,0,0,0,0
540,0.00314036406292805,0,0,0,0.407607445413962,0,0,0,0
570,0.000980909154283426,0,0,0,0.164730689400819,0,0,0,0
600,0.000261395660191501,0,0,0,0.0559264501575712,0,0,0,0
630,5.89272705121887e-05,0,0,0,0.0157782975305946,0,0,0,0
660,1.13330760122053e-05,0,0,0,0.00372822653845862,0,0,0,0
690,1.89364963094768e-06,0,0,0,0.000751952779463712,0,0,0,0
720,2.80535244055687e-07,0,0,0,0.000132303658250378,0,0,0,0
750,3.7536454841028e-08,0,0,0,2.07201564052867e-05,0,0,0,0
780,4.60813953761494e-09,0,0,0,2.93876543192458e-06,0,0,0,0
810,5.25861281908284e-10,0,0,0,3.82984561931354e-07,0,0,0,0
840,5.63853332387158e-11,0,0,0,4.64174633401574e-08,0,0,0,0
870,5.73153004714515e-12,0,0,0,5.28475330166753e-09,0,0,0,0
900,5.56390126732318e-13,0,0,0,5.69961268799314e-10,0,0,0,0
930,5.18976112657934e-14,0,0,0,5.86384390591106e-11,0,0,0,0
960,4.6750943888862e-15,0,0,0,5.78878576716146e-12,0,0,0,0
990,4.08476904807214e-16,0,0,0,5.51077156900976e-13,0,0,0,0
1020,3.47413437333246e-17,0,0,0,5.0801971514081e-14,0,0,0,0
1050,2.88507512280548e-18,0,0,0,4.5513958350789e-15,0,0,0,0
1080,2.34548333157311e-19,0,0,0,3.97496442259923e-16,0,0,0,0
1110,1.87086959408005e-20,0,0,0,3.39304146196512e-17,0,0,0,0
1140,1.46699035031695e-21,0,0,0,2.83726458822193e-18,0,0,0,0
1170,1.13268165318009e-22,0,0,0,2.3287486770856e-19,0,0,0,0
1200,8.62413212762856e-24,0,0,0,1.87933981721311e-20,0,0,0,0
1230,6.48336509226499e-25,0,0,0,1.49349242118622e-21,0,0,0,0
1260,4.81777384805552e-26,0,0,0,1.17028615197813e-22,0,0,0,0
1290,3.5422501203424e-27,0,0,0,9.05277039707846e-24,0,0,0,0
1320,2.5791462003551e-28,0,0,0,6.92026506926967e-25,0,0,0,0
1350,1.86110804454872e-29,0,0,0,5.23259909559746e-26,0,0,0,0
1380,1.33187898705477e-30,0,0,0,3.91673764560238e-27,0,0,0,0
1410,9.45851006688664e-32,0,0,0,2.90445928124522e-28,0,0,0,0
1440,6.66937843231166e-33,0,0,0,2.13515254326649e-29,0,0,0,0
1470,4.67163253047349e-34,0,0,0,1.55695454451381e-30,0,0,0,0
1500,3.25212906631269e-35,0,0,0,1.12678753794892e-31,0,0,0,0
1530,2.25091644425845e-36,0,0,0,8.09731283399785e-33,0,0,0,0
1560,1.54954421356353e-37,0,0,0,5.78051968472459e-34,0,0,0,0
1590,1.06132332659826e-38,0,0,0,4.10106863971569e-35,0,0,0,0
1620,7.23475756125547e-40,0,0,0,2.89263206921837e-36,0,0,0,0
1650,4.9096987157974e-41,0,0,0,2.02910045988689e-37,0,0,0,0
1680,3.3178153416233e-42,0,0,0,1.41600276820932e-38,0,0,0,0
1710,2.2331553713475e-43,0,0,0,9.83331480827137e-40,0,0,0,0
1740,1.49744107247895e-44,0,0,0,6.79714206137132e-41,0,0,0,0
1770,1.00053434209743e-45,0,0,0,4.6778872628345e-42,0,0,0,0
1800,6.66264226725156e-47,0,0,0,3.20603761827487e-43,0,0,0,0
1830,4.42250195868875e-48,0,0,0,2.18863919629208e-44,0,0,0,0
1860,2.92661779090012e-49,0,0,0,1.48850780894843e-45,0,0,0,0
1890,1.93110059833613e-50,0,0,0,1.00873754930561e-46,0,0,0,0
1920,1.27070492397026e-51,0,0,0,6.81284807348857e-48,0,0,0,0
1950,8.339526337165e-53,0,0,0,4.58639068987581e-49,0,0,0,0
1980,5.45942776750521e-54,0,0,0,3.07800327390781e-50,0,0,0,0
