"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,250,0,0,0,0,0,0,0
30,0,134.390536967416,0,637.308953116167,0,0,0.00784874342220783,0.0310468689805672,1.55249869889825e-06
60,0,62.2110528921874,83.6343802773076,684.79848546524,0,0,0.0347976804679355,0.0637041891974787,5.3540758492922e-06
90,0,23.510823346548,64.211432513911,351.452318431252,0,0,0.0421124675921715,0.148757678046947,1.89835107366528e-05
120,0,12.2888433805612,61.7346817942095,258.709671306913,0,0,0.0686096068208697,0.340656912363817,9.49202417524109e-05
150,0,7.3004273090014,47.1005570998438,254.032782054054,0,0,0.117700435269372,0.739401922817825,0.000448519922624836
180,0,4.52307993018143,37.254569796176,249.334888433091,0,0,0.216382426425264,1.78097662591695,0.00239223127201304
210,0,2.67562001315357,28.5200849705186,245.070761540054,0,0,0.400104754285887,4.33238598966513,0.0137957195054068
240,0,1.5027785496365,20.9566449433119,234.263814962486,0,0,0.741274813798144,10.6206751326527,0.083288637208068
270,0,0.795693851128033,14.7263718516136,219.087304647112,0,0,1.26771473097103,24.1022835336137,0.466566555807037
300,0,0.404314144623458,10.0564398883072,202.511706393255,0,0,1.84287291034199,46.4873569123978,2.01481227263567
330,0,0.200389342537022,6.68680093004972,182.027235789888,0,0,2.22391099933211,74.0253123017666,6.12084848767722
360,0,0.0985104391048312,4.33360800790561,157.122348365744,0,0,2.29374918031843,99.2476349682525,13.4965697699443
390,0,0.0490636662314242,2.77991721067328,131.424724482811,0,0,2.13134156265005,117.585875766887,23.5684635460693
420,0,0.0251982166300586,1.79590873716723,108.204344044497,0,0,1.8658745490105,128.635917872076,35.2155227166499
450,0,0.0134709396584858,1.18135827967654,88.7216065590945,0,0,1.58469076226974,133.905581105183,47.4489044206604
480,0,0.00751776972615873,0.795258931661725,72.9344899613295,0,0,1.32834039097387,135.134695381734,59.6046884891959
510,0,0.00437599178928645,0.548641451033649,60.3200364082065,0,0,1.1096417659779,133.72129801115,71.2894987040808
540,0,0.00264977647494184,0.387715571847525,50.2691727921764,0,0,0.928715386834486,130.663923590852,82.2963134579344
570,0,0.00166359401332252,0.280279352432704,42.2382315926368,0,0,0.781002094125464,126.641213650688,92.5350722065375
600,0,0.00107921474298363,0.206910062845954,35.7844836622534,0,0,0.660877675317295,122.103305861261,101.986145210493
630,0,0.000721075078030688,0.155709056488044,30.5611502151134,0,0,0.563075006097525,117.343833629969,110.670421668682
660,0,0.00049473697111078,0.119246056138589,26.3009336628419,0,0,0.483127437506166,112.551146946892,118.630575330969
690,0,0.000347641154319785,0.092785599841233,22.798831391264,0,0,0.417412756939095,107.843341637378,125.919591091691
720,0,0.000249587140306588,0.0732476139590915,19.897508275944,0,0,0.363055024583089,103.29187330799,132.593884156325
750,0,0.000182699947202866,0.0585888438305795,17.4757517269676,0,0,0.317791836905462,98.9373861433802,138.709311026284
780,0,0.000136106299773996,0.0474281561841107,15.4396618055308,0,0,0.279848216826109,94.8003087542853,144.318974894305
810,0,0.000103023150661253,0.0388153077043167,13.7160275897429,0,0,0.247830060864038,90.8879462231345,149.472131961106
840,0,7.91196559323752e-05,0.0320855740607713,12.247374709583,0,0,0.220638739600255,87.1992268722719,154.213760610638
870,0,6.15708774357977e-05,0.0267666891105926,10.9882637367462,0,0,0.197404416329485,83.7278764511383,158.584519009183
900,0,4.84974525057171e-05,0.0225182267528294,9.90251630830489,0,0,0.177434644789833,80.4645353681999,162.620920341944
930,0,3.86261093972024e-05,0.0190914565246127,8.96112742600359,0,0,0.160174961190885,77.3981638413321,166.355620536786
960,0,3.10795524502721e-05,0.0163023378692214,8.14068573658808,0,0,0.145178705965284,74.516966412183,169.817754728828
990,0,2.52438117895797e-05,0.0140130819517473,7.42217105204703,0,0,0.132083878271327,71.8089917224906,173.033284740623
1020,0,2.06829371165465e-05,0.0121193859438545,6.79003327262745,0,0,0.120595327697624,69.2625129469621,176.025336107511
1050,0,1.70831854872184e-05,0.010541477583927,6.23148233393707,0,0,0.110470994449718,66.866260371716,178.81451324017
1080,0,1.42159143317208e-05,0.00921775436445314,5.73593731437612,0,0,0.101511225828787,64.6095547434555,181.419187458866
1110,0,1.19125374853498e-05,0.00810021252855169,5.29459630939858,0,0,0.0935504376797923,62.4823745290416,183.85575630289
1140,0,1.00473834789806e-05,0.00715112588275787,4.90009850303793,0,0,0.086450570640118,60.4753796935913,186.138874634902
1170,0,8.52580707307291e-06,0.00634060749638667,4.54625705859229,0,0,0.0800959264974766,58.5799074160369,188.281659209489
1200,0,7.27584154916634e-06,0.00564480193978831,4.22784673884964,0,0,0.0743890710939928,56.7879502377271,190.295868930821
1230,0,6.24226868752682e-06,0.00504453252432695,3.94043407513743,0,0,0.0692475657408528,55.0921237593932,192.192063221966
1260,0,5.3823598730371e-06,0.00452428010896833,3.68024080933764,0,0,0.0646013456345017,53.4856286769297,193.979740917273
1290,0,4.66278568439151e-06,0.00407140577952182,3.44403350378616,0,0,0.060390606204997,51.962210346209,195.667461962552
1320,0,4.05735144188577e-06,0.00367555448791371,3.22903384537227,0,0,0.0565640903133522,50.5161179661641,197.26295402321
1350,0,3.54532262818473e-06,0.00332819409682282,3.03284540314496,0,0,0.0530776934264326,49.1420647133448,198.77320589311
1380,0,3.11017569583235e-06,0.0030222565516309,2.85339353585686,0,0,0.0498933223092701,47.8351896439884,200.204549387379
1410,0,2.73865848334066e-06,0.0027518566649132,2.68887586208424,0,0,0.0469779568420775,46.5910218281296,201.562731202234
1440,0,2.42007795250775e-06,0.00251207030933859,2.53772125591268,0,0,0.0443028753699349,45.40544694369,202.852976040193
