"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,129.075727611053,0,0,0,535.655701830913,0.15341889649211,0,0,0
60,55.8782908330504,0,0,0,613.019886506153,0.455392489737913,0,0,0
90,19.2193310128669,0,0,0,89.9814934157322,0.701257179999628,0,0,0
120,9.61329300024539,0,0,0,58.4183224378255,0.912583318894202,0,0,0
150,5.73249211962766,0,0,0,44.6668331227645,1.94433162479672,0,0,0
180,4.08726296109811,0,0,0,41.3594826107175,3.91188042970498,0,0,0
210,3.35802564174478,0,0,0,45.1026733010852,8.49540395905094,0,0,0
240,3.10668878774673,0,0,0,55.4677185225454,17.427218061064,0,0,0
270,2.89973580417645,0,0,0,68.1148876088947,31.4966572650829,0,0,0
300,2.58086161543164,0,0,0,78.2041032564315,49.1244104117138,0,0,0
330,2.20004206447799,0,0,0,84.185897507957,67.6597182332205,0,0,0
360,1.82501446291386,0,0,0,86.3322718493029,85.3750140329826,0,0,0
390,1.49616358139848,0,0,0,85.795289948368,101.425496381703,0,0,0
420,1.22409756753591,0,0,0,83.5990906624694,115.606265030481,0,0,0
450,1.00509261261662,0,0,0,80.4765478241058,127.997516761596,0,0,0
480,0.830708822743237,0,0,0,76.9079304295339,138.783990998129,0,0,0
510,0.692080721570439,0,0,0,73.1881758115453,148.175973218172,0,0,0
540,0.581510312165214,0,0,0,69.4933139442793,156.372924294899,0,0,0
570,0.492787332804923,0,0,0,65.9234829710073,163.552062719881,0,0,0
600,0.421068775192438,0,0,0,62.5318853348562,169.865624614454,0,0,0
630,0.362632230002609,0,0,0,59.342939920591,175.442320033056,0,0,0
660,0.314630034939013,0,0,0,56.3637349457107,180.390122602709,0,0,0
690,0.274882041474682,0,0,0,53.5911791516206,184.799344503238,0,0,0
720,0.241712684066177,0,0,0,51.0164571571511,188.745516349788,0,0,0
750,0.213826929767804,0,0,0,48.6277881772969,192.291909131707,0,0,0
780,0.190217228984691,0,0,0,46.4121173206324,195.4916674818,0,0,0
810,0.170094121131935,0,0,0,44.3561346446201,198.389580853404,0,0,0
840,0.152834511016228,0,0,0,42.4468711121478,201.023539323923,0,0,0
870,0.137943019372656,0,0,0,40.6720290938828,203.425724169321,0,0,0
900,0.125022976545654,0,0,0,39.0201474773413,205.623579676448,0,0,0
930,0.113754533850402,0,0,0,37.4806650295359,207.64060647176,0,0,0
960,0.103878044694905,0,0,0,36.0439225140715,209.497010070187,0,0,0
990,0.0951813649616991,0,0,0,34.7011292858286,211.21023228755,0,0,0
1020,0.087490084027033,0,0,0,33.4443106169594,212.795387929741,0,0,0
1050,0.0806599601876408,0,0,0,32.2662459254343,214.265624815096,0,0,0
1080,0.0745710245496517,0,0,0,31.160404167115,215.632421630485,0,0,0
1110,0.0691229557513874,0,0,0,30.1208801415771,216.905835254015,0,0,0
1140,0.0642314288129273,0,0,0,29.1423338560146,218.094706880585,0,0,0
1170,0.0598252153851417,0,0,0,28.2199340721756,219.206834453964,0,0,0
1200,0.055843867186,0,0,0,27.3493065224113,220.249117448844,0,0,0
1230,0.0522358548083467,0,0,0,26.526486888776,221.227678882919,0,0,0
1260,0.0489570641906369,0,0,0,25.7478784064314,222.147968511075,0,0,0
1290,0.0459695756125984,0,0,0,25.0102138224064,223.014850412305,0,0,0
1320,0.0432406670974458,0,0,0,24.3105213757211,223.832677586228,0,0,0
1350,0.0407419970109775,0,0,0,23.6460944406425,224.605355699265,0,0,0
1380,0.0384489304947689,0,0,0,23.0144644754661,225.336397736608,0,0,0
1410,0.0363399819242456,0,0,0,22.4133769343971,226.028971005981,0,0,0
1440,0.0343963514086477,0,0,0,21.8407698231756,226.685937687861,0,0,0
1470,0.0326015378678866,0,0,0,21.2947546058306,227.309889922541,0,0,0
1500,0.0309410147430633,0,0,0,20.7735991977081,227.903180257771,0,0,0
1530,0.0294019571565534,0,0,0,20.2757128071284,228.467948144353,0,0,0
1560,0.0279730115098265,0,0,0,19.7996324137545,229.006143055105,0,0,0
1590,0.0266441002255506,0,0,0,19.3440106955363,229.519544710443,0,0,0
1620,0.0254062557061371,0,0,0,18.9076052377357,230.009780817586,0,0,0
1650,0.0242514786709932,0,0,0,18.4892688770089,230.4783426673,0,0,0
1680,0.0231726169087166,0,0,0,18.0879410509022,230.926598879561,0,0,0
1710,0.0221632611840777,0,0,0,17.7026400385459,231.355807545726,0,0,0
1740,0.0212176556084025,0,0,0,17.3324559919627,231.767126978232,0,0,0
1770,0.0203306202435432,0,0,0,16.9765446694218,232.161625248034,0,0,0
1800,0.0194974840856274,0,0,0,16.634121792832,232.540288664262,0,0,0
1830,0.0187140268822087,0,0,0,16.3044579604397,232.904029328657,0,0,0
1860,0.0179764284887017,0,0,0,15.9868740542372,233.253691879021,0,0,0
1890,0.0172812246776913,0,0,0,15.680737088615,233.590059520191,0,0,0
1920,0.0166252684863041,0,0,0,15.3854564530493,233.913859427807,0,0,0
1950,0.0160056963290468,0,0,0,15.1004805070955,234.225767598775,0,0,0
1980,0.0154198982217765,0,0,0,14.825293490772,234.526413212677,0,0,0
