Time,ZW,ZZ,MZ,MM,MW,RW,RZ,MR,RR,generation,threshold,rM,releases,total_females
0,250,0,0,0,0,0,0,0,0,1,0.1,0.001,1,250
30,187.442321368681,0,0,0,3.56557018309126,0.00678027827088865,0,0,0,2,0.1,0.001,1,191.01467183004317
60,218.960260036291,0,0,0,12.9905310616967,0.0488909120480735,0,0,0,3,0.1,0.001,1,231.99968201003577
90,234.965501860079,0,0,0,9.1416012904578,0.0576059282607535,0,0,0,4,0.1,0.001,1,244.16470907879756
120,241.561552151337,0,0,0,5.79112199228105,0.0686402050171488,0,0,0,5,0.1,0.001,1,247.4213143486352
150,245.029293888135,0,0,0,3.53698484407424,0.0743751042110802,0,0,0,6,0.1,0.001,1,248.6406538364203
180,247.03676268492,0,0,0,2.11187746103753,0.0780270920989044,0,0,0,7,0.1,0.001,1,249.22666723805645
210,248.227249908191,0,0,0,1.24273145283346,0.0801693237609622,0,0,0,8,0.1,0.001,1,249.55015068478542
240,248.931650583708,0,0,0,0.72459806328371,0.0814356449926315,0,0,0,9,0.1,0.001,1,249.73768429198435
270,249.345196920172,0,0,0,0.420115931876683,0.08217346361045,0,0,0,10,0.1,0.001,1,249.84748631565913
300,249.586273158758,0,0,0,0.242757002821161,0.0826016772242674,0,0,0,11,0.1,0.001,1,249.91163183880343
330,249.726094375251,0,0,0,0.139992970625822,0.0828491977198181,0,0,0,12,0.1,0.001,1,249.94893654359663
360,249.806918642817,0,0,0,0.0806367666862009,0.0829919867606174,0,0,0,13,0.1,0.001,1,249.97054739626384
390,249.853542225863,0,0,0,0.0464157282977938,0.0830742493079657,0,0,0,14,0.1,0.001,1,249.98303220346878
420,249.880403143369,0,0,0,0.0267070977386004,0.0831216066733751,0,0,0,15,0.1,0.001,1,249.99023184778096
450,249.895866698338,0,0,0,0.0153634875469752,0.0831488575084189,0,0,0,16,0.1,0.001,1,249.9943790433934
480,249.904764968405,0,0,0,0.00883682436346059,0.0831645344538902,0,0,0,17,0.1,0.001,1,249.99676632722236
510,249.909884020586,0,0,0,0.00508241337575231,0.0831735517970525,0,0,0,18,0.1,0.001,1,249.9981399857588
540,249.912828498569,0,0,0,0.002922974047015,0.0831787381090269,0,0,0,19,0.1,0.001,1,249.99893021072506
570,249.914522014584,0,0,0,0.00168100546161613,0.0831817208616862,0,0,0,20,0.1,0.001,1,249.99938474090732
600,249.915495991121,0,0,0,9.6673417662547e-4,0.083183436254188,0,0,0,21,0.1,0.001,1,249.9996461615518
630,249.916056129205,0,0,0,5.5595730915593e-4,0.0831844227668564,0,0,0,22,0.1,0.001,1,249.99979650928103
660,249.916378261646,0,0,0,3.1972291183372e-4,0.0831849900994528,0,0,0,23,0.1,0.001,1,249.99988297465728
690,249.916563516523,0,0,0,1.8386746657292e-4,0.083185316364428,0,0,0,24,0.1,0.001,1,249.999932700354
720,249.916670054006,0,0,0,1.0573903546803e-4,0.0831855039942292,0,0,0,25,0.1,0.001,1,249.9999612970357
750,249.916731322024,0,0,0,6.08086561446182e-5,0.083185611896952,0,0,0,26,0.1,0.001,1,249.9999777425771
780,249.916766556227,0,0,0,3.4969968568157403e-05,0.0831856739499176,0,0,0,27,0.1,0.001,1,249.99998720014548
810,249.9167868188,0,0,0,2.01105963345472e-5,0.08318570963547,0,0,0,28,0.1,0.001,1,249.9999926390318
840,249.916798471444,0,0,0,1.15652381802595e-5,0.0831857301575868,0,0,0,29,0.1,0.001,1,249.99999576683976
870,249.91680517267,0,0,0,6.65095747355581e-6,0.0831857419594832,0,0,0,30,0.1,0.001,1,249.99999756558697
900,249.916809026422,0,0,0,3.8248440818426e-6,0.0831857487465387,0,0,0,31,0.1,0.001,1,249.99999860001262
930,249.916811242645,0,0,0,2.19959785217705e-6,0.0831857526496503,0,0,0,32,0.1,0.001,1,249.9999991948925
960,249.916812517155,0,0,0,1.26494845727578e-6,0.083185754894258307,0,0,0,33,0.1,0.001,1,249.9999995369977
990,249.916813250102,0,0,0,7.27448692832207e-7,0.0831857561850914,0,0,0,34,0.1,0.001,1,249.9999997337358
1020,249.916813671607,0,0,0,4.1834241891859e-7,0.0831857569274258,0,0,0,35,0.1,0.001,1,249.99999984687685
1050,249.916813914007,0,0,0,2.40581061685064e-7,0.0831857573543287,0,0,0,36,0.1,0.001,1,249.9999999119424
1080,249.916814053406,0,0,0,1.38353761190447e-7,0.0831857575998328,0,0,0,37,0.1,0.001,1,249.9999999493596
1110,249.916814133571,0,0,0,7.95647133606934e-8,0.0831857577410177,0,0,0,38,0.1,0.001,1,249.99999997087673
1140,249.916814179674,0,0,0,4.57562089632283e-8,0.0831857578222106,0,0,0,39,0.1,0.001,1,249.99999998325242
1170,249.916814206186,0,0,0,2.63135574733921e-8,0.0831857578689031,0,0,0,40,0.1,0.001,1,249.99999999036845
1200,249.916814221433,0,0,0,1.5132444807802e-8,0.0831857578957551,0,0,0,41,0.1,0.001,1,249.99999999446118
1230,249.916814230201,0,0,0,8.702391763759331e-9,0.0831857579111972,0,0,0,42,0.1,0.001,1,249.99999999681458
1260,249.916814235244,0,0,0,5.00458606432758e-9,0.0831857579200776,0,0,0,43,0.1,0.001,1,249.99999999816868
1290,249.916814238143,0,0,0,2.8780457550183504e-9,0.0831857579251846,0,0,0,44,0.1,0.001,1,249.9999999989462
1320,249.916814239812,0,0,0,1.65511138409984e-9,0.0831857579281216,0,0,0,45,0.1,0.001,1,249.99999999939524
1350,249.91681424077,0,0,0,9.51824233149076e-10,0.0831857579298106,0,0,0,46,0.1,0.001,1,249.99999999965164
1380,249.916814241321,0,0,0,5.47376677790906e-10,0.0831857579307819,0,0,0,47,0.1,0.001,1,249.99999999979914
1410,249.916814241639,0,0,0,3.14786298723164e-10,0.0831857579313405,0,0,0,48,0.1,0.001,1,249.99999999988512
1440,249.916814241821,0,0,0,1.81027833088306e-10,0.0831857579316617,0,0,0,49,0.1,0.001,1,249.99999999993366
1470,249.916814241926,0,0,0,1.04105790136111e-10,0.0831857579318464,0,0,0,50,0.1,0.001,1,249.99999999996194
1500,249.916814241987,0,0,0,5.98693325493634e-11,0.0831857579319526,0,0,0,51,0.1,0.001,1,249.99999999997883
1530,249.916814242021,0,0,0,3.4429756262530194e-11,0.0831857579320138,0,0,0,52,0.1,0.001,1,249.99999999998744
1560,249.916814242041,0,0,0,1.97999220271831e-11,0.0831857579320489,0,0,0,53,0.1,0.001,1,249.99999999999284
1590,249.916814242052,0,0,0,1.13865723966544e-11,0.0831857579320691,0,0,0,54,0.1,0.001,1,249.99999999999545
1620,249.91681424206,0,0,0,6.54820916800775e-12,0.0831857579320807,0,0,0,55,0.1,0.001,1,249.99999999999864
1650,249.916814242063,0,0,0,3.7657551205292495e-12,0.0831857579320874,0,0,0,56,0.1,0.001,1,249.99999999999886
1680,249.916814242065,0,0,0,2.16561677612176e-12,0.0831857579320913,0,0,0,57,0.1,0.001,1,249.99999999999923
1710,249.916814242066,0,0,0,1.24540653093788e-12,0.0831857579320935,0,0,0,58,0.1,0.001,1,249.99999999999935
1740,249.916814242067,0,0,0,7.16210478421e-13,0.0831857579320948,0,0,0,59,0.1,0.001,1,249.99999999999983
1770,249.916814242068,0,0,0,4.1187952420141996e-13,0.0831857579320954,0,0,0,60,0.1,0.001,1,250.0000000000005
1800,249.916814242068,0,0,0,2.36864368181818e-13,0.0831857579320959,0,0,0,61,0.1,0.001,1,250.00000000000034
1830,249.916814242068,0,0,0,1.3621635846781e-13,0.0831857579320961,0,0,0,62,0.1,0.001,1,250.00000000000023
