"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,250,0,0,0,0,0,0,0
30,0,187.442321368681,0,10.3322946777164,0,0,0.0308502661325433,0.0135469959852355,6.78027827088865e-06
60,0,218.935856200813,12.7786113383409,1.54088765516682,0,0,0.0823579688848838,0.00494819582532493,6.77629404786028e-06
90,0,234.914653519855,9.12726542845322,0.566971899665957,0,0,0.11837029429395,0.00524009906896811,1.41172416733288e-05
120,0,241.500203946214,5.78895274367492,0.227822536166493,0,0,0.136390415562074,0.00398558668022556,1.90364121764343e-05
150,0,244.959015957165,3.53594350176757,0.0865907983917409,0,0,0.148515679314064,0.00268621168312641,2.24273196672688e-05
180,0,246.961298228226,2.11123605230633,0.0314226777721049,0,0,0.15576987794165,0.00169798560731552,2.45300390647208e-05
210,0,248.148596009179,1.24233983063583,0.0110311429092944,0,0,0.160147906197959,0.0010336104741861,2.5826149868326e-05
240,0,248.851116459644,0.724364441927344,0.00378663618214856,0,0,0.162729420546581,0.000614857396704477,2.65985315885065e-05
270,0,249.263558790597,0.419978659063266,0.00128105089234312,0,0,0.164240111389675,0.000360708149084587,2.7052890678774e-05
300,0,249.503993090077,0.24267706811107,0.000429456429912853,0,0,0.165117602021323,0.00020986502804984,2.73174642131224e-05
330,0,249.643442524669,0.139946668665866,0.000143171394413406,0,0,0.165625326873177,0.000121508202152355,2.74707395489723e-05
360,0,249.724052128,0.0806100281830157,4.75717147919804e-05,0,0,0.16591834628975,7.01510107935829e-05,2.75592538517188e-05
390,0,249.77055196685,0.0464003145438064,1.57757272203999e-05,0,0,0.166087207836734,4.04337498784747e-05,2.76102799276012e-05
420,0,249.797341623686,0.0266982213209077,5.22555235396896e-06,0,0,0.166184434037021,2.32829861793362e-05,2.76396647133473e-05
450,0,249.812764165267,0.0153583788234167,1.7297604627434e-06,0,0,0.166240386104406,1.33996551522935e-05,2.76565768452537e-05
480,0,249.821638838458,0.00883388508662174,5.72364280235848e-07,0,0,0.166272576073569,7.70921982083104e-06,2.76663071589439e-05
510,0,249.826744316914,0.00508072260691114,1.89348812397564e-07,0,0,0.166291092236234,4.4345311127325e-06,2.76719043596716e-05
540,0,249.829680987706,0.00292200156975102,6.26321099187786e-08,0,0,0.166301741966704,2.55058156075196e-06,2.76751236953052e-05
570,0,249.831370013554,0.00168044615910711,2.07156937656654e-08,0,0,0.166307866903336,1.46691312615804e-06,2.76769752377243e-05
600,0,249.832341407747,0.00096641251590794,6.85146584977094e-09,0,0,0.166311389398294,8.43634687660994e-07,2.76780400792564e-05
630,0,249.832900060731,0.00055577232264835,2.2659843819892e-09,0,0,0.166313415172265,4.85172024224694e-07,2.7678652467779e-05
660,0,249.833221339102,0.000319616527722206,7.49418189103955e-10,0,0,0.16631458017485,2.79017898527536e-07,2.76790046470416e-05
690,0,249.833406102815,0.000183806286437341,2.47849495972168e-10,0,0,0.166315250152145,1.60459522244403e-07,2.76792071808158e-05
720,0,249.833512357838,0.000105703851700433,8.19690371217326e-11,0,0,0.166315635445682,9.22778079109154e-08,2.76793236549177e-05
750,0,249.833573463418,6.07884225408108e-05,2.71088108311899e-11,0,0,0.166315857021554,5.30674342658886e-08,2.76793906372512e-05
780,0,249.833608604205,3.49583325722564e-05,8.96541574316685e-12,0,0,0.166315984445983,3.05181612977988e-08,2.76794291576339e-05
810,0,249.833628813056,2.01039046795273e-05,2.96503631032818e-12,0,0,0.166316057725506,1.75504526651636e-08,2.76794513100234e-05
840,0,249.833640434806,1.15613899297544e-05,9.80594331291789e-13,0,0,0.166316099867239,1.00929494803127e-08,2.76794640494643e-05
870,0,249.833647118265,6.64874441443373e-06,3.24301243223233e-13,0,0,0.166316124102185,5.80427221498e-09,2.7679471375686e-05
900,0,249.8336509618,3.82357139183579e-06,1.07252586854919e-13,0,0,0.166316138039261,3.337931232256e-09,2.76794755888626e-05
930,0,249.833653172147,2.19886595138821e-06,3.54704661669381e-14,0,0,0.166316146054219,1.91958330248384e-09,2.76794780117836e-05
960,0,249.833654443278,1.26452755451397e-06,1.17307557522457e-14,0,0,0.166316150663474,1.10391725610667e-09,2.76794794051612e-05
990,0,249.833655174281,7.27206639356283e-07,3.87958324184374e-15,0,0,0.166316153314173,6.34842611292312e-10,2.76794802064671e-05
1020,0,249.833655594668,4.18203218396317e-07,1.28305167814367e-15,0,0,0.166316154838541,3.65086362043119e-10,2.76794806672835e-05
1050,0,249.833655836425,2.40501010014049e-07,4.24329493342179e-16,0,0,0.166316155715177,2.09954480404939e-10,2.76794809322905e-05
