"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,167.25304869152,0,0,0,214.262280732365,0.0621161948392847,0,0,0
60,124.166845346913,0,0,0,87.552463652388,0.311242176884812,0,0,0
90,113.425810907444,0,0,0,86.1573236226092,0.521795893340193,0,0,0
120,114.962200520062,0,0,0,81.5147319204289,0.902044920817762,0,0,0
150,119.533227087802,0,0,0,79.0176417741784,1.43573312972757,0,0,0
180,125.678055043149,0,0,0,76.0881475553796,2.17471364641117,0,0,0
210,133.012978148416,0,0,0,72.4584777371344,3.16033135360107,0,0,0
240,141.48131547581,0,0,0,67.8770971645182,4.43009502525424,0,0,0
270,150.994763923563,0,0,0,62.2272453061889,5.99759792677557,0,0,0
300,161.343791744852,0,0,0,55.5080537280744,7.83676778666266,0,0,0
330,172.1578952952,0,0,0,47.8933854678359,9.87018720845744,0,0,0
360,182.920952866672,0,0,0,39.7587539358433,11.9725727369459,0,0,0
390,193.049315872851,0,0,0,31.6388726842723,13.9944878691863,0,0,0
420,202.017478098201,0,0,0,24.1057068356161,15.7999948506975,0,0,0
450,209.480201296175,0,0,0,17.6147332596781,17.3006556289928,0,0,0
480,215.332284771816,0,0,0,12.3988386534455,18.469156714174,0,0,0
510,219.683599118659,0,0,0,8.45830143521941,19.3296172484598,0,0,0
540,222.777193068474,0,0,0,5.62976648820925,19.9353174480614,0,0,0
570,224.899485565713,0,0,0,3.67906993503218,20.3472104113163,0,0,0
600,226.316608335817,0,0,0,2.37315655192557,20.6203113372808,0,0,0
630,227.244487092955,0,0,0,1.51716786983068,20.7981838209503,0,0,0
660,227.843737963254,0,0,0,0.964163617658248,20.9126258601491,0,0,0
690,228.227148443947,0,0,0,0.610341483634553,20.9856575963234,0,0,0
720,228.470937280753,0,0,0,0.385390465004947,21.0320134566631,0,0,0
750,228.625317454862,0,0,0,0.242956957357208,21.0613348685773,0,0,0
780,228.722821511159,0,0,0,0.153007585501906,21.0798400577433,0,0,0
810,228.784299352303,0,0,0,0.0962974994738095,21.0915023095535,0,0,0
840,228.823020305188,0,0,0,0.060581392339912,21.098845382332,0,0,0
870,228.847391467795,0,0,0,0.0381023176148149,21.1034662578283,0,0,0
900,228.862724161963,0,0,0,0.0239603378373404,21.1063730467448,0,0,0
930,228.872367825403,0,0,0,0.0150657254545426,21.1082011621693,0,0,0
960,228.878432267136,0,0,0,0.0094723820787754,21.1093507212786,0,0,0
990,228.882245492843,0,0,0,0.00595539791991296,21.1100735238869,0,0,0
1020,228.884643025629,0,0,0,0.00374413333714803,21.1105279710484,0,0,0
1050,228.886150388971,0,0,0,0.00235388302267652,21.1108136850547,0,0,0
1080,228.887098064386,0,0,0,0.00147983766154473,21.1109933113402,0,0,0
1110,228.887693855339,0,0,0,0.000930337500625425,21.1111062394605,0,0,0
1140,228.888068417202,0,0,0,0.000584877952825658,21.1111772348985,0,0,0
1170,228.888303895178,0,0,0,0.000367695985545898,21.1112218679271,0,0,0
1200,228.888451933854,0,0,0,0.000231159551426519,21.1112499274797,0,0,0
1230,228.888545001547,0,0,0,0.000145323004597811,21.1112675677067,0,0,0
1260,228.888603510452,0,0,0,9.13601121456395e-05,21.1112786575903,0,0,0
1290,228.88864029323,0,0,0,5.74352756717178e-05,21.1112856294627,0,0,0
1320,228.888663417436,0,0,0,3.61077718035475e-05,21.1112900124643,0,0,0
1350,228.888677954909,0,0,0,2.26998298182776e-05,21.1112927679216,0,0,0
1380,228.888687094168,0,0,0,1.42706735426759e-05,21.1112945001919,0,0,0
1410,228.888692839733,0,0,0,8.97152589092025e-06,21.1112955892161,0,0,0
1440,228.888696451791,0,0,0,5.64011736958047e-06,21.1112962738516,0,0,0
1470,228.888698722579,0,0,0,3.54576507521743e-06,21.1112967042605,0,0,0
1500,228.888700150152,0,0,0,2.22911137378371e-06,21.1112969748452,0,0,0
1530,228.888701047623,0,0,0,1.4013724440172e-06,21.1112971449532,0,0,0
1560,228.888701611834,0,0,0,8.80998920995632e-07,21.1112972518948,0,0,0
1590,228.888701966537,0,0,0,5.53856399264228e-07,21.1112973191256,0,0,0
1620,228.888702189526,0,0,0,3.48192152077503e-07,21.1112973613915,0,0,0
1650,228.888702329713,0,0,0,2.18897488137555e-07,21.1112973879628,0,0,0
1680,228.888702417845,0,0,0,1.37613986938496e-07,21.1112974046673,0,0,0
1710,228.88870247325,0,0,0,8.65135984478006e-08,21.1112974151689,0,0,0
1740,228.888702508082,0,0,0,5.43883865305313e-08,21.1112974217709,0,0,0
1770,228.88870252998,0,0,0,3.41922731429478e-08,21.1112974259214,0,0,0
1800,228.888702543746,0,0,0,2.14956099470744e-08,21.1112974285307,0,0,0
1830,228.8887025524,0,0,0,1.35136159278604e-08,21.111297430171,0,0,0
1860,228.888702557841,0,0,0,8.49558658185572e-09,21.1112974312023,0,0,0
1890,228.888702561261,0,0,0,5.34090888423024e-09,21.1112974318506,0,0,0
1920,228.888702563412,0,0,0,3.35766193824925e-09,21.1112974322582,0,0,0
1950,228.888702564763,0,0,0,2.11085677284133e-09,21.1112974325144,0,0,0
1980,228.888702565614,0,0,0,1.32702946197532e-09,21.1112974326755,0,0,0
