"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,140.097668407078,0,0,0,428.52456146473,0,0,0,0
60,69.9277226652172,0,0,0,510.473808241706,0,0,0,0
90,29.4296015993208,0,0,0,495.704782700581,0,0,0,0
120,9.50407105111438,0,0,0,468.246616334875,0,0,0,0
150,2.21744564737808,0,0,0,444.095647571336,0,0,0,0
180,0.368605135605571,0,0,0,430.883976426512,0,0,0,0
210,0.0446354244903326,0,0,0,426.310740089848,0,0,0,0
240,0.0042536167416293,0,0,0,425.284629009843,0,0,0,0
270,0.00035069335606006,0,0,0,25.1249099992723,0,0,0,0
300,4.10664805960394e-05,0,0,0,1.48697803784725,0,0,0,0
330,6.5598883927519e-06,0,0,0,0.0891908102295442,0,0,0,0
360,7.39392706022875e-07,0,0,0,0.00555350282067975,0,0,0,0
390,6.56115982254772e-08,0,0,0,0.000360847053607691,0,0,0,0
420,5.20760560673497e-09,0,0,0,2.42270007586026e-05,0,0,0,0
450,3.89156349420564e-10,0,0,0,1.66203305844915e-06,0,0,0,0
480,2.80279186806331e-11,0,0,0,1.15425267493005e-07,0,0,0,0
510,1.96980479768122e-12,0,0,0,8.06000281811677e-09,0,0,0,0
540,1.36077157460333e-13,0,0,0,5.63354380539284e-10,0,0,0,0
570,9.28257306116979e-15,0,0,0,3.93032296099805e-11,0,0,0,0
600,6.27173751786256e-16,0,0,0,2.73261428228039e-12,0,0,0,0
630,4.20575208606384e-17,0,0,0,1.89177579782541e-13,0,0,0,0
660,2.80329348987448e-18,0,0,0,1.3036097107012e-14,0,0,0,0
690,1.85916321885265e-19,0,0,0,8.94090966868368e-16,0,0,0,0
720,1.22778949973184e-20,0,0,0,6.10397633107893e-17,0,0,0,0
750,8.07860531765245e-22,0,0,0,4.14877683316808e-18,0,0,0,0
780,5.2983851630133e-23,0,0,0,2.80802344681187e-19,0,0,0,0
810,3.46490064733716e-24,0,0,0,1.89303416617505e-20,0,0,0,0
840,2.25991624057656e-25,0,0,0,1.27144138345617e-21,0,0,0,0
870,1.47041329681305e-26,0,0,0,8.50967933238812e-23,0,0,0,0
900,9.5456665425103e-28,0,0,0,5.67677413761246e-24,0,0,0,0
930,6.18378528754137e-29,0,0,0,3.7752635060935e-25,0,0,0,0
960,3.99793578675506e-30,0,0,0,2.50339157274134e-26,0,0,0,0
990,2.57985416019354e-31,0,0,0,1.65545742606722e-27,0,0,0,0
1020,1.66177203589609e-32,0,0,0,1.09189403648941e-28,0,0,0,0
1050,1.06856095120647e-33,0,0,0,7.18415950270097e-30,0,0,0,0
1080,6.85977444801445e-35,0,0,0,4.71583874178411e-31,0,0,0,0
1110,4.39674589738281e-36,0,0,0,3.08872505184915e-32,0,0,0,0
1140,2.81377848990769e-37,0,0,0,2.01874981097454e-33,0,0,0,0
1170,1.7980822532808e-38,0,0,0,1.31677195812724e-34,0,0,0,0
1200,1.14739460805826e-39,0,0,0,8.57239170193752e-36,0,0,0,0
1230,7.3117403196202e-41,0,0,0,5.57047706570004e-37,0,0,0,0
1260,4.65321705533388e-42,0,0,0,3.61338843030456e-38,0,0,0,0
1290,2.95753086964568e-43,0,0,0,2.33991105995203e-39,0,0,0,0
1320,1.87744208879287e-44,0,0,0,1.51277709500315e-40,0,0,0,0
1350,1.19037034282837e-45,0,0,0,9.76490375422669e-42,0,0,0,0
1380,7.53862488476567e-47,0,0,0,6.29365984972486e-43,0,0,0,0
1410,4.76883311949033e-48,0,0,0,4.05045798474395e-44,0,0,0,0
1440,3.0134005266921e-49,0,0,0,2.60310959402822e-45,0,0,0,0
1470,1.90213129272236e-50,0,0,0,1.67066298991109e-46,0,0,0,0
1500,1.19943459926279e-51,0,0,0,1.07081091977846e-47,0,0,0,0
1530,7.555759062604e-53,0,0,0,6.85460881484945e-49,0,0,0,0
1560,4.75507684601426e-54,0,0,0,4.38243956747238e-50,0,0,0,0
1590,2.98969478164765e-55,0,0,0,2.7985245046108e-51,0,0,0,0
1620,1.87800839565279e-56,0,0,0,1.78499878943198e-52,0,0,0,0
1650,1.17863845092427e-57,0,0,0,1.13725361756299e-53,0,0,0,0
1680,7.39071896537594e-59,0,0,0,7.237716483572e-55,0,0,0,0
1710,4.63047964747043e-60,0,0,0,4.60133909183873e-56,0,0,0,0
1740,2.89873350670399e-61,0,0,0,2.92225646047908e-57,0,0,0,0
1770,1.81318894597643e-62,0,0,0,1.85402780740084e-58,0,0,0,0
1800,1.13328563744302e-63,0,0,0,1.17514069736314e-59,0,0,0,0
1830,7.07792585742734e-65,0,0,0,7.44133021069159e-61,0,0,0,0
1860,4.41724376414473e-66,0,0,0,4.7077054593031e-62,0,0,0,0
1890,2.75475881354855e-67,0,0,0,2.97561304493593e-63,0,0,0,0
1920,1.71676355629183e-68,0,0,0,1.87915300115822e-64,0,0,0,0
1950,1.06915243931268e-69,0,0,0,1.18570324120875e-65,0,0,0,0
1980,6.65393115695044e-71,0,0,0,7.47527783442501e-67,0,0,0,0
