"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,129.069684244039,0,0,0,535.655701830912,0.170456311938331,0,0,0
60,55.8771153863268,0,0,0,613.001711509857,0.505898845962324,0,0,0
90,19.2270365108302,0,0,0,590.004327784899,0.778881644000946,0,0,0
120,5.00805141343838,0,0,0,561.338127060194,1.00797145577071,0,0,0
150,0.971069418181044,0,0,0,543.280228524815,1.18431036139028,0,0,0
180,0.157322612464843,0,0,0,536.361669064577,1.335803986377,0,0,0
210,0.0256526016025975,0,0,0,34.8256275957294,1.47961089696966,0,0,0
240,0.0134465849562106,0,0,0,16.2796433443246,1.22327315173694,0,0,0
270,0.0109814881437487,0,0,0,21.864724071242,5.32422322424274,0,0,0
300,0.015910666748802,0,0,0,41.0919979232567,15.8784607236074,0,0,0
330,0.0183748614678841,0,0,0,66.3783060337949,31.8072476408491,0,0,0
360,0.0164377946326003,0,0,0,76.409135651845,53.594266608314,0,0,0
390,0.014241581975622,0,0,0,84.370915852421,72.4296222317601,0,0,0
420,0.0117718911262629,0,0,0,86.3347498680441,90.2942839020712,0,0,0
450,0.00960772040083952,0,0,0,85.4000832145026,105.984405714637,0,0,0
480,0.00784797917454382,0,0,0,83.0341346223236,119.596311448665,0,0,0
510,0.00643698155873365,0,0,0,79.7547921775202,131.470820081475,0,0,0
540,0.00532047732564118,0,0,0,76.1303148127467,141.774228606295,0,0,0
570,0.00443504519632645,0,0,0,72.3971590803907,150.753383848092,0,0,0
600,0.00372981178733418,0,0,0,68.7205389601051,158.598977669315,0,0,0
630,0.00316411238702701,0,0,0,65.1854742221476,165.482614551258,0,0,0
660,0.00270671647330308,0,0,0,61.8370432052864,171.547945631697,0,0,0
690,0.0023337905515269,0,0,0,58.6943815710785,176.915946694433,0,0,0
720,0.0020271889271985,0,0,0,55.7614778883177,181.687792558205,0,0,0
750,0.00177305719484441,0,0,0,53.0334774715179,185.948089012287,0,0,0
780,0.00156076309933766,0,0,0,50.5006382545829,189.767657875074,0,0,0
810,0.00138209419165149,0,0,0,48.150764847907,193.2059195718,0,0,0
840,0.00123066149905713,0,0,0,45.9706939833352,196.312881645135,0,0,0
870,0.00110145740574791,0,0,0,43.9471847435936,199.130778942641,0,0,0
900,0.000990527339961405,0,0,0,42.0674342378155,201.695418272643,0,0,0
930,0.000894725015913271,0,0,0,40.3193587286871,204.037277469398,0,0,0
960,0.000811528989971238,0,0,0,38.6917288379856,206.182403168608,0,0,0
990,0.000738904324018231,0,0,0,37.1742152669011,208.153144765214,0,0,0
1020,0.000675197574921529,0,0,0,35.7573809436535,209.968755557809,0,0,0
1050,0.000619056538299634,0,0,0,34.4326424130125,211.645886361263,0,0,0
1080,0.000569368490103717,0,0,0,33.1922148764326,213.198992037691,0,0,0
1110,0.000525212338854598,0,0,0,32.0290498861376,214.640667413445,0,0,0
1140,0.000485821307269117,0,0,0,30.9367712174637,215.981925816653,0,0,0
1170,0.000450553636269248,0,0,0,29.9096122080996,217.232430867957,0,0,0
1200,0.00041886944114851,0,0,0,28.9423564225308,218.400690074003,0,0,0
1230,0.000390312315948358,0,0,0,28.0302825925151,219.49421710961,0,0,0
1260,0.000364494625479647,0,0,0,27.1691142167015,220.519668347109,0,0,0
1290,0.000341085678805768,0,0,0,26.3549738553184,221.48295813161,0,0,0
1320,0.0003198021675922,0,0,0,25.5843419513342,222.389356453912,0,0,0
1350,0.00030040039488199,0,0,0,24.8540198966409,223.243571994465,0,0,0
1380,0.000282669927087003,0,0,0,24.1610970072204,224.049822967249,0,0,0
1410,0.000266428383350765,0,0,0,23.5029210530461,224.811897754262,0,0,0
1440,0.000251517138538286,0,0,0,22.8770719923569,225.533206967546,0,0,0
1470,0.000237797763772967,0,0,0,22.2813385766366,226.216828289342,0,0,0
1500,0.000225149065228683,0,0,0,21.7136975161665,226.865545208392,0,0,0
1530,0.000213464610431487,0,0,0,21.172294922584,227.481880580953,0,0,0
1560,0.000202650653592377,0,0,0,20.6554297721339,228.068125790207,0,0,0
1590,0.000192624388949676,0,0,0,20.161539159808,228.626366150805,0,0,0
1620,0.000183312474853204,0,0,0,19.6891851395391,229.158503100859,0,0,0
1650,0.000174649782209761,0,0,0,19.237042968638,229.666273637453,0,0,0
1680,0.000166578329567772,0,0,0,18.8038905955675,230.151267380497,0,0,0
1710,0.000159046374035175,0,0,0,18.3885992489499,230.614941590472,0,0,0
1740,0.000152007632773421,0,0,0,17.9901250024689,231.058634416282,0,0,0
1770,0.000145420614280514,0,0,0,17.6075012052088,231.483576608294,0,0,0
1800,0.000139248042291862,0,0,0,17.2398316801201,231.890901897074,0,0,0
1830,0.000133456358063915,0,0,0,16.8862846048911,232.281656209366,0,0,0
1860,0.000128015289198958,0,0,0,16.5460869996911,232.656805868447,0,0,0
1890,0.000122897475127572,0,0,0,16.2185197552023,233.017244905365,0,0,0
1920,0.000118078140972865,0,0,0,15.9029131422139,233.36380159006,0,0,0
1950,0.000113534812845179,0,0,0,15.5986427509316,233.697244276595,0,0,0
1980,0.000109247068710742,0,0,0,15.3051258142098,234.018286644044,0,0,0
