"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,129.130150338756,0,0,0,35.6557018309126,0,0,0,0
60,92.2419475837797,0,0,0,103.494344656869,0,0,0,0
90,91.7704175201275,0,0,0,86.9069485568512,0,0,0,0
120,91.2670035132906,0,0,0,88.3942933793881,0,0,0,0
150,91.7814030960736,0,0,0,87.6806635083198,0,0,0,0
180,92.4245326485189,0,0,0,87.5898314996664,0,0,0,0
210,93.2545015406663,0,0,0,87.3840371469828,0,0,0,0
240,94.2602464673144,0,0,0,87.1587637083713,0,0,0,0
270,95.4792936195038,0,0,0,86.8738445077405,0,0,0,0
300,96.9550322490737,0,0,0,86.5165523856084,0,0,0,0
330,98.7425992361532,0,0,0,86.0641688647304,0,0,0,0
360,100.909099638009,0,0,0,85.4879485946101,0,0,0,0
390,103.536107955542,0,0,0,84.7492990527051,0,0,0,0
420,106.722088721966,0,0,0,83.7967348705258,0,0,0,0
450,110.584628014416,0,0,0,82.5617983212608,0,0,0,0
480,115.261550658568,0,0,0,80.9544429878885,0,0,0,0
510,120.909315628895,0,0,0,78.8585779248207,0,0,0,0
540,127.69583043992,0,0,0,76.129662904181,0,0,0,0
570,135.783157017841,0,0,0,72.5981852148087,0,0,0,0
600,145.294081307913,0,0,0,68.0855887564157,0,0,0,0
630,156.257184529277,0,0,0,62.4414943664471,0,0,0,0
660,168.532032191168,0,0,0,55.6088642753218,0,0,0,0
690,181.73417768926,0,0,0,47.7100406154599,0,0,0,0
720,195.206289499174,0,0,0,39.1174368972835,0,0,0,0
750,208.093858432195,0,0,0,30.4443313646188,0,0,0,0
780,219.543504650312,0,0,0,22.4080909910691,0,0,0,0
810,228.948265781996,0,0,0,15.6060480260389,0,0,0,0
840,236.101231362048,0,0,0,10.3346040038225,0,0,0,0
870,241.174254811593,0,0,0,6.56055205624931,0,0,0,0
900,244.565849653215,0,0,0,4.0306045356228,0,0,0,0
930,246.729963927653,0,0,0,2.41852296598832,0,0,0,0
960,248.063731686763,0,0,0,1.42817092731993,0,0,0,0
990,248.865846540384,0,0,0,0.834690336408199,0,0,0,0
1020,249.34031702718,0,0,0,0.484712108552778,0,0,0,0
1050,249.617976199695,0,0,0,0.280386577756632,0,0,0,0
1080,249.779363872889,0,0,0,0.161819306922306,0,0,0,0
1110,249.87277881373,0,0,0,0.0932646192326812,0,0,0,0
1140,249.926713402874,0,0,0,0.0537108704175277,0,0,0,0
1170,249.957806650981,0,0,0,0.0309178844439761,0,0,0,0
1200,249.97571601635,0,0,0,0.0177927537803973,0,0,0,0
1230,249.986026266951,0,0,0,0.0102378964056156,0,0,0,0
1260,249.991959989411,0,0,0,0.00589034004219502,0,0,0,0
1290,249.995374349004,0,0,0,0.00338881739827991,0,0,0,0
1320,249.997338827781,0,0,0,0.00194959051252146,0,0,0,0
1350,249.998469040137,0,0,0,0.00112158296936869,0,0,0,0
1380,249.999119256848,0,0,0,0.000645231035907489,0,0,0,0
1410,249.99949332245,0,0,0,0.000371190367928867,0,0,0,0
1440,249.999708517643,0,0,0,0.00021353878638959,0,0,0,0
1470,249.999832315908,0,0,0,0.000122844594178204,0,0,0,0
1500,249.999903534756,0,0,0,7.06699646326744e-05,0,0,0,0
1530,249.999944505553,0,0,0,4.06549504227272e-05,0,0,0,0
1560,249.999968075214,0,0,0,2.33879333096589e-05,0,0,0,0
1590,249.999981634347,0,0,0,1.34545807956499e-05,0,0,0,0
1620,249.999989434631,0,0,0,7.74013339196322e-06,0,0,0,0
1650,249.999993921969,0,0,0,4.45273337563086e-06,0,0,0,0
1680,249.999996503439,0,0,0,2.56156228274244e-06,0,0,0,0
1710,249.999997988504,0,0,0,1.47361196623373e-06,0,0,0,0
1740,249.999998842829,0,0,0,8.47737419589395e-07,0,0,0,0
1770,249.999999334305,0,0,0,4.87685187033422e-07,0,0,0,0
1800,249.999999617039,0,0,0,2.80554845362518e-07,0,0,0,0
1830,249.999999779692,0,0,0,1.61397194666769e-07,0,0,0,0
1860,249.999999873261,0,0,0,9.2848349764648e-08,0,0,0,0
1890,249.99999992709,0,0,0,5.34136672262454e-08,0,0,0,0
1920,249.999999958057,0,0,0,3.07277388611219e-08,0,0,0,0
1950,249.999999975871,0,0,0,1.76770101043634e-08,0,0,0,0
1980,249.999999986119,0,0,0,1.01692053422758e-08,0,0,0,0
