"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,250,0,0,0,0,0,0,0
30,0,129.130150338756,0,706.203348831692,0,0,0,0,0
60,0,55.8888791912641,81.5516417001038,758.971206204544,0,0,0,0,0
90,0,19.1494706054086,58.3787071068312,879.149068581692,0,0,0,0,0
120,0,4.89308819702556,28.902282615231,953.162122095914,0,0,0,0,0
150,0,0.882947147679224,9.87843829472163,986.777879768868,0,0,0,0,0
180,0,0.114649571465611,2.27891185423869,495.215573604776,0,0,0,0,0
210,0,0.0232513415144544,1.09863553209969,271.606077877131,0,0,0,0,0
240,0,0.00557657673114311,0.716204092659772,97.4770380718125,0,0,0,0,0
270,0,0.0012038096017543,0.254187885495441,39.5951073532381,0,0,0,0,0
300,0,0.00026503921058113,0.0687236603189964,14.2426862530076,0,0,0,0,0
330,0,5.14013956501998e-05,0.016419804298259,4.15122491039598,0,0,0,0,0
360,0,8.69139553164286e-06,0.00337340018956183,1.03190470168643,0,0,0,0,0
390,0,1.30484680613397e-06,0.000602771082103238,0.220529660588721,0,0,0,0,0
420,0,1.76688977807528e-07,9.56813432255642e-05,0.0412081318668952,0,0,0,0,0
450,0,2.1911625810621e-08,1.37298893713982e-05,0.00686505316279675,0,0,0,0,0
480,0,2.52200925024848e-09,1.80727826197317e-06,0.00103655871320438,0,0,0,0,0
510,0,2.72411869242432e-10,2.20928122848183e-07,0.000143802034536453,0,0,0,0,0
540,0,2.7865591705041e-11,2.53401693110655e-08,1.85408034302725e-05,0,0,0,0,0
570,0,2.71984627154077e-12,2.75055829899079e-09,2.24315238959574e-06,0,0,0,0,0
600,0,2.5490052826917e-13,2.84572986798191e-10,2.56723696856162e-07,0,0,0,0,0
630,0,2.30575787935485e-14,2.82316377448035e-11,2.7984027320488e-08,0,0,0,0,0
660,0,2.02196387120505e-15,2.69926886130497e-12,2.9221141219147e-09,0,0,0,0,0
690,0,1.72524699819743e-16,2.49795888363367e-13,2.93735716300416e-10,0,0,0,0,0
720,0,1.43682663234156e-17,2.24562658718318e-14,2.85435305194976e-11,0,0,0,0,0
750,0,1.17108572796679e-18,1.9672413268854e-15,2.69097781626455e-12,0,0,0,0,0
780,0,9.36255300877744e-20,1.68387526123909e-16,2.46892882709275e-13,0,0,0,0,0
810,0,7.35653783860475e-21,1.41156195362131e-17,2.21038064763901e-14,0,0,0,0,0
840,0,5.69067309457533e-22,1.16118198698868e-18,1.93552100799094e-15,0,0,0,0,0
870,0,4.34016119809425e-23,9.39012955841125e-20,1.66105950045562e-16,0,0,0,0,0
900,0,3.26783456852628e-24,7.47618102835523e-21,1.39960181007911e-17,0,0,0,0,0
930,0,2.43174181354237e-25,5.86827623639461e-22,1.15968174492351e-18,0,0,0,0,0
960,0,1.79023823529914e-26,4.54653765125275e-23,9.46219858831321e-20,0,0,0,0,0
990,0,1.30503745919225e-27,3.48055686788211e-24,7.61202405355293e-21,0,0,0,0,0
