"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,129.12410048518,0,0,0,535.655701830913,0.0170538508594259,0,0,0
60,55.88770187595,0,0,0,613.165480136298,0.0506735752093874,0,0,0
90,19.1572786154886,0,0,0,589.796562022028,0.0781531252279815,0,0,0
120,4.90472926528614,0,0,0,560.390055626906,0.101296988299265,0,0,0
150,0.891936006899367,0,0,0,541.465720319878,0.119039422684629,0,0,0
180,0.119010674197057,0,0,0,33.9384635177254,0.134065327381304,0,0,0
210,0.0289675947686731,0,0,0,4.62474414785868,0.0890528784256452,0,0,0
240,0.0121255755949409,0,0,0,3.74326471143408,0.326465946098284,0,0,0
270,0.0292878945377679,0,0,0,11.469480580531,1.83723390249375,0,0,0
300,0.0548317616408999,0,0,0,32.8921212975857,9.18654195510359,0,0,0
330,0.0676604393740118,0,0,0,53.7132482572482,26.5506500651892,0,0,0
360,0.0693783461012703,0,0,0,73.7626204080051,45.5817910389309,0,0,0
390,0.0608049123833138,0,0,0,82.7322807976989,65.9637016101663,0,0,0
420,0.0505539639719329,0,0,0,85.8649074377098,84.4189530436057,0,0,0
450,0.041460113612334,0,0,0,86.103354443281,100.545191398333,0,0,0
480,0.033778622125936,0,0,0,84.0668169193683,114.816746158491,0,0,0
510,0.0276405316182282,0,0,0,81.0957239721227,127.173355003576,0,0,0
540,0.0227648754230483,0,0,0,77.5907447685114,137.941076609581,0,0,0
570,0.0189053410860907,0,0,0,73.9096838946983,147.316054348263,0,0,0
600,0.0158378381554364,0,0,0,70.233462269673,155.50673913319,0,0,0
630,0.0133844064869597,0,0,0,66.670139713169,162.68817258511,0,0,0
660,0.0114069708266613,0,0,0,63.276946934779,169.010728201147,0,0,0
690,0.0098000138207097,0,0,0,60.0809971056278,174.601159326047,0,0,0
720,0.00848320049390973,0,0,0,57.0912463386479,179.565809949787,0,0,0
750,0.00739527198898297,0,0,0,54.3058966151381,183.993748826731,0,0,0
780,0.00648931008264879,0,0,0,51.7170481504251,187.95958913248,0,0,0
810,0.00572916081167331,0,0,0,49.313564832579,191.525948965765,0,0,0
840,0.00508677090794457,0,0,0,47.0828442303383,194.745520400628,0,0,0
870,0.00454021194632742,0,0,0,45.0118902121783,197.66278893406,0,0,0
900,0.00407221420434942,0,0,0,43.0879475505917,200.315448599854,0,0,0
930,0.00366907519195158,0,0,0,41.2988602323079,202.735561920947,0,0,0
960,0.00331984312499228,0,0,0,39.6332567751276,204.950509052473,0,0,0
990,0.00301570248002558,0,0,0,38.0806283061507,206.983764555434,0,0,0
1020,0.00274950863333449,0,0,0,36.6313414156308,208.855533959741,0,0,0
1050,0.00251543303795646,0,0,0,35.2766125881607,210.58327656017,0,0,0
1080,0.00230869083379654,0,0,0,34.0084612453347,212.182135950741,0,0,0
1110,0.00212533031527764,0,0,0,32.819652138064,213.665295680454,0,0,0
1140,0.00196206911671988,0,0,0,31.7036337631491,215.04427403642,0,0,0
1170,0.00181616591197694,0,0,0,30.654476856938,216.329169226648,0,0,0
1200,0.00168531928767213,0,0,0,29.6668153323063,217.528864036745,0,0,0
1230,0.00156758754204524,0,0,0,28.7357909469515,218.65119727424,0,0,0
1260,0.00146132469965153,0,0,0,27.8570023090855,219.703107906526,0,0,0
1290,0.00136512916946133,0,0,0,27.0264584029208,220.690756673034,0,0,0
1320,0.00127780231982975,0,0,0,26.240536560489,221.619629051849,0,0,0
1350,0.00119831487679714,0,0,0,25.4959446590666,222.494622739518,0,0,0
1380,0.00112577952868714,0,0,0,24.7896872458689,223.320122223528,0,0,0
1410,0.00105942848081083,0,0,0,24.1190352581268,224.10006256059,0,0,0
1440,0.000998594978933512,0,0,0,23.4814990004157,224.837984097584,0,0,0
1470,0.000942698030706231,0,0,0,22.8748040511762,225.537079567391,0,0,0
1500,0.00089122971645115,0,0,0,22.2968697896605,226.200234744537,0,0,0
1530,0.000843744606303289,0,0,0,21.7457902584551,226.830063644161,0,0,0
1560,0.000799850898512492,0,0,0,21.2198171024123,227.428939083306,0,0,0
1590,0.000759202970245869,0,0,0,20.7173443504653,227.999019288685,0,0,0
1620,0.000721495092423848,0,0,0,20.2368948313817,228.542271124199,0,0,0
1650,0.000686456107689849,0,0,0,19.777108037433,229.060490420117,0,0,0
1680,0.000653844908378049,0,0,0,19.3367292709594,229.555319810142,0,0,0
1710,0.000623446581460967,0,0,0,18.9145999278127,230.02826441987,0,0,0
1740,0.000595069111582125,0,0,0,18.5096487886948,230.480705697927,0,0,0
1770,0.000568540552683235,0,0,0,18.1208842045831,230.913913637437,0,0,0
1800,0.000543706594407303,0,0,0,17.7473870758811,231.329057599019,0,0,0
1830,0.000520428462166802,0,0,0,17.3883045368172,231.727215915832,0,0,0
1860,0.00049858110010962,0,0,0,17.042844267083,232.109384435425,0,0,0
1890,0.000478051594666068,0,0,0,16.7102693619075,232.476484131351,0,0,0
1920,0.000458737803288938,0,0,0,16.3898936998627,232.82936789907,0,0,0
1950,0.000440547158699442,0,0,0,16.0810777547942,233.168826635053,0,0,0
1980,0.000423395623658054,0,0,0,15.7832248045116,233.495594684661,0,0,0
