"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,100,0,0,0,150,0,0,0,0
30,50.4364676641834,0,0,0,75.6547014962753,0,0,0,0
60,51.1565467443621,0,0,0,85.2336540328757,0,0,0,0
90,47.5768846490425,0,0,0,86.8329007640056,0,0,0,0
120,41.9067417995529,0,0,0,85.6225276520348,0,0,0,0
150,35.6210811292152,0,0,0,82.758747017759,0,0,0,0
180,29.1912948024676,0,0,0,78.6004252039543,0,0,0,0
210,22.9683118721248,0,0,0,73.0733730397096,0,0,0,0
240,17.27092817819,0,0,0,66.2104077081646,0,0,0,0
270,12.36509261466,0,0,0,58.2160195419903,0,0,0,0
300,8.41048199250169,0,0,0,49.4979032265583,0,0,0,0
330,5.43267492401847,0,0,0,40.6021436134469,0,0,0,0
360,3.33668291370932,0,0,0,32.0966816961625,0,0,0,0
390,1.95319999832054,0,0,0,24.4492844663813,0,0,0,0
420,1.0926511393392,0,0,0,17.9507477030612,0,0,0,0
450,0.585424703112758,0,0,0,12.7021346623018,0,0,0,0
480,0.300658351809876,0,0,0,8.65188222768684,0,0,0,0
510,0.147798138700746,0,0,0,5.65377324829198,0,0,0,0
540,0.0692178342066155,0,0,0,3.52139475996897,0,0,0,0
570,0.0305980618178239,0,0,0,2.06706182121098,0,0,0,0
600,0.0125720754983164,0,0,0,1.12344049705815,0,0,0,0
630,0.00469378724570449,0,0,0,0.551057368245774,0,0,0,0
660,0.00154783364973428,0,0,0,0.236274272286261,0,0,0,0
690,0.000438779248213421,0,0,0,0.0858618652496444,0,0,0,0
720,0.000105333303813018,0,0,0,0.0259739339124557,0,0,0,0
750,2.1468851819712e-05,0,0,0,0.00654933912845727,0,0,0,0
780,3.7734419539702e-06,0,0,0,0.00139858907885903,0,0,0,0
810,5.83602290254981e-07,0,0,0,0.000258425394191026,0,0,0,0
840,8.09803005078397e-08,0,0,0,4.21948096149858e-05,0,0,0,0
870,1.02522456741349e-08,0,0,0,6.20087044459615e-06,0,0,0,0
900,1.20094326389593e-09,0,0,0,8.33014179324231e-07,0,0,0,0
930,1.31679426800938e-10,0,0,0,1.03627225751672e-07,0,0,0,0
960,1.36443795594182e-11,0,0,0,1.20667034086641e-08,0,0,0,0
990,1.34666528283152e-12,0,0,0,1.32705076740027e-09,0,0,0,0
