"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,25,0,225,0,0,0,0,0
30,0,4.77058273911227,28.3342347522517,269.609122670024,0,0,0,0,0
60,0,2.32629113349163,27.4721628451108,259.248102310411,0,0,0,0,0
90,0,1.22329850507885,19.2325728135282,242.9763218277,0,0,0,0,0
120,0,0.650886271051114,13.5399541987476,221.418824943352,0,0,0,0,0
150,0,0.334201169057839,9.21806439764162,199.124662652456,0,0,0,0,0
180,0,0.165200445540669,6.05287791151507,172.944719453626,0,0,0,0,0
210,0,0.0779108833867661,3.79733756151424,143.886134702284,0,0,0,0,0
240,0,0.0347640804649592,2.25051701856648,113.077394787921,0,0,0,0,0
270,0,0.0144589525500503,1.23912226204872,82.350149096109,0,0,0,0,0
300,0,0.00548606232384226,0.618443322275272,54.0791145129521,0,0,0,0,0
330,0,0.0018467411941908,0.271177061984214,30.9286751389614,0,0,0,0,0
360,0,0.00053632611607482,0.101195965472281,14.8668006538747,0,0,0,0,0
390,0,0.000132054177715412,0.0314834703218604,5.86423739184091,0,0,0,0,0
420,0,2.75664037349127e-05,0.00815340940380555,1.89165957591928,0,0,0,0,0
450,0,4.94838779177062e-06,0.0017829621933124,0.506055317838532,0,0,0,0,0
480,0,7.79220601385247e-07,0.000336250109779277,0.114769791162359,0,0,0,0,0
510,0,1.09782523422243e-07,5.58660059208514e-05,0.0225733424716853,0,0,0,0,0
540,0,1.40786966455611e-08,8.33257167167026e-06,0.00392972238569154,0,0,0,0,0
570,0,1.66728381763421e-09,1.13364318093728e-06,0.000616171623789204,0,0,0,0,0
600,0,1.84523050928133e-10,1.42565029977324e-07,8.83065706803667e-05,0,0,0,0,0
630,0,1.9273295848533e-11,1.67568320019132e-08,1.17106727888557e-05,0,0,0,0,0
660,0,1.91537755854601e-12,1.85785657489558e-09,1.45194082032765e-06,0,0,0,0,0
690,0,1.82335652837574e-13,1.95799761424586e-10,1.69768248130253e-07,0,0,0,0,0
720,0,1.67202865012348e-14,1.97418839917056e-11,1.88570006429811e-08,0,0,0,0,0
750,0,1.48391493418035e-15,1.91467219973731e-12,2.00204972115657e-09,0,0,0,0,0
780,0,1.27962192241657e-16,1.79439637158073e-13,2.04237440649126e-10,0,0,0,0,0
810,0,1.07574935286376e-17,1.63135882095378e-14,2.01090154885535e-11,0,0,0,0,0
840,0,8.84156913978413e-19,1.44354199431318e-15,1.9182247715753e-12,0,0,0,0,0
870,0,7.12179365540417e-20,1.2467941771543e-16,1.77863932715618e-13,0,0,0,0,0
900,0,5.63372697621071e-21,1.05368656223853e-17,1.60763963951633e-14,0,0,0,0,0
930,0,4.38459674439796e-22,8.73177720268543e-19,1.41994668321159e-15,0,0,0,0,0
960,0,3.36254976841063e-23,7.10839706497388e-20,1.22820518903633e-16,0,0,0,0,0
990,0,2.54450822290093e-24,5.69404184159792e-21,1.04232320952322e-17,0,0,0,0,0
