"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,225,0,25,0,0,0,0,0
30,0,171.666404470686,17.4517105078808,1.62233443330652,0,0,0,0,0
60,0,215.783830374842,13.8708721600184,1.21489021930203,0,0,0,0,0
90,0,234.076878456042,9.41003599620423,0.590606343496258,0,0,0,0,0
120,0,235.275924239867,10.4157129722585,11.1504164186323,0,0,0,0,0
150,0,224.16256043579,20.7980684946787,14.3135094042553,0,0,0,0,0
180,0,213.924265158005,28.3643075116408,17.0183446929931,0,0,0,0,0
210,0,211.511210671108,30.576597694075,6.62005984016966,0,0,0,0,0
240,0,219.884316772937,22.8690869999373,3.36209436136174,0,0,0,0,0
270,0,228.69697097589,15.9490103873784,1.64259717268857,0,0,0,0,0
300,0,235.81196250601,10.5837672263087,0.736061329380008,0,0,0,0,0
330,0,240.954492617173,6.73182831946314,0.304525590346661,0,0,0,0,0
360,0,244.418446369963,4.14210337368577,0.117923050420337,0,0,0,0,0
390,0,246.636882981574,2.48808720065072,0.0433919188029182,0,0,0,0,0
420,0,248.006994318552,1.47029090331103,0.0153859831958329,0,0,0,0,0
450,0,248.832017333196,0.859692378052441,0.00531815351348562,0,0,0,0,0
480,0,249.32042540324,0.499367943374391,0.00180762186125751,0,0,0,0,0
510,0,249.606380994525,0.288911789473983,0.000607906210468297,0,0,0,0,0
540,0,249.772640732554,0.166755579694388,0.00020310713659011,0,0,0,0,0
570,0,249.86889313498,0.0961150668275943,6.75934696408002e-05,0,0,0,0,0
600,0,249.924471964215,0.0553542493628973,2.24425397510962e-05,0,0,0,0,0
630,0,249.956515152739,0.0318644751912596,7.44125292927281e-06,0,0,0,0,0
660,0,249.974972360763,0.0183377021758751,2.46532942096119e-06,0,0,0,0,0
690,0,249.985598229779,0.0105515244994094,8.16401701966433e-07,0,0,0,0,0
720,0,249.991713672975,0.00607080694916917,2.70282134931937e-07,0,0,0,0,0
750,0,249.995232623266,0.00349265051005193,8.9467266902424e-08,0,0,0,0,0
780,0,249.997257287653,0.00200932823365545,2.96123331120282e-08,0,0,0,0,0
810,0,249.998422129081,0.00115595037514212,9.80074269643189e-09,0,0,0,0,0
840,0,249.999092269006,0.000665002389449167,3.24363988880765e-09,0,0,0,0,0
870,0,249.99947779662,0.000382564576634755,1.07349236480517e-09,0,0,0,0,0
900,0,249.999699585864,0.00022008218213669,3.55272078548345e-10,0,0,0,0,0
930,0,249.999827177614,0.00012660888850484,1.17576565921273e-10,0,0,0,0,0
960,0,249.999900578795,7.28354887930202e-05,3.89115985418391e-11,0,0,0,0,0
990,0,249.999942805048,4.19007321637472e-05,1.28776486545969e-11,0,0,0,0,0
