"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,87.4067304639513,0,0,0,106.775079196329,0,0,0,0
60,107.027541120364,0,0,0,74.5547349873954,0,0,0,0
90,114.736692428386,0,0,0,80.693915553161,0,0,0,0
120,94.894269656664,0,0,0,115.69801694668,0,0,0,0
150,54.0474340025488,0,0,0,125.19275932986,0,0,0,0
180,24.4236112023463,0,0,0,111.564212978305,0,0,0,0
210,12.1121725576526,0,0,0,61.6729612959995,0,0,0,0
240,6.89003821799214,0,0,0,46.902265790028,0,0,0,0
270,4.240663255193,0,0,0,36.1848182010304,0,0,0,0
300,2.50828473306601,0,0,0,27.892211315639,0,0,0,0
330,1.42993610112941,0,0,0,20.7466290913329,0,0,0,0
360,0.78037538798419,0,0,0,14.9258156436391,0,0,0,0
390,0.408482128068637,0,0,0,10.341960722195,0,0,0,0
420,0.20486996219315,0,0,0,6.89005904750533,0,0,0,0
450,0.0981509493183581,0,0,0,4.39002668047044,0,0,0,0
480,0.0446014023478952,0,0,0,2.65155785074419,0,0,0,0
510,0.0189861604237029,0,0,0,1.4961368211835,0,0,0,0
540,0.00742614580793635,0,0,0,0.771506628360859,0,0,0,0
570,0.00259967100806338,0,0,0,0.352986845500062,0,0,0,0
600,0.000791303487298445,0,0,0,0.138681887790898,0,0,0,0
630,0.000204929788546364,0,0,0,0.0456226496308022,0,0,0,0
660,4.49135554033492e-05,0,0,0,0.0124739244202454,0,0,0,0
690,8.42025180822014e-06,0,0,0,0.00286424911810718,0,0,0,0
720,1.37628185399432e-06,0,0,0,0.000563474469983993,0,0,0,0
750,2.0011571324159e-07,0,0,0,9.70522600124657e-05,0,0,0,0
780,2.63566784670083e-08,0,0,0,1.4926380367551e-05,0,0,0,0
810,3.19268177087244e-09,0,0,0,2.08456168998349e-06,0,0,0,0
840,3.60213593506754e-10,0,0,0,2.68093838982609e-07,0,0,0,0
870,3.82497501136625e-11,0,0,0,3.2125312230741e-08,0,0,0,0
900,3.85564743580745e-12,0,0,0,3.62177251869207e-09,0,0,0,0
930,3.71586962238242e-13,0,0,0,3.87286082540528e-10,0,0,0,0
960,3.44422077566806e-14,0,0,0,3.95483240520233e-11,0,0,0,0
990,3.08559091846675e-15,0,0,0,3.87870835322437e-12,0,0,0,0
