"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,16.2233443330652,0,0,0,43.5949364331056,130.784809299317,0,0,0
60,64.7657468369151,0,0,0,27.5546360624509,129.701389090788,0,0,0
90,60.6884991819457,0,0,0,13.9747890595144,165.74939925889,0,0,0
120,44.2976301069,0,0,0,86.0378085829265,181.762966388949,0,0,0
150,22.8692790928199,0,0,0,106.297310677777,188.392401846462,0,0,0
180,11.7327757425374,0,0,0,111.751905854454,193.692534532894,0,0,0
210,8.44869181368009,0,0,0,45.5948942240291,195.408561896162,0,0,0
240,7.75770776841406,0,0,0,26.4194003990099,211.985210864436,0,0,0
270,7.68313393790242,0,0,0,14.5021976352696,225.84592688674,0,0,0
300,7.63403673023565,0,0,0,7.94211870042299,233.618355672087,0,0,0
330,7.60664425904524,0,0,0,4.31451507569018,237.763046027304,0,0,0
360,7.58953419991412,0,0,0,2.33668380476108,239.946773349438,0,0,0
390,7.57951743870035,0,0,0,1.26360770128704,241.102736546308,0,0,0
420,7.57382835463379,0,0,0,0.682819604279541,241.718685659259,0,0,0
450,7.57066715558625,0,0,0,0.368842344801288,242.048575624392,0,0,0
480,7.56893248762103,0,0,0,0.199201892763661,242.225856365489,0,0,0
510,7.56798735939477,0,0,0,0.107572944910982,242.321321744745,0,0,0
540,7.56747449453928,0,0,0,0.0580884455194875,242.372791107252,0,0,0
570,7.56719681174898,0,0,0,0.0313663653276102,242.400559176747,0,0,0
600,7.56704665132225,0,0,0,0.0169368270978268,242.415545893416,0,0,0
630,7.56696550505129,0,0,0,0.00914526650800053,242.423636066418,0,0,0
660,7.56692167012595,0,0,0,0.00493808733439948,242.428003826023,0,0,0
690,7.56689799542713,0,0,0,0.00266636828945011,242.430362059073,0,0,0
720,7.56688521042054,0,0,0,0.0014397296486294,242.431635355275,0,0,0
750,7.56687830656611,0,0,0,0.000777394493920153,242.432322867083,0,0,0
780,7.56687457863152,0,0,0,0.000419760733555261,242.43269409037,0,0,0
810,7.56687256566122,0,0,0,0.000226653313441863,242.432894534162,0,0,0
840,7.56687147872928,0,0,0,0.000122383336013535,242.433002765063,0,0,0
870,7.56687089182792,0,0,0,6.60818932037443e-05,242.43306120512,0,0,0
900,7.56687057492468,0,0,0,3.56814629588889e-05,242.433092760278,0,0,0
930,7.56687040380987,0,0,0,1.92664997223322e-05,242.433109798735,0,0,0
960,7.56687031141493,0,0,0,1.04031050672557e-05,242.433118998788,0,0,0
990,7.5668702615255,0,0,0,5.61724215914582e-06,242.433123966431,0,0,0
