"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,150,0,100,0,0,0,0,0
30,0,188.252508983115,56.7259987695032,6.48933773322609,0,0,0,0,0
60,0,201.573737896103,38.005616240089,7.99783769888055,0,0,0,0,0
90,0,212.718412062699,27.66326204201,4.9097508222941,0,0,0,0,0
120,0,198.420962693282,29.2875948166512,66.3442329617363,0,0,0,0,0
150,0,150.966719325755,61.073709434518,100.741665770506,0,0,0,0,0
180,0,107.400543376235,78.2950531575046,143.176668515452,0,0,0,0,0
210,0,83.8277300246311,94.1897161757747,108.047810484417,0,0,0,0,0
240,0,76.8419687561853,91.4889311624038,106.831274393977,0,0,0,0,0
270,0,73.454496682425,90.5960546912599,108.478226249689,0,0,0,0,0
300,0,70.3217694668215,90.4403362794501,112.358815647642,0,0,0,0,0
330,0,66.8889635758678,90.4041096367338,117.225495348207,0,0,0,0,0
360,0,62.9532642891097,90.2528260073089,123.188523535667,0,0,0,0,0
390,0,58.4537140906514,89.8613294225889,130.344678998821,0,0,0,0,0
420,0,53.3739790618086,89.0894091588564,138.866029328917,0,0,0,0,0
450,0,47.7449502258827,87.7653337588541,148.897274204375,0,0,0,0,0
480,0,41.6569517061699,85.6806964831757,160.518291896376,0,0,0,0,0
510,0,35.2730080421368,82.6067593993242,173.674306170735,0,0,0,0,0
540,0,28.8312715214719,78.3314407629012,188.09333433103,0,0,0,0,0
570,0,22.6268076646163,72.7192170962851,203.202778064297,0,0,0,0,0
600,0,16.9676890455091,65.782058563301,218.081317262498,0,0,0,0,0
630,0,12.112948797444,57.7333398207006,231.489617601921,0,0,0,0,0
660,0,8.21466646013141,48.989473530665,242.007006909285,0,0,0,0,0
690,0,5.2906960778557,40.1011296829026,248.254865167881,0,0,0,0,0
720,0,3.24035325963765,31.6334904867655,249.136628385996,0,0,0,0,0
750,0,1.89177205610426,24.0456939659792,244.0091186304,0,0,0,0,0
780,0,1.05563091697831,17.6174581617603,232.736420725785,0,0,0,0,0
810,0,0.564222034929037,12.4398004974435,215.63869990098,0,0,0,0,0
840,0,0.289064960732332,8.45413819709646,193.392313647617,0,0,0,0,0
870,0,0.141729685436571,5.51061070261032,166.94604400005,0,0,0,0,0
900,0,0.0661773348880545,3.42185531697973,137.501968350264,0,0,0,0,0
930,0,0.0291461361781339,2.00091980921793,106.583679630135,0,0,0,0,0
960,0,0.0119183125031843,1.08197094535583,76.1697527776715,0,0,0,0,0
990,0,0.00442180562720573,0.52712976503668,48.7530833644969,0,0,0,0,0
