"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,180.806589902563,0,0,0,71.0193279420809,0,0,0,0
60,188.350308718239,0,0,0,47.4044783133655,0,0,0,0
90,199.998862547297,0,0,0,36.408625811633,0,0,0,0
120,182.027175829053,0,0,0,74.2538490038941,0,0,0,0
150,127.603667466912,0,0,0,109.172799383654,0,0,0,0
180,80.2386267212029,0,0,0,121.614028098314,0,0,0,0
210,55.5011497735296,0,0,0,96.4820950115335,0,0,0,0
240,45.1509330282685,0,0,0,88.6291276284252,0,0,0,0
270,38.1900097196674,0,0,0,84.4859211671451,0,0,0,0
300,31.5557939590284,0,0,0,80.3778248098707,0,0,0,0
330,25.1876688307694,0,0,0,75.2631805287284,0,0,0,0
360,19.2568520819761,0,0,0,68.8478328649546,0,0,0,0
390,14.0382265602887,0,0,0,61.2222557315486,0,0,0,0
420,9.72861428826028,0,0,0,52.7071204809796,0,0,0,0
450,6.40235204490233,0,0,0,43.8082458136365,0,0,0,0
480,4.00378638466894,0,0,0,35.0997845578235,0,0,0,0
510,2.38411332931062,0,0,0,27.0977658822238,0,0,0,0
540,1.35539855512131,0,0,0,20.1618555009495,0,0,0,0
570,0.737507201824749,0,0,0,14.4595921828931,0,0,0,0
600,0.384627786696631,0,0,0,9.98846289558268,0,0,0,0
630,0.192163826756437,0,0,0,6.62967332522435,0,0,0,0
660,0.0916624803682307,0,0,0,4.20594107468023,0,0,0,0
690,0.0414350698258779,0,0,0,2.52667785923692,0,0,0,0
720,0.0175208150603497,0,0,0,1.41566211379754,0,0,0,0
750,0.00679310003221684,0,0,0,0.723168980147786,0,0,0,0
780,0.00235116530846479,0,0,0,0.32681432038936,0,0,0,0
810,0.000705862862091767,0,0,0,0.126476209767257,0,0,0,0
840,0.000180078850982647,0,0,0,0.040923452539583,0,0,0,0
870,3.88943247248263e-05,0,0,0,0.0110084294159823,0,0,0,0
900,7.19673132512877e-06,0,0,0,0.00249076624339841,0,0,0,0
930,1.16309652594048e-06,0,0,0,0.000483777623086134,0,0,0,0
960,1.67508789184798e-07,0,0,0,8.24212851183009e-05,0,0,0,0
990,2.18845860714895e-08,0,0,0,1.25590259922502e-05,0,0,0,0
