"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,100,0,150,0,0,0,0,0
30,0,156.08958878374,30.5121605808758,9.73400659983914,0,0,54.2438410326681,0,0
60,0,140.471516268842,13.5724083753708,1.5904747983296,0,0,82.3722447438123,6.08926889541061,8.76079247870435
90,0,142.920384136575,6.0788216136365,0.395465506666649,0,0,84.7810119613692,3.79725164810226,12.0391772666972
120,0,113.067408802638,5.57894251264735,60.6162205315396,0,0,87.0821596399644,28.0991928942499,22.0940813125603
150,0,61.2538210544223,12.523570136026,71.554029570368,0,0,92.0732405042897,53.0785283772733,40.4268269842279
180,0,28.2188549692753,11.4428521178168,75.3217009525687,0,0,81.4782869517492,72.4825560415827,64.1378975185003
210,0,14.7344643455093,9.46200396163273,16.0606910838472,0,0,74.4576870830796,61.5582750186195,92.5237649869784
240,0,11.1478427492561,5.80447158075557,4.32983585806724,0,0,73.0985410718759,40.7752032683111,117.631124980754
270,0,9.74392749275027,3.34699272703467,1.38445026643752,0,0,73.2602240120009,25.6202977366837,136.804355246811
300,0,9.07617414878098,1.95761301484698,0.469608125353912,0,0,73.6207616256295,15.7483172770124,148.985183049244
330,0,8.70009861276849,1.15178604274308,0.163991535370026,0,0,73.8169538940689,9.58628325625311,156.472715059816
360,0,8.48324519187774,0.682719299498004,0.0580805676525676,0,0,73.920035703496,5.80234979146122,160.99204690652
390,0,8.35526774053779,0.406748456090091,0.0207339280153932,0,0,73.97170839749,3.50131804533949,163.710640281328
420,0,8.27922217202652,0.243140752964816,0.00743604217356831,0,0,73.9987814896558,2.10916126344869,165.343674625322
450,0,8.23380724718434,0.145643717315069,0.00267424912830431,0,0,74.0134638497797,1.26928434534519,166.324599270713
480,0,8.20661843277508,0.0873531925877339,0.000963346524938072,0,0,74.0217059106237,0.76341033080912,166.913863753696
510,0,8.19031591815832,0.0524326501393167,0.000347373512236298,0,0,74.0264449156537,0.458996950507818,167.267893966946
540,0,8.18053219221038,0.0314867652363432,0.000125334789484209,0,0,74.0292153528584,0.27591422144975,167.480613945496
570,0,8.17465745848815,0.0189137158969941,4.52380001482963e-05,0,0,74.030852178381,0.16583881457818,167.608434882493
600,0,8.17112878433784,0.0113631700097962,1.63316268629491e-05,0,0,74.0318256928854,0.0996705973975205,167.685243788413
630,0,8.16900886658389,0.00682757648110627,5.89674272377777e-06,0,0,74.0324070639462,0.0599003314153639,167.731400080121
660,0,8.16773513786908,0.00410261120756707,2.12926138751952e-06,0,0,74.0327551156744,0.0359981483258899,167.759136864714
690,0,8.16696977879608,0.00246530249316384,7.6889361137941e-07,0,0,74.0329637988663,0.0216333789874667,167.77580491707
720,0,8.16650986992945,0.00148145929895229,2.77661606132234e-07,0,0,74.0330890338034,0.0130006332491183,167.785821410752
750,0,8.166233500944,0.000890256263452228,1.00270413434401e-07,0,0,74.033164230901,0.007812719342173,167.791840736708
780,0,8.16606742244066,0.000534987752348147,3.62104751702927e-08,0,0,74.0332093977305,0.00469503115694267,167.795458005379
810,0,8.16596761992105,0.000321495381166577,1.30767045873371e-08,0,0,74.0332365323732,0.0028214597297065,167.797631778085
840,0,8.1659076446842,0.00019319989943545,4.72241344533031e-09,0,0,74.0332528358525,0.00169554260029279,167.798938092659
870,0,8.16587160310015,0.000116102029457592,1.70541730349173e-09,0,0,74.0332626322761,0.00101892739443317,167.799723114208
900,0,8.16584994418852,6.97707162677325e-05,6.15882555463951e-10,0,0,74.0332685189976,0.000612318781925773,167.800194868091
930,0,8.16583692841732,4.19282585851993e-05,2.22415725209427e-10,0,0,74.0332720564503,0.000367969488223554,167.800478365732
960,0,8.1658291066752,2.51965240887193e-05,8.03217727536806e-11,0,0,74.0332741822118,0.000221129135364916,167.800648731937
990,0,8.16582440624869,1.5141696600946e-05,2.9006892569497e-11,0,0,74.0332754596576,0.000132886262088016,167.800751112491
