"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,123.549897536215,0,0,0,45.8165714423826,81.4516825642356,0,0,0
60,144.683758700475,0,0,0,25.0839867237423,69.2607067038397,0,0,0
90,144.463458830358,0,0,0,12.2778515056972,85.7056177177568,0,0,0
120,108.334387988662,0,0,0,78.5563890572208,110.874765810642,0,0,0
150,59.1472560659625,0,0,0,101.388541169804,137.633295563863,0,0,0
180,31.5138837248605,0,0,0,109.125597433283,155.87082583003,0,0,0
210,22.8737018717524,0,0,0,53.2933601558474,163.973413307385,0,0,0
240,20.8230399147205,0,0,0,34.7118044619487,185.562141262178,0,0,0
270,20.5042839543733,0,0,0,21.8272342266726,203.013543133539,0,0,0
300,20.2279438257298,0,0,0,13.6907430892158,213.898204131382,0,0,0
330,20.045606951971,0,0,0,8.52218116562899,220.408670386869,0,0,0
360,19.9174025515188,0,0,0,5.29102824163133,224.292777181602,0,0,0
390,19.8326124231914,0,0,0,3.28071415555125,226.630598849765,0,0,0
420,19.7778293094997,0,0,0,2.03307615413886,228.050779272482,0,0,0
450,19.7430509200081,0,0,0,1.25957788586502,228.919441171387,0,0,0
480,19.7211858465957,0,0,0,0.780262016993771,229.453232610103,0,0,0
510,19.7075206362743,0,0,0,0.483311171210609,229.782222630392,0,0,0
540,19.6990102077767,0,0,0,0.299362441691224,229.985367208554,0,0,0
570,19.69372137437,0,0,0,0.185420931980573,230.110950705113,0,0,0
600,19.6904388724548,0,0,0,0.114845748156311,230.188642075812,0,0,0
630,19.6884032109273,0,0,0,0.0711324761727744,230.236726742776,0,0,0
660,19.6871413991942,0,0,0,0.044057416142354,230.266495466121,0,0,0
690,19.6863594954802,0,0,0,0.0272878270597313,230.284928121516,0,0,0
720,19.6858750648438,0,0,0,0.0169012244590835,230.296342741252,0,0,0
750,19.6855749688057,0,0,0,0.0104680778678487,230.303411828978,0,0,0
780,19.6853890778708,0,0,0,0.00648358856617333,230.307789900605,0,0,0
810,19.685273934972,0,0,0,0.00401572332238858,230.310501423225,0,0,0
840,19.6852026161195,0,0,0,0.00248720747455109,230.312180808483,0,0,0
870,19.6851584423713,0,0,0,0.00154049460305978,230.313220948039,0,0,0
900,19.6851310821472,0,0,0,0.000954131663251231,230.31386516992,0,0,0
930,19.6851141359501,0,0,0,0.000590957720557191,230.314264177303,0,0,0
960,19.6851036399668,0,0,0,0.000366019731515238,230.314511308391,0,0,0
990,19.6850971390751,0,0,0,0.000226700551126648,230.31466437288,0,0,0
