"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,109.435788463657,0,0,0,50.923411261697,90.5305089096834,0,0,0
60,132.816752476272,0,0,0,27.8695959986379,77.2065655304328,0,0,0
90,132.068892969366,0,0,0,13.8656256033776,95.8955319357606,0,0,0
120,96.7329325211186,0,0,0,86.8735420541095,120.74429279425,0,0,0
150,50.2596905596479,0,0,0,110.563758039179,144.419502739816,0,0,0
180,25.5031914449576,0,0,0,118.052591484707,159.940871169004,0,0,0
210,17.9892678231401,0,0,0,55.7798795849466,166.31801876881,0,0,0
240,16.1913507975648,0,0,0,36.4848644920323,188.107292010039,0,0,0
270,15.9010834916388,0,0,0,23.0691329487078,206.251429105967,0,0,0
300,15.6522321115781,0,0,0,14.5512670618335,217.595753565182,0,0,0
330,15.4886459013141,0,0,0,9.10537486378837,224.399958811,0,0,0
360,15.3740491840654,0,0,0,5.68227674217294,228.467722270425,0,0,0
390,15.2982304348351,0,0,0,3.54135545706143,230.923253414538,0,0,0
420,15.2491356484898,0,0,0,2.20583389319437,232.42024675514,0,0,0
450,15.2178601768681,0,0,0,1.37361418297293,233.33963044009,0,0,0
480,15.1981155539498,0,0,0,0.855270954457889,233.907100241467,0,0,0
510,15.1857190673537,0,0,0,0.532495515387251,234.25848603131,0,0,0
540,15.1779615674656,0,0,0,0.331523218686677,234.476511061882,0,0,0
570,15.1731167307183,0,0,0,0.20639729927771,234.611961013397,0,0,0
600,15.1700946346541,0,0,0,0.128495963829356,234.696176892265,0,0,0
630,15.1682109286629,0,0,0,0.0799967321038718,234.748563726907,0,0,0
660,15.1670373344442,0,0,0,0.0498027550677465,234.781161111992,0,0,0
690,15.1663063652157,0,0,0,0.0310051253505749,234.801448480044,0,0,0
720,15.1658511638795,0,0,0,0.0193024750848806,234.814076052314,0,0,0
750,15.1655677243979,0,0,0,0.0120168912359841,234.821936474529,0,0,0
780,15.1653912476185,0,0,0,0.00748119586976691,234.82682966035,0,0,0
810,15.1652813732495,0,0,0,0.0046574668738009,234.829875800487,0,0,0
840,15.1652129673166,0,0,0,0.00289953552008479,234.831772138398,0,0,0
870,15.1651703796326,0,0,0,0.00180512398046545,234.832952693754,0,0,0
900,15.165143865963,0,0,0,0.00112379113808094,234.833687647416,0,0,0
930,15.1651273595425,0,0,0,0.000699623113043126,234.834145194102,0,0,0
960,15.1651170833024,0,0,0,0.000435554675978302,234.834430041346,0,0,0
990,15.1651106857401,0,0,0,0.000271157239578299,234.834607374259,0,0,0
