"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,110.432230236763,0,0,0,143.109954178426,0,0,0,0
60,108.256810779852,0,0,0,88.0264334166467,0,0,0,0
90,110.79599770413,0,0,0,83.3825885259161,0,0,0,0
120,80.2537676410338,0,0,0,141.598549898261,0,0,0,0
150,34.4043864469062,0,0,0,144.771829444723,0,0,0,0
180,10.5786380598258,0,0,0,121.581559660216,0,0,0,0
210,3.59515332798746,0,0,0,35.8500894092057,0,0,0,0
240,1.56198107950047,0,0,0,23.7112145516132,0,0,0,0
270,0.800205902247727,0,0,0,15.2167732428647,0,0,0,0
300,0.409730203460851,0,0,0,10.4480003585295,0,0,0,0
330,0.203975621733818,0,0,0,6.87921408648984,0,0,0,0
360,0.0974556651193527,0,0,0,4.37473912641997,0,0,0,0
390,0.0442117902021704,0,0,0,2.63724419967691,0,0,0,0
420,0.01879812026048,0,0,0,1.48619360210376,0,0,0,0
450,0.00734296552527992,0,0,0,0.765320987408148,0,0,0,0
480,0.00256660989705978,0,0,0,0.349569393857468,0,0,0,0
510,0.000779816743383857,0,0,0,0.137066285054872,0,0,0,0
540,0.000201557273222446,0,0,0,0.0449931155294025,0,0,0,0
570,4.4089664082874e-05,0,0,0,0.0122755312772961,0,0,0,0
600,8.25153729870901e-06,0,0,0,0.00281323804431406,0,0,0,0
630,1.346703508844e-06,0,0,0,0.000552509284883528,0,0,0,0
660,1.95568640614397e-07,0,0,0,9.50270970169635e-05,0,0,0,0
690,2.57304169847467e-08,0,0,0,1.45970689367442e-05,0,0,0,0
720,3.11401301148444e-09,0,0,0,2.03644815876506e-06,0,0,0,0
750,3.5106841447086e-10,0,0,0,2.61672427162646e-07,0,0,0,0
780,3.72541937408963e-11,0,0,0,3.13317847001014e-08,0,0,0,0
810,3.75317233362344e-12,0,0,0,3.52996725046355e-09,0,0,0,0
840,3.61534080431682e-13,0,0,0,3.77251338208412e-10,0,0,0,0
870,3.3496143734124e-14,0,0,0,3.85041864439932e-11,0,0,0,0
900,2.99971669753632e-15,0,0,0,3.77463145410247e-12,0,0,0,0
930,2.60739479158619e-16,0,0,0,3.5712267244084e-13,0,0,0,0
960,2.20747147315637e-17,0,0,0,3.27420914944198e-14,0,0,0,0
990,1.82572682000794e-18,0,0,0,2.91910690677625e-15,0,0,0,0
