"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,0,0,250,0,0,0,0,0
30,0,94.2088859036972,143.109954178426,16.2233443330652,0,0,0,0,0
60,0,107.298774058941,88.0264334166467,74.1063272389859,0,0,0,0,0
90,0,110.739422787161,83.3825885259161,63.8284790179423,0,0,0,0,0
120,0,80.2504267239684,65.7760933731733,253.231651534013,0,0,0,0,0
150,0,34.4041891558196,64.4718314134324,363.493163623755,0,0,0,0,0
180,0,10.5786264092005,41.0171494895855,446.492707157032,0,0,0,0,0
210,0,3.59515263998339,31.0925214406398,338.372404609745,0,0,0,0,0
240,0,1.56198103887178,23.4302660170483,261.563989189413,0,0,0,0,0
270,0,0.800205899848482,15.200182396534,234.463902909487,0,0,0,0,0
300,0,0.409730203319168,10.4470206197229,207.221732086057,0,0,0,0,0
330,0,0.203975621725451,6.87915623000018,181.55110537509,0,0,0,0,0
360,0,0.0974556651188586,4.37473570982223,152.70104436146,0,0,0,0,0
390,0,0.0442117902021412,2.63724399791666,122.158636581384,0,0,0,0,0
420,0,0.0187981202604783,1.48619359018922,91.1318687143448,0,0,0,0,0
450,0,0.00734296552527982,0.765320986704559,61.861712573949,0,0,0,0,0
480,0,0.00256660989705977,0.349569393815918,36.9621109566717,0,0,0,0,0
510,0,0.000779816743383857,0.137066285052419,18.7427713615728,0,0,0,0,0
540,0,0.000201557273222446,0.0449931155292576,7.83843171521589,0,0,0,0,0
570,0,4.40896640828741e-05,0.0122755312772875,2.67773083142645,0,0,0,0,0
600,0,8.25153729870902e-06,0.00281323804431355,0.754615342337926,0,0,0,0,0
630,0,1.346703508844e-06,0.000552509284883498,0.179086850411075,0,0,0,0,0
660,0,1.95568640614397e-07,9.50270970169617e-05,0.0366235162964373,0,0,0,0,0
690,0,2.57304169847467e-08,1.45970689367441e-05,0.00659207306404795,0,0,0,0,0
720,0,3.11401301148444e-09,2.03644815876506e-06,0.00106364358631778,0,0,0,0,0
750,0,3.51068414470861e-10,2.61672427162646e-07,0.000156239443410956,0,0,0,0,0
780,0,3.72541937408963e-11,3.13317847001013e-08,2.11656864424957e-05,0,0,0,0,0
810,0,3.75317233362343e-12,3.52996725046355e-09,2.6732286209223e-06,0,0,0,0,0
840,0,3.61534080431682e-13,3.77251338208412e-10,3.17656850625129e-07,0,0,0,0,0
870,0,3.3496143734124e-14,3.85041864439931e-11,3.57871556406313e-08,0,0,0,0,0
900,0,2.99971669753631e-15,3.77463145410247e-12,3.84727176085672e-09,0,0,0,0,0
930,0,2.60739479158619e-16,3.57122672440841e-13,3.9684130786164e-10,0,0,0,0,0
960,0,2.20747147315637e-17,3.27420914944198e-14,3.945904303179e-11,0,0,0,0,0
990,0,1.82572682000794e-18,2.91910690677626e-15,3.79730516805734e-12,0,0,0,0,0
