"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,0,0,0,0,0,0,0,0
30,0,211.074940123261,0,0,0,0,0,0,0
60,0,243.553237066239,0,0,0,0,0,0,0
90,0,248.585967990154,0,0,0,0,0,0,0
120,0,243.912024745421,4.50367957939877,10.3785130571911,0,0,0,0,0
150,0,229.75955440057,17.0311298480176,13.2729328707531,0,0,0,0,0
180,0,218.013303991928,25.6552584661264,15.9347854322217,0,0,0,0,0
210,0,214.749235693151,28.3694911570408,5.79313997645739,0,0,0,0,0
240,0,222.542394198144,20.9764964480328,2.83688835761416,0,0,0,0,0
270,0,230.765727226602,14.4359668910301,1.35108757991927,0,0,0,0,0
300,0,237.316099513226,9.46807925340787,0.592286507309476,0,0,0,0,0
330,0,241.981550248471,5.96598249487444,0.240587960550322,0,0,0,0,0
360,0,245.084549225664,3.64545410035245,0.0918301221421826,0,0,0,0,0
390,0,247.052271658536,2.17922882839892,0.0334317869233499,0,0,0,0,0
420,0,248.258836471128,1.28370601768303,0.0117660148239716,0,0,0,0,0
450,0,248.981786940029,0.749100115248829,0.00404667740318587,0,0,0,0,0
480,0,249.408370150399,0.434599572340752,0.00137106167008569,0,0,0,0,0
510,0,249.657607025472,0.251257194863473,0.000460176612601326,0,0,0,0,0
540,0,249.802329932678,0.144959925195312,0.000153564747521901,0,0,0,0,0
570,0,249.886047959238,0.083531591264918,5.10694011471923e-05,0,0,0,0,0
600,0,249.934366249844,0.0481002607326955,1.69490611973511e-05,0,0,0,0,0
630,0,249.962215688259,0.0276864275743395,5.61840946026314e-06,0,0,0,0,0
660,0,249.978254620991,0.0159325069819333,1.86114673407105e-06,0,0,0,0,0
690,0,249.987487398338,0.00916731897382211,6.16274091787691e-07,0,0,0,0,0
720,0,249.992800788562,0.00527432154524165,2.04017200247896e-07,0,0,0,0,0
750,0,249.995858122939,0.00303438937921894,6.75307793457965e-08,0,0,0,0,0
780,0,249.997617159157,0.00174568051141167,2.23513311449425e-08,0,0,0,0,0
810,0,249.998629167028,0.00100427289724134,7.3975145155765e-09,0,0,0,0,0
840,0,249.999211377339,0.000577743403728573,2.44825815804414e-09,0,0,0,0,0
870,0,249.999546318362,0.000332365629054031,8.102559649905e-10,0,0,0,0,0
900,0,249.999739005376,0.000191203563760622,2.68153583797473e-10,0,0,0,0,0
930,0,249.999849854954,0.000109995558756667,8.87447907380546e-11,0,0,0,0,0
960,0,249.999913624629,6.32781698156151e-05,2.93697955314105e-11,0,0,0,0,0
990,0,249.999950310052,3.64026025770179e-05,9.71982128692944e-12,0,0,0,0,0
