"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,0,0,0,0,0,0,0,0
30,211.074940123261,0,0,0,0,0,0,0,0
60,243.553237066239,0,0,0,0,0,0,0,0
90,248.585967990154,0,0,0,0,0,0,0,0
120,227.341522162993,0,0,0,44.5087579346726,6.86681659752161,0,0,0
150,175.083518760824,0,0,0,68.8771521070328,29.7685535095721,0,0,0
180,137.598118044912,0,0,0,80.9180743276156,46.650133936859,0,0,0
210,122.566004076315,0,0,0,48.0649140659495,63.0708818147563,0,0,0
240,132.657317868953,0,0,0,30.4505846488178,73.6176059645999,0,0,0
270,142.311095782692,0,0,0,16.883576712301,82.7289864408143,0,0,0
300,148.987542356797,0,0,0,8.58880831383794,88.1124216736329,0,0,0
330,152.704237354308,0,0,0,4.11829579592023,91.0254119331076,0,0,0
360,154.598780193368,0,0,0,1.90609445212755,92.4648434736542,0,0,0
390,155.507253109459,0,0,0,0.865450236303861,93.1474729176007,0,0,0
420,155.929305807907,0,0,0,0.389163317617256,93.4620232736674,0,0,0
450,156.12164945469,0,0,0,0.174180069315925,93.6048579135204,0,0,0
480,156.20842127623,0,0,0,0.077789884123828,93.6691511239474,0,0,0
510,156.247344469828,0,0,0,0.0347070614620566,93.6979605331397,0,0,0
540,156.26475258997,0,0,0,0.0154781306289107,93.7108376510838,0,0,0
570,156.272525960169,0,0,0,0.00690131920923418,93.7165860924443,0,0,0
600,156.275994256866,0,0,0,0.00307685332749489,93.7191505169719,0,0,0
630,156.277541085118,0,0,0,0.0013717156453234,93.7202941401353,0,0,0
660,156.278230811473,0,0,0,0.000611524183254918,93.7208040586596,0,0,0
690,156.278538325894,0,0,0,0.000272621261214358,93.7210314014551,0,0,0
720,156.278675423934,0,0,0,0.000121535812085072,93.7211327558999,0,0,0
750,156.27873654425,0,0,0,5.41811382396461e-05,93.7211779409862,0,0,0
780,156.27876379223,0,0,0,2.41541453437504e-05,93.7211980848527,0,0,0
810,156.278775939544,0,0,0,1.07680010556754e-05,93.7212070650999,0,0,0
840,156.278781354873,0,0,0,4.80041122650387e-06,93.7212110685337,0,0,0
870,156.278783769048,0,0,0,2.14003939856095e-06,93.72121285328,0,0,0
900,156.278784845296,0,0,0,9.54036703036294e-07,93.7212136489262,0,0,0
930,156.278785325091,0,0,0,4.25312739589519e-07,93.721214003628,0,0,0
960,156.278785538986,0,0,0,1.89605834743551e-07,93.7212141617553,0,0,0
990,156.27878563434,0,0,0,8.45269119253816e-08,93.721214232249,0,0,0
