Time,ZW,ZZ,MZ,MM,MW,RW,RZ,MR,RR,generation,threshold,rM,releases,total_females
0,250,0,0,0,0,0,0,0,0,1,0.1,0.001,1,250
30,250.000322400697,0,0,0,0,0,0,0,0,2,0.1,0.001,1,250.000322400697
60,250.000090984018,0,0,0,0,0,0,0,0,3,0.1,0.001,1,250.000090984018
90,250.000018876751,0,0,0,0,0,0,0,0,4,0.1,0.001,1,250.000018876751
120,244.224036600234,0,0,0,12.061383530384,0.0117536311931724,0,0,0,5,0.1,0.001,1,256.29717376181117
150,235.680408957938,0,0,0,13.3660831411228,0.0356430555450757,0,0,0,6,0.1,0.001,1,249.08213515460588
180,238.674708250755,0,0,0,9.09675641969748,0.0454803541527153,0,0,0,7,0.1,0.001,1,247.8169450246052
210,242.450460380241,0,0,0,5.72251168763142,0.054248366482737,0,0,0,8,0.1,0.001,1,248.22722043435516
240,245.278005265886,0,0,0,3.48635811077318,0.0595748329944334,0,0,0,9,0.1,0.001,1,248.82393820965362
270,247.130327074987,0,0,0,2.07961536063911,0.0628968569421714,0,0,0,10,0.1,0.001,1,249.27283929256828
300,248.276346485628,0,0,0,1.22314639692272,0.0648769326546064,0,0,0,11,0.1,0.001,1,249.56436981520534
330,248.964331616791,0,0,0,0.712965303749061,0.0660455633294974,0,0,0,12,0.1,0.001,1,249.74334248386955
360,249.370228836353,0,0,0,0.413287056653153,0.0667273165361766,0,0,0,13,0.1,0.001,1,249.85024320954233
390,249.607228260913,0,0,0,0.23877513863073,0.0671228581456198,0,0,0,14,0.1,0.001,1,249.91312625768933
420,249.744750684439,0,0,0,0.137680319112767,0.0673514782399173,0,0,0,15,0.1,0.001,1,249.9497824817917
450,249.824253515506,0,0,0,0.0792966867683234,0.0674833415515616,0,0,0,16,0.1,0.001,1,249.97103354382588
480,249.870113319239,0,0,0,0.0456402588801071,0.0675593004937104,0,0,0,17,0.1,0.001,1,249.98331287861282
510,249.896532341213,0,0,0,0.0262587081506016,0.0676030240866681,0,0,0,18,0.1,0.001,1,249.99039407345026
540,249.911740289515,0,0,0,0.0151043414455694,0.0676281815315713,0,0,0,19,0.1,0.001,1,249.99447281249215
570,249.920490771806,0,0,0,0.00868709256019645,0.0676426529114172,0,0,0,20,0.1,0.001,1,249.9968205172776
600,249.925524406194,0,0,0,0.00499591440158358,0.0676509761294488,0,0,0,21,0.1,0.001,1,249.99817129672502
630,249.92841952728,0,0,0,0.00287300941574589,0.0676557628364786,0,0,0,22,0.1,0.001,1,249.99894829953223
660,249.930084528238,0,0,0,0.00165214621460893,0.0676585155550703,0,0,0,23,0.1,0.001,1,249.9993951900077
