"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,250,0,0,0,0,0,0,0
30,0,250.000322400697,0,0,0,0,0,0,0
60,0,250.000090984018,0,0,0,0,0,0,0
90,0,250.000018876751,0,0,0,0,0,0,0
120,0,244.231406734627,4.48834603125901,10.364300687686,0,0,0,0,0
150,0,229.867268738971,16.9959646721877,13.2593959801442,0,0,0,0,0
180,0,218.071776253796,25.6229963298624,15.9215813649161,0,0,0,0,0
210,0,214.791107497889,28.3420652912046,5.78322702521707,0,0,0,0,0
240,0,222.575513375389,20.9530961678146,2.83068541079409,0,0,0,0,0
270,0,230.791060215641,14.4174558434001,1.34769768069961,0,0,0,0,0
300,0,237.334315218294,9.45456617573413,0.590638893573792,0,0,0,0,0
330,0,241.993887336335,5.95678375909116,0.239864420067342,0,0,0,0,0
360,0,245.092502033389,3.63952656132083,0.0915378090547492,0,0,0,0,0
390,0,247.057209397319,2.17555921273874,0.0333210508888116,0,0,0,0,0
420,0,248.261821038138,1.28149587360262,0.0117259857410975,0,0,0,0,0
450,0,248.983558260528,0.747792664023443,0.00403266917090044,0,0,0,0,0
480,0,249.40940891569,0.433834781919166,0.00136626342760192,0,0,0,0,0
510,0,249.658211592091,0.250812887693926,0.000458555345145733,0,0,0,0,0
540,0,249.802680148142,0.14470285647946,0.000153021539112858,0,0,0,0,0
570,0,249.886250257802,0.0833832127608268,5.08883219879692e-05,0,0,0,0,0
600,0,249.934482907596,0.0480147375387696,1.68888803369874e-05,0,0,0,0,0
630,0,249.962282892907,0.027637173318687,5.59844405294586e-06,0,0,0,0,0
660,0,249.978293313784,0.0159041539484041,1.85452991383619e-06,0,0,0,0,0
690,0,249.987509667934,0.00915100207661942,6.14082496084275e-07,0,0,0,0,0
720,0,249.992813603261,0.00526493279491009,2.03291560182114e-07,0,0,0,0,0
750,0,249.995865496114,0.0030289875737013,6.72905669725073e-08,0,0,0,0,0
780,0,249.997621401169,0.00174257275038454,2.22718215498768e-08,0,0,0,0,0
810,0,249.998631607494,0.00100248499672087,7.37119881441495e-09,0,0,0,0,0
840,0,249.999212781328,0.000576714838966452,2.43954864659458e-09,0,0,0,0,0
870,0,249.999547126061,0.000331773909869973,8.07373506142611e-10,0,0,0,0,0
900,0,249.999739470032,0.000190863157770393,2.671996308478e-10,0,0,0,0,0
930,0,249.999850122262,0.000109799729614903,8.84290812450279e-11,0,0,0,0,0
960,0,249.999913778406,6.31655132177361e-05,2.9265312320164e-11,0,0,0,0,0
990,0,249.999950398517,3.6337793554101e-05,9.68524293108551e-12,0,0,0,0,0
1020,0,249.999971465314,2.09043632072169e-05,3.20529106994259e-12,0,0,0,0,0
1050,0,249.999983584601,1.20258353718679e-05,1.06077725386556e-12,0,0,0,0,0
1080,0,249.999990556571,6.91820650549478e-06,3.51059549593418e-13,0,0,0,0,0
1110,0,249.999994567397,3.9798963601232e-06,1.16181587888261e-13,0,0,0,0,0
1140,0,249.99999687474,2.28954924750951e-06,3.84497730320221e-14,0,0,0,0,0
1170,0,249.999998202105,1.31712868374205e-06,1.27247784032873e-14,0,0,0,0,0
1200,0,249.999998965709,7.57715935528539e-07,4.21120769353494e-15,0,0,0,0,0
1230,0,249.999999404995,4.35897754201407e-07,1.39368005755692e-15,0,0,0,0,0
1260,0,249.999999657706,2.50762644021375e-07,4.61232079423142e-16,0,0,0,0,0
1290,0,249.999999803086,1.44258379162987e-07,1.52642658968498e-16,0,0,0,0,0
1320,0,249.99999988672,8.29887562172585e-08,5.05163935711486e-17,0,0,0,0,0
1350,0,249.999999934832,4.77416542010603e-08,1.67181706038936e-17,0,0,0,0,0
1380,0,249.999999962511,2.7464751236385e-08,5.5328024873554e-18,0,0,0,0,0
1410,0,249.999999978433,1.57998832030997e-08,1.83105580557042e-18,0,0,0,0,0
1440,0,249.999999987593,9.08933443632215e-09,6.05979586192134e-19,0,0,0,0,0
1470,0,249.999999992863,5.2288994435534e-09,2.00546186347715e-19,0,0,0,0,0
1500,0,249.999999995894,3.00807386735732e-09,6.63698477138639e-20,0,0,0,0,0
1530,0,249.999999997638,1.73048047470127e-09,2.19647990592458e-20,0,0,0,0,0
1560,0,249.999999998641,9.95508356950318e-10,7.26915028902657e-21,0,0,0,0,0
1590,0,249.999999999218,5.72694637840725e-10,2.40569220690773e-21,0,0,0,0,0
1620,0,249.99999999955,3.29458960258918e-10,7.96152887776869e-22,0,0,0,0,0
1650,0,249.999999999741,1.89530684107381e-10,2.63483174983934e-22,0,0,0,0,0
1680,0,249.999999999851,1.09032943556682e-10,8.71985576704176e-23,0,0,0,0,0
1710,0,249.999999999915,6.27243173664066e-11,2.88579658273959e-23,0,0,0,0,0
1740,0,249.999999999951,3.60839564698561e-11,9.55041246027796e-24,0,0,0,0,0
1770,0,249.999999999972,2.07583273790304e-11,3.16066554056142e-24,0,0,0,0,0
1800,0,249.999999999984,1.19418211784758e-11,1.04600787671074e-24,0,0,0,0,0
1830,0,249.999999999991,6.86987397658718e-12,3.46171546498474e-25,0,0,0,0,0
1860,0,249.999999999995,3.95209137273406e-12,1.14563897914378e-25,0,0,0,0,0
1890,0,249.999999999997,2.27355352829888e-12,3.79144006435333e-26,0,0,0,0,0
1920,0,249.999999999998,1.30792665415128e-12,1.25475983475408e-26,0,0,0,0,0
1950,0,249.999999999999,7.52422193428321e-13,4.15257056999148e-27,0,0,0,0,0
1980,0,250,4.32852373920656e-13,1.3742743321186e-27,0,0,0,0,0
