"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,250.000322400697,0,0,0,0,0,0,0,0
60,250.000090984018,0,0,0,0,0,0,0,0
90,250.000018876751,0,0,0,0,0,0,0,0
120,231.889755254457,0,0,0,32.6703929311176,0,0,0,0
150,189.111754375954,0,0,0,66.8067451952779,0,0,0,0
180,151.449629348305,0,0,0,87.7386481375196,0,0,0,0
210,132.625255605692,0,0,0,80.4982535294836,0,0,0,0
240,134.794382811676,0,0,0,74.667439338874,0,0,0,0
270,142.658320210109,0,0,0,69.7347937900747,0,0,0,0
300,152.886575276918,0,0,0,64.3111098542488,0,0,0,0
330,164.724437672043,0,0,0,57.8026540935422,0,0,0,0
360,177.686875021513,0,0,0,50.193361913589,0,0,0,0
390,191.157447299995,0,0,0,41.754120353732,0,0,0,0
420,204.315594203579,0,0,0,33.0302877936821,0,0,0,0
450,216.279098094587,0,0,0,24.7286155993159,0,0,0,0
480,226.342973815462,0,0,0,17.5065284232625,0,0,0,0
510,234.173278718939,0,0,0,11.7622842025418,0,0,0,0
540,239.839479223363,0,0,0,7.55541758632905,0,0,0,0
570,243.690900778291,0,0,0,4.68322351732474,0,0,0,0
600,246.180040206233,0,0,0,2.82772598189274,0,0,0,0
630,247.728484315506,0,0,0,1.67675193008152,0,0,0,0
660,248.665738108839,0,0,0,0.982557021529975,0,0,0,0
690,249.22253180216,0,0,0,0.571502920302261,0,0,0,0
720,249.5492654159,0,0,0,0.330912278443844,0,0,0,0
750,249.739504189505,0,0,0,0.191088496746376,0,0,0,0
780,249.849734512486,0,0,0,0.110170762704148,0,0,0,0
810,249.913417873177,0,0,0,0.0634593983059414,0,0,0,0
840,249.95014501284,0,0,0,0.0365335861878491,0,0,0,0
870,249.971304086801,0,0,0,0.0210258641438159,0,0,0,0
900,249.983486726631,0,0,0,0.012098670231105,0,0,0,0
930,249.99049856335,0,0,0,0.00696107990113522,0,0,0,0
960,249.994533461536,0,0,0,0.00400488268018259,0,0,0,0
990,249.996855030041,0,0,0,0.00230402999165018,0,0,0,0
1020,249.99819070403,0,0,0,0.00132549444605216,0,0,0,0
1050,249.998959130208,0,0,0,0.000762540262900486,0,0,0,0
1080,249.99940120309,0,0,0,0.000438676953203095,0,0,0,0
1110,249.999655522707,0,0,0,0.00025236273741769,0,0,0,0
1140,249.999801828844,0,0,0,0.000145179302153885,0,0,0,0
1170,249.999885996131,0,0,0,8.35186836572309e-05,0,0,0,0
1200,249.999934415934,0,0,0,4.80465564958058e-05,0,0,0,0
1230,249.999962270865,0,0,0,2.76401703485146e-05,0,0,0,0
1260,249.999978295228,0,0,0,1.59008031421245e-05,0,0,0,0
1290,249.999987513706,0,0,0,9.14739319733755e-06,0,0,0,0
1320,249.999992816901,0,0,0,5.26229996182697e-06,0,0,0,0
1350,249.999995867717,0,0,0,3.02728865436695e-06,0,0,0,0
1380,249.999997622786,0,0,0,1.7415343911075e-06,0,0,0,0
1410,249.99999863244,0,0,0,1.00186745849658e-06,0,0,0,0
1440,249.999999213272,0,0,0,5.7635289944812e-07,0,0,0,0
1470,249.999999547413,0,0,0,3.31563482024991e-07,0,0,0,0
1500,249.999999739636,0,0,0,1.90741371139813e-07,0,0,0,0
1530,249.999999850218,0,0,0,1.09729426120179e-07,0,0,0,0
1560,249.999999913834,0,0,0,6.31249889493096e-08,0,0,0,0
1590,249.99999995043,0,0,0,3.63144542771719e-08,0,0,0,0
1620,249.999999971484,0,0,0,2.08909278399819e-08,0,0,0,0
1650,249.999999983595,0,0,0,1.20181033867772e-08,0,0,0,0
1680,249.999999990563,0,0,0,6.91375749831508e-09,0,0,0,0
1710,249.999999994571,0,0,0,3.97733662328755e-09,0,0,0,0
1740,249.999999996877,0,0,0,2.28807658039237e-09,0,0,0,0
1770,249.999999998203,0,0,0,1.31628145502815e-09,0,0,0,0
1800,249.999999998967,0,0,0,7.5722853145695e-10,0,0,0,0
1830,249.999999999406,0,0,0,4.35617357259261e-10,0,0,0,0
1860,249.999999999658,0,0,0,2.50601336402002e-10,0,0,0,0
1890,249.999999999804,0,0,0,1.4416558192597e-10,0,0,0,0
1920,249.999999999887,0,0,0,8.29353718157667e-11,0,0,0,0
1950,249.999999999935,0,0,0,4.77109432523682e-11,0,0,0,0
1980,249.999999999963,0,0,0,2.74470838701541e-11,0,0,0,0
