"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,250,0,0,0,0,0,0,0
30,0,250.000322400697,0,0,0,0,0,0,0
60,0,250.000090984018,0,0,0,0,0,0,0
90,0,250.000018876751,0,0,0,0,0,0,0
120,0,205.963766013879,14.2611503918828,125.731967896313,0,0,0.0693178595322576,0.130278283636121,6.52043461642247e-05
150,0,119.645848438043,66.9834186658311,195.148197609278,0,0,0.298222667449675,0.353244948523127,0.000260696970414209
180,0,59.3067213345549,76.1204457508424,280.458428507936,0,0,0.462752651189033,0.849166662833434,0.00095314859764004
210,0,32.8639101059547,84.1041291505388,214.762029971333,0,0,0.726541036472149,1.82718775113944,0.00390073144075159
240,0,22.172717442458,73.1900956407433,208.930241933409,0,0,1.1638412109608,3.60401461094609,0.0144964463646118
270,0,15.9167139248213,62.8124819488393,212.933874228278,0,0,1.97666347563855,7.51705713336266,0.0583079523307062
300,0,10.8550375186271,52.7136120935435,216.063288595055,0,0,3.13284894379023,14.8310558703137,0.218919774055776
330,0,6.91328078630987,41.7800396293565,211.260500618765,0,0,4.68680974393249,27.8652442925113,0.772724771256634
360,0,4.07563200955757,31.0541802513011,197.120845854586,0,0,6.29308950119122,47.2789692886642,2.39190087234103
390,0,2.25534935380619,21.801282319113,175.805471051226,0,0,7.44301386947603,70.7240654629167,6.12651719123634
420,0,1.20391475872397,14.737475002388,151.281984873013,0,0,7.80784501086328,93.4012866591282,12.7718783052058
450,0,0.637525663826428,9.78474536034287,126.958206247052,0,0,7.46940363927296,111.359699295477,22.2053817577089
480,0,0.342222828065437,6.48810956366347,105.023809827202,0,0,6.72197732738073,123.217150931779,33.5619070799073
510,0,0.188793193775977,4.34810985104924,86.4225177553965,0,0,5.83573035655902,129.558430197273,45.8243321273809
540,0,0.107765729611387,2.96550326195814,71.1860962695375,0,0,4.97298986131117,131.711452864962,58.1997764277774
570,0,0.0637849029924676,2.06490431000877,58.9167304113479,0,0,4.20550941831634,130.983035060201,70.1848942244817
600,0,0.0391229694065555,1.46915190303458,49.0947295239811,0,0,3.55260669525535,128.401397659006,81.5049691833458
630,0,0.0248171909662299,1.0675475620616,41.22712387874,0,0,3.00916642996541,124.700401665747,92.0358401376847
660,0,0.0162389529622472,0.791341297541542,34.8980955009232,0,0,2.56107539590758,120.378838121754,101.743984151407
690,0,0.0109311444963704,0.597555901115373,29.7749803426323,0,0,2.19249681014775,115.76605507594,110.64714126396
720,0,0.00754971473894185,0.458969616679271,25.598103691125,0,0,1.88883924532817,111.074735767365,118.789967469173
750,0,0.00533690769201347,0.358055186638536,22.1668282284479,0,0,1.63769542191737,106.438987756108,126.229522606265
780,0,0.003852814082931,0.283325922093971,19.3265225750769,0,0,1.42891142189497,101.94062421639,133.026848174553
810,0,0.00283485164961275,0.227117883530471,16.957796665051,0,0,1.25433208900994,97.6269344799937,139.24225031765
840,0,0.00212214846872398,0.184227290526882,14.9680760545057,0,0,1.10746299816752,93.5225946448824,144.932803783513
870,0,0.00161372631195409,0.15106085471866,13.2851720791938,0,0,0.983145965193247,89.6376209369502,150.151170835961
900,0,0.00124475958431179,0.125097407962082,11.852431209495,0,0,0.877280807525813,85.9726717838962,154.945184342679
930,0,0.000972755481785781,0.104541168620835,10.6250902735811,0,0,0.786598886773756,82.5225774315634,159.357861998046
960,0,0.000769317623413105,0.0880948051328986,9.56753685961175,0,0,0.708483614050445,79.2786840373337,163.427651459954
990,0,0.000615127633020521,0.0748085669647904,8.65124413228613,0,0,0.64083008732803,76.2304035502086,167.188787227249
1020,0,0.000496823508948785,0.0639784694674588,7.85320712965225,0,0,0.581936011188935,73.3662306055544,170.671689498437
1050,0,0.000405019947948959,0.0550765929584011,7.15475242075953,0,0,0.530417087090096,70.674401309051,173.9033653138
1080,0,0.000333029979016752,0.0477027139070169,6.54062664182278,0,0,0.485141331879627,68.1433113719379,176.907790477548
1110,0,0.000276025400505873,0.0415503047099772,5.99829427237407,0,0,0.445177962139702,65.7617727652195,179.706261663699
1140,0,0.000230476617302261,0.0363823409602857,5.51739322406959,0,0,0.409757471050381,63.5191624137885,182.31771454125
1170,0,0.000193773324878279,0.0320138879898122,5.08931013008963,0,0,0.378240313404646,61.4054991999031,184.759007444002
1200,0,0.000163964067503066,0.0282994299733476,4.70684696364677,0,0,0.350092227152986,59.4114738905225,187.045172128812
1230,0,0.000139575074246012,0.0251235547141428,4.3639577571628,0,0,0.324864688888553,57.5284486969818,189.189634175681
1260,0,0.00011948269058653,0.0223940385425667,4.05553945124863,0,0,0.302179356979591,55.7484377931303,191.204405993826
1290,0,0.000102822510721615,0.0200366655153201,3.77726478981895,0,0,0.281715625798043,54.0640764428766,193.100255462565
1320,0,8.89239469372161e-05,0.0179913120229631,3.52544806605702,0,0,0.26320061857251,52.4685838731129,194.886853109557
1350,0,7.72626314377861e-05,0.0162089632262112,3.29693668155124,0,0,0.246401100969065,50.9557233048921,196.572900506004
1380,0,6.74254548605687e-05,0.0146494217042873,3.08902310146721,0,0,0.231116914856347,49.5197613751752,198.166242294977
1410,0,5.90846512598522e-05,0.0132795346057396,2.89937301253123,0,0,0.217175621085624,48.1554283738377,199.67396399791
1440,0,5.19784221324919e-05,0.0120718122651942,2.72596642008783,0,0,0.204428108434098,46.8578801699984,201.102477483596
1470,0,4.58963304587779e-05,0.0110033446049747,2.56704913026952,0,0,0.192744978293251,45.6226623285495,202.457595743167
1500,0,4.0668204633832e-05,0.0100549456871289,2.42109260825666,0,0,0.182013555098974,44.4456766671812,203.744598397372
1530,0,3.61556464350154e-05,0.00921047426197275,2.28676062422126,0,0,0.172135403789033,43.3231503383217,204.968289169982
1560,0,3.22454861623105e-05,0.00845629096814704,2.16288142489429,0,0,0.163024259905425,42.2516074129446,206.133046392406
1590,0,2.88447046858687e-05,0.00778082229649959,2.04842442318854,0,0,0.154604296966359,41.2278428758962,207.242867457846
1620,0,2.58764684767687e-05,0.00717420846378959,1.94248059775131,0,0,0.146808670646716,40.2488989025295,208.30140801635
1650,0,2.3277014835299e-05,0.00662801760988553,1.84424595137342,0,0,0.139578291060143,39.3120432651783,209.3120165927
1680,0,2.09931907957267e-05,0.00613501270358463,1.75300750143264,0,0,0.132860783740481,38.4147497091813,210.277765215059
1710,0,1.89804977308074e-05,0.00568896055556008,1.66813137429626,0,0,0.126609607316946,37.5546801375186,211.201476561481
1740,0,1.72015294993716e-05,0.00528447463741496,1.58905265443137,0,0,0.120783301782511,36.7296684476712,212.085748062228
1770,0,1.56247185944842e-05,0.00491688517239713,1.51526670215999,0,0,0.115344845988218,35.9377058720305,212.93297333639
1800,0,1.42233246550706e-05,0.00458213132759054,1.4463217048612,0,0,0.110261106805577,35.1769276826683,213.74536129044
1830,0,1.29746146863034e-05,0.0042766713966926,1.3818122675313,0,0,0.105502365476939,34.4456011315949,214.524953162642
1860,0,1.18591956798036e-05,0.00399740768928434,1.32137388196646,0,0,0.101041909169875,33.7421145081501,215.273637759744
1890,0,1.08604689668378e-05,0.00374162349107153,1.26467814099547,0,0,0.0968556777834432,33.0649672054942,215.993165100152
1920,0,9.96418225749299e-06,0.0035069299708003,1.2114285863929,0,0,0.0929219577141495,32.4127606980375,216.685158650049
1950,0,9.15806041692798e-06,0.003291221314392,1.16135709731476,0,0,0.089221115650246,31.7841903409213,217.351126315056
1980,0,8.43149997646562e-06,0.00309263668887639,1.1142207410895,0,0,0.0857353665823775,31.1780379112706,217.99247032942
