"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,250.000322400697,0,0,0,0,0,0,0,0
60,250.000090984018,0,0,0,0,0,0,0,0
90,250.000018876751,0,0,0,0,0,0,0,0
120,205.993496519217,0,0,0,74.9490021050479,0.00938107272196095,0,0,0
150,119.737488516189,0,0,0,131.425698566178,0.0325496246136177,0,0,0
180,59.4399742284883,0,0,0,140.942759367979,0.0589661927021805,0,0,0
210,33.0797411463295,0,0,0,88.7634895629173,0.0840831099833978,0,0,0
240,22.5103599026998,0,0,0,74.8934205123017,0.159945872130506,0,0,0
270,16.4788823556826,0,0,0,65.5413420686243,0.293407623352363,0,0,0
300,11.6809192925674,0,0,0,57.4405020515385,0.56331321380023,0,0,0
330,8.06058665182666,0,0,0,49.7283156688643,1.08807893376341,0,0,0
360,5.54284461765881,0,0,0,43.7729623871478,2.17861172744152,0,0,0
390,4.07223419396016,0,0,0,42.0088616842656,4.50548491398628,0,0,0
420,3.41808006670471,0,0,0,46.810361656093,9.47302927030383,0,0,0
450,3.15595906592591,0,0,0,57.4323660585193,18.9400308950815,0,0,0
480,2.91322626357615,0,0,0,69.6099983451693,33.3711263116793,0,0,0
510,2.5722372843604,0,0,0,79.1730104803374,50.9783377770167,0,0,0
540,2.18025110177428,0,0,0,84.623196944233,69.3238741071765,0,0,0
570,1.80350839312403,0,0,0,86.4499650663406,86.7506847252267,0,0,0
600,1.47655561852553,0,0,0,85.7402885509004,102.5178587117,0,0,0
630,1.20736973965671,0,0,0,83.4676964252828,116.448591321943,0,0,0
660,0.991175954094522,0,0,0,80.3274861099592,128.62881780613,0,0,0
690,0.819176682287294,0,0,0,76.7719756549866,139.241897660177,0,0,0
720,0.682473091962774,0,0,0,73.0810789766403,148.49240491777,0,0,0
750,0.573424449420828,0,0,0,69.4216733900409,156.574353110585,0,0,0
780,0.485899605401809,0,0,0,65.8889393401367,163.65993913097,0,0,0
810,0.415127617719845,0,0,0,62.5334004229575,169.897226353968,0,0,0
840,0.357444697216031,0,0,0,59.3781495252854,175.411525485477,0,0,0
870,0.310048510735757,0,0,0,56.4297110482037,180.30808840369,0,0,0
900,0.270793219888324,0,0,0,53.6848554069756,184.675061148874,0,0,0
930,0.238029021812917,0,0,0,51.134856681794,188.586254162158,0,0,0
960,0.210480216361637,0,0,0,48.7681370243581,192.103571528156,0,0,0
990,0.187153813850867,0,0,0,46.5718925218762,195.279069208579,0,0,0
1020,0.167271385782214,0,0,0,44.5330756211696,198.15666670691,0,0,0
1050,0.150218259146085,0,0,0,42.6389713829628,200.773556182526,0,0,0
1080,0.135505538347471,0,0,0,40.877518163608,203.161356586905,0,0,0
1110,0.122741589129957,0,0,0,39.2374685978709,205.347057086263,0,0,0
1140,0.111610508633147,0,0,0,37.7084520391964,207.353788260532,0,0,0
1170,0.101855770092797,0,0,0,36.2809774824217,209.201453368672,0,0,0
1200,0.0932677180157884,0,0,0,34.946401824047,210.907246223526,0,0,0
1230,0.0856739441099029,0,0,0,33.6968792107559,212.486077240408,0,0,0
1260,0.0789318312817541,0,0,0,32.5253013632846,213.950925063267,0,0,0
1290,0.0729227394743353,0,0,0,31.425234983198,215.313127768103,0,0,0
1320,0.0675474427112819,0,0,0,30.3908599167175,216.582624891864,0,0,0
1350,0.0627225257005096,0,0,0,29.416910188886,217.768159327245,0,0,0
1380,0.0583775209500203,0,0,0,28.4986190274674,218.877446358858,0,0,0
1410,0.0544526208766121,0,0,0,27.6316683708783,219.917315707754,0,0,0
1440,0.0508968390748749,0,0,0,26.8121429690913,220.893831327301,0,0,0
1470,0.0476665245081063,0,0,0,26.0364889564795,221.812392795767,0,0,0
1500,0.0447241545801988,0,0,0,25.301476645762,222.677821432686,0,0,0
1530,0.0420373497942748,0,0,0,24.6041672263322,223.494433690275,0,0,0
1560,0.0395780654116173,0,0,0,23.9418830245445,224.266103908265,0,0,0
1590,0.03732192522247,0,0,0,23.3121809824716,224.996318147281,0,0,0
1620,0.0352476699828596,0,0,0,22.7128290251069,225.68822051422,0,0,0
1650,0.0333366988145637,0,0,0,22.1417850074217,226.344653148323,0,0,0
1680,0.031572686320476,0,0,0,21.5971779579405,226.968190837465,0,0,0
1710,0.0299412616416543,0,0,0,21.0772913619344,227.561171071687,0,0,0
1740,0.0284297384049984,0,0,0,20.5805482533806,228.125720207763,0,0,0
1770,0.027026886654737,0,0,0,20.1054979095561,228.663776309336,0,0,0
1800,0.0257227395576175,0,0,0,19.6508039650621,229.17710913687,0,0,0
1830,0.0245084290204598,0,0,0,19.2152337829672,229.667337687224,0,0,0
1860,0.0233760454356891,0,0,0,18.7976489396124,230.135945620753,0,0,0
1890,0.0223185176340842,0,0,0,18.3969966964611,230.584294862445,0,0,0
1920,0.0213295098194337,0,0,0,18.0123023473575,231.013637620656,0,0,0
1950,0.0204033328220702,0,0,0,17.6426623428069,231.425127031092,0,0,0
1980,0.0195348674646697,0,0,0,17.287238104579,231.819826603531,0,0,0
