"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,250.000322400697,0,0,0,0,0,0,0,0
60,250.000090984018,0,0,0,0,0,0,0,0
90,250.000018876751,0,0,0,0,0,0,0,0
120,198.038927693064,0,0,0,90.3998759520052,0.0668432493918422,0,0,0
150,103.063287762875,0,0,0,149.231450458193,0.219831544697409,0,0,0
180,43.7417070211678,0,0,0,150.879877868745,0.375514224034067,0,0,0
210,20.9292347954122,0,0,0,77.6468045903493,0.50256718397689,0,0,0
240,12.5739014195494,0,0,0,61.7560969708638,0.967356552408029,0,0,0
270,8.63636135319388,0,0,0,52.0561067312605,1.82551873764028,0,0,0
300,6.0969318977925,0,0,0,47.2862815341097,3.69641818042862,0,0,0
330,4.7581660180974,0,0,0,48.0550961855187,7.4403087593494,0,0,0
360,4.14132102106916,0,0,0,55.1369934169122,14.817996077519,0,0,0
390,3.77949987473651,0,0,0,65.9966494273996,27.0322563373706,0,0,0
420,3.37529818107502,0,0,0,76.2106612477051,43.3534061639257,0,0,0
450,2.89914205777325,0,0,0,83.0096429508847,61.5210283673778,0,0,0
480,2.41927788723324,0,0,0,86.0765816685488,79.4568673023502,0,0,0
510,1.98876684584684,0,0,0,86.2266880127271,96.0221006287726,0,0,0
540,1.62761660236491,0,0,0,84.4693351682076,110.798611173594,0,0,0
570,1.33478221351168,0,0,0,81.5963060351798,123.767396710785,0,0,0
600,1.10086995024055,0,0,0,78.1478485787847,135.075522659853,0,0,0
630,0.914804990099027,0,0,0,74.4667712714427,144.922815672338,0,0,0
660,0.766527218749036,0,0,0,70.7610933462123,153.51109831693,0,0,0
690,0.647752726092927,0,0,0,67.1519217375322,161.024280907223,0,0,0
720,0.551953098358872,0,0,0,63.705683268265,167.622456173482,0,0,0
750,0.474085074878317,0,0,0,60.4550226684663,173.441861193062,0,0,0
780,0.410282554142941,0,0,0,57.4120397551094,178.597155702931,0,0,0
810,0.357584818606067,0,0,0,54.5766178337534,183.184370582132,0,0,0
840,0.31371815504759,0,0,0,51.9416320920508,187.283834441661,0,0,0
870,0.276927722590809,0,0,0,49.4961892681416,190.962804042018,0,0,0
900,0.245850701622745,0,0,0,47.2276250985026,194.277720063683,0,0,0
930,0.219421425223919,0,0,0,45.1227180723175,197.276094075324,0,0,0
960,0.196800597834187,0,0,0,43.1684089869496,199.998065871336,0,0,0
990,0.177322412274481,0,0,0,41.352209624763,202.477679737186,0,0,0
1020,0.160454894838628,0,0,0,39.6624169631214,204.743927080732,0,0,0
1050,0.145770020082421,0,0,0,38.0882070054449,206.821597610563,0,0,0
1080,0.13292105673426,0,0,0,36.6196554255564,208.731974848159,0,0,0
1110,0.121625286832833,0,0,0,35.2477150517733,210.493405559204,0,0,0
1140,0.111650737616337,0,0,0,33.9641692204,212.121767202131,0,0,0
1170,0.102805927197939,0,0,0,32.7615729642755,213.630852857661,0,0,0
1200,0.094931887479953,0,0,0,31.6331894582003,215.032689290199,0,0,0
1230,0.0878959185242685,0,0,0,30.5729262216662,216.337800702475,0,0,0
1260,0.0815866677123189,0,0,0,29.5752737064073,217.555428263633,0,0,0
1290,0.0759102289109986,0,0,0,28.6352477028358,218.693713508299,0,0,0
1320,0.0707870318468376,0,0,0,27.7483362469844,219.759852123375,0,0,0
1350,0.0661493473785899,0,0,0,26.9104512433326,220.760223379783,0,0,0
1380,0.0619392756503978,0,0,0,26.1178847380111,221.700499462158,0,0,0
1410,0.0581071150134595,0,0,0,25.3672696154572,222.585738147617,0,0,0
1440,0.0546100328708397,0,0,0,24.6555444065299,223.420461643068,0,0,0
1470,0.0514109772174905,0,0,0,23.9799218591766,224.208723875895,0,0,0
1500,0.0484777810638664,0,0,0,23.3378609155277,224.95416811876,0,0,0
1530,0.0457824222061071,0,0,0,22.7270417497837,225.660076495236,0,0,0
1560,0.0433004087177766,0,0,0,22.1453435417043,226.329412642589,0,0,0
1590,0.0410102666636303,0,0,0,21.5908246859168,226.964858588485,0,0,0
1620,0.038893111303139,0,0,0,21.0617051645545,227.568846719533,0,0,0
1650,0.036932286780594,0,0,0,20.5563508379548,228.143587573395,0,0,0
1680,0.0351130622300841,0,0,0,20.0732594342123,228.691094066316,0,0,0
1710,0.0334223745391466,0,0,0,19.6110480426562,229.213202669325,0,0,0
1740,0.0318486098523938,0,0,0,19.1684419385304,229.711591964955,0,0,0
1770,0.0303814173611564,0,0,0,18.7442645862212,230.187798948952,0,0,0
1800,0.0290115500978932,0,0,0,18.3374286863372,230.643233385491,0,0,0
1830,0.0277307283969882,0,0,0,17.9469281479279,231.079190477771,0,0,0
1860,0.02653152244474,0,0,0,17.5718308812629,231.496862076942,0,0,0
1890,0.0254072509582976,0,0,0,17.2112723190803,231.897346619661,0,0,0
1920,0.0243518935352594,0,0,0,16.8644495851832,232.281657957123,0,0,0
1950,0.0233600146255853,0,0,0,16.5306162389172,232.650733215339,0,0,0
1980,0.022426697413446,0,0,0,16.2090775325243,233.005439806873,0,0,0
