Time,ZW,ZZ,MZ,MM,MW,RW,RZ,MR,RR,generation,threshold,rM,total_females
0,250,0,0,0,0,0,0,0,0,1,0.1,0.001,250
30,250.000322400697,0,0,0,0,0,0,0,0,2,0.1,0.001,250.000322400697
60,250.000090984018,0,0,0,0,0,0,0,0,3,0.1,0.001,250.000090984018
90,250.000018876751,0,0,0,0,0,0,0,0,4,0.1,0.001,250.000018876751
120,244.224036600234,0,0,0,12.061383530384,0.0117536311931724,0,0,0,5,0.1,0.001,256.29717376181117
150,229.85118017896,0,0,0,24.9870657741096,0.0483838071657244,0,0,0,6,0.1,0.001,254.8866297602353
180,218.040716407565,0,0,0,33.6113506743387,0.097743950402654,0,0,0,7,0.1,0.001,251.74981103230635
210,214.742524328698,0,0,0,28.7278037112039,0.147078529095947,0,0,0,8,0.1,0.001,243.61740656899786
240,222.490517423947,0,0,0,20.8930260042528,0.187964490093692,0,0,0,9,0.1,0.001,243.5715079182935
270,230.659540926485,0,0,0,14.3442093396047,0.221902179246513,0,0,0,10,0.1,0.001,245.2256524453362
300,237.157162476092,0,0,0,9.39857053690204,0.246268303133058,0,0,0,11,0.1,0.001,246.8020013161271
330,241.778628579297,0,0,0,5.91890114090689,0.262747802594249,0,0,0,12,0.1,0.001,247.96027752279812
360,244.849233002602,0,0,0,3.61592085053766,0.27331266160145,0,0,0,13,0.1,0.001,248.7384665147411
390,246.795207210923,0,0,0,2.1617263841681,0.279845444350601,0,0,0,14,0.1,0.001,249.2367790394417
420,247.988136473401,0,0,0,1.27375392395953,0.283781904887273,0,0,0,15,0.1,0.001,249.5456723022478
450,248.702946963285,0,0,0,0.743608770044225,0.286113648313924,0,0,0,16,0.1,0.001,249.73266938164315
480,249.124835894698,0,0,0,0.431637012846176,0.287479572366894,0,0,0,17,0.1,0.001,249.84395247991108
510,249.371430145684,0,0,0,0.249687632315693,0.288274174516343,0,0,0,18,0.1,0.001,249.90939195251605
540,249.514690526316,0,0,0,0.144141808572896,0.288734450935877,0,0,0,19,0.1,0.001,249.94756678582476
570,249.597609169011,0,0,0,0.0831121445411596,0.289000384102191,0,0,0,20,0.1,0.001,249.96972169765436
600,249.645494778916,0,0,0,0.0478891955144662,0.289153797696646,0,0,0,21,0.1,0.001,249.9825377721271
630,249.673111972978,0,0,0,0.0275826514323106,0.289242220773179,0,0,0,22,0.1,0.001,249.9899368451835
660,249.689027230486,0,0,0,0.0158830399853757,0.289293158528632,0,0,0,23,0.1,0.001,249.994203429
690,249.698194685237,0,0,0,0.00914477603071218,0.289322493229509,0,0,0,24,0.1,0.001,249.99666195449723
720,249.703473884988,0,0,0,0.00526476499442942,0.289339383897993,0,0,0,25,0.1,0.001,249.99807803388043
750,249.706513511888,0,0,0,0.00303085802839145,0.289349108406699,0,0,0,26,0.1,0.001,249.99889347832308
780,249.708263494077,0,0,0,0.00174478160909404,0.289354706793469,0,0,0,27,0.1,0.001,249.99936298247954
810,249.709270946509,0,0,0,0.00100440797482628,0.289357929667722,0,0,0,28,0.1,0.001,249.99963328415154
840,249.709850912505,0,0,0,5.7819661223823e-4,0.289359784972709,0,0,0,29,0.1,0.001,249.99978889408996
870,249.710184779165,0,0,0,3.3284252703421e-4,0.289360853000019,0,0,0,30,0.1,0.001,249.99987847469205
900,249.710376972923,0,0,0,1.9160236114046e-4,0.289361467818029,0,0,0,31,0.1,0.001,249.99993004310218
930,249.710487610595,0,0,0,1.1029661882989e-4,0.289361821741347,0,0,0,32,0.1,0.001,249.9999597289552
960,249.710551299729,0,0,0,6.34926036937398e-5,0.289362025478783,0,0,0,33,0.1,0.001,249.99997681781147
990,249.710587962632,0,0,0,3.65497020929886e-5,0.289362142760943,0,0,0,34,0.1,0.001,249.99998665509503
1020,249.710609067755,0,0,0,2.10399358763603e-5,0.289362210274775,0,0,0,35,0.1,0.001,249.99999231796565
1050,249.710621216982,0,0,0,1.21116944214855e-5,0.289362249139303,0,0,0,36,0.1,0.001,249.99999557781572
1080,249.710628210718,0,0,0,6.97212803319434e-6,0.289362271511773,0,0,0,37,0.1,0.001,249.9999974543578
1110,249.710632236681,0,0,0,4.01352319127085e-6,0.289362284390543,0,0,0,38,0.1,0.001,249.99999853459474
1140,249.710634554237,0,0,0,2.31039472936382e-6,0.28936229180424,0,0,0,39,0.1,0.001,249.99999915643596
1170,249.710635888344,0,0,0,1.32998451655336e-6,0.289362296071953,0,0,0,40,0.1,0.001,249.99999951440046
1200,249.710636656326,0,0,0,7.65608911716785e-7,0.289362298528673,0,0,0,41,0.1,0.001,249.99999972046356
1230,249.710637098417,0,0,0,4.40724681085422e-7,0.28936229994289,0,0,0,42,0.1,0.001,249.99999983908458
1260,249.710637352907,0,0,0,2.53704261825567e-7,0.289362300756987,0,0,0,43,0.1,0.001,249.99999990736825
1290,249.710637499406,0,0,0,1.4604549074014e-7,0.289362301225624,0,0,0,44,0.1,0.001,249.99999994667712
1320,249.710637583737,0,0,0,8.40714506950623e-8,0.289362301495397,0,0,0,45,0.1,0.001,249.99999996930384
1350,249.710637632283,0,0,0,4.83959400672306e-8,0.289362301650692,0,0,0,46,0.1,0.001,249.99999998232965
1380,249.710637660229,0,0,0,2.78592434728895e-8,0.289362301740088,0,0,0,47,0.1,0.001,249.99999998982832
1410,249.710637676316,0,0,0,1.60372429096481e-8,0.289362301791549,0,0,0,48,0.1,0.001,249.9999999941448
1440,249.710637685577,0,0,0,9.23187883254877e-9,0.289362301821173,0,0,0,49,0.1,0.001,249.99999999663007
1470,249.710637690908,0,0,0,5.3143540477856904e-9,0.289362301838225,0,0,0,50,0.1,0.001,249.99999999806056
1500,249.710637693976,0,0,0,3.05922114622795e-9,0.289362301848042,0,0,0,51,0.1,0.001,249.99999999888325
1530,249.710637695742,0,0,0,1.76104827362523e-9,0.289362301853693,0,0,0,52,0.1,0.001,249.99999999935676
1560,249.710637696759,0,0,0,1.01375182562925e-9,0.289362301856946,0,0,0,53,0.1,0.001,249.9999999996297
1590,249.710637697344,0,0,0,5.83568763758121e-10,0.289362301858819,0,0,0,54,0.1,0.001,249.99999999978638
1620,249.710637697682,0,0,0,3.35932812570881e-10,0.289362301859897,0,0,0,55,0.1,0.001,249.99999999987782
1650,249.710637697876,0,0,0,1.93380560389687e-10,0.289362301860517,0,0,0,56,0.1,0.001,249.99999999992988
1680,249.710637697988,0,0,0,1.11320001313292e-10,0.289362301860875,0,0,0,57,0.1,0.001,249.9999999999602
1710,249.710637698051,0,0,0,6.40816360621139e-11,0.28936230186108,0,0,0,58,0.1,0.001,249.99999999997615
