"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,250,0,0,0,0,0,0,0
30,0,250.000322400697,0,0,0,0,0,0,0
60,0,250.000090984018,0,0,0,0,0,0,0
90,0,250.000018876751,0,0,0,0,0,0,0
120,0,244.230669682595,4.4874247682124,10.3637288117198,0,0,0.00228863942640516,0.000556352267068908,2.78203953929847e-08
150,0,229.863762364229,16.9919146351462,13.2579974952334,0,0,0.00874597640140269,0.00139105649259871,1.00743014048467e-07
180,0,218.063239570707,25.6155216843119,15.9187572338596,0,0,0.0174879281302968,0.00304283884022008,3.3786334015275e-07
210,0,208.768252801211,31.8780383682385,18.5854265163364,0,0,0.0284198552558274,0.005708197566035,9.04127992744903e-07
240,0,201.125256745864,36.8349828691621,21.1840643261572,0,0,0.0419631686261262,0.00958948726917384,2.04989951366513e-06
270,0,194.547627527374,40.9849596069053,23.7187235109252,0,0,0.0586645608399134,0.0149800327423923,4.17620348190443e-06
300,0,188.669614842247,44.5992042961144,26.217788213475,0,0,0.0792631630014858,0.0222971437076901,7.93190770250602e-06
330,0,183.253114118832,47.8443900349112,28.7158435514108,0,0,0.10473681341431,0.0321213787422069,1.43759355494265e-05
360,0,178.131915029436,50.8314917932087,31.2494846446127,0,0,0.136375275238976,0.0452594443742755,2.52530140350617e-05
390,0,179.274124090244,51.2448475804247,18.3667581433604,0,0,0.180325266484021,0.0539292750876142,4.42467997367914e-05
420,0,190.190087854374,42.8054279831375,12.114940811907,0,0,0.237031572817703,0.0578873707754727,7.29725760372907e-05
450,0,202.779910312876,33.970947169288,7.46741980449035,0,0,0.300197258908577,0.0560650303125946,0.000110430922439712
480,0,214.709404952952,25.5790309982572,4.19474150381645,0,0,0.362088266629625,0.0493756400478497,0.000152192641168341
510,0,224.913708094979,18.2213447551626,2.13731524689288,0,0,0.417237595066865,0.0397294648677334,0.000193220030843712
540,0,232.937765333392,12.3154978101079,0.990863897626251,0,0,0.462041140816536,0.0294463891432559,0.000228965557903142
570,0,238.79351526324,7.95240387484226,0.421950246304187,0,0,0.495518153000433,0.0203453916913354,0.000256986857786152
600,0,242.801996700541,4.95094896820891,0.167306014877337,0,0,0.518796395593393,0.0132881992086371,0.000277095921495192
630,0,245.407693002373,2.99996374951274,0.0627141328205978,0,0,0.53407544512525,0.00831918692166411,0.000290560720240946
660,0,247.036170724724,1.78390885734977,0.0225501229078769,0,0,0.543677017912191,0.00505421226989369,0.000299125779167763
690,0,248.0254744625,1.0477389300872,0.00787524223726502,0,0,0.549526635680499,0.00300916332948626,0.000304381650685102
720,0,248.614889301605,0.610580095164171,0.00269720784385634,0,0,0.553016367167009,0.00176840192558786,0.000307530273193673
750,0,248.961572635318,0.354127094194021,0.000912289172394173,0,0,0.555070041308836,0.00103085150701882,0.000309387619016944
780,0,249.163820296146,0.204802632412004,0.000306178383443969,0,0,0.556268297797722,0.000597966889715458,0.000310472781815449
810,0,249.281207378135,0.118244429445402,0.000102274884829619,0,0,0.556963787538761,0.000345850113689275,0.000311103107542983
840,0,249.349129171998,0.0682022431284453,3.40677505116534e-05,0,0,0.557366193462928,0.000199687994027248,0.000311467966015094
870,0,249.388356613616,0.0393159238036308,1.13292151088788e-05,0,0,0.557598589190155,0.000115180902694985,0.00031167872850742
900,0,249.41098700688,0.0226565964505978,3.76389024562063e-06,0,0,0.557732654586064,6.63981956446566e-05,0.00031180033074598
930,0,249.424034076809,0.0130538276796237,1.24977145420615e-06,0,0,0.557809945449957,3.82636035173426e-05,0.000311870441888257
960,0,249.431553242839,0.0075202660424788,4.14842564007507e-07,0,0,0.557854488376046,2.20460619665976e-05,0.000311910848929879
990,0,249.43588566625,0.00433212450663578,1.37674845237769e-07,0,0,0.55788015307478,1.27006945795114e-05,0.000311934131215366
1020,0,249.438381621404,0.00249547225518045,4.56855547891355e-08,0,0,0.557894938702239,7.31637304337711e-06,0.000311947544513657
1050,0,249.439819461708,0.00143745876268946,1.51591943408795e-08,0,0,0.557903456204722,4.21451910548261e-06,0.000311955271528722
1080,0,249.440647720471,0.000828004624519344,5.02988117542697e-09,0,0,0.557908362648774,2.42767691706969e-06,0.000311959722639973
1110,0,249.441124821942,0.000476943668418967,1.66890007556209e-09,0,0,0.55791118890217,1.39839022462178e-06,0.000311962286615693
1140,0,249.441399642564,0.000274725935296538,5.53729626310616e-10,0,0,0.557912816883376,8.05494863637315e-07,0.000311963763521832
1170,0,249.44155794381,0.000158245447172465,1.83722438273386e-10,0,0,0.557913754627266,4.63975863769072e-07,0.000311964614244793
1200,0,249.44164912753,9.11511612256936e-05,6.09571874930071e-11,0,0,0.557914294780677,2.6725569947557e-07,0.000311965104273209
1230,0,249.441701650478,5.25040557765034e-05,2.02249124573155e-11,0,0,0.557914605915673,1.539423000402e-07,0.000311965386535679
1260,0,249.441731904297,3.0242891162721e-05,6.71039073856686e-12,0,0,0.55791478513298,8.86724331725814e-08,0.00031196554912211
1290,0,249.441749330828,1.74202205582035e-05,2.2264279203249e-12,0,0,0.557914888364103,5.10762594159187e-08,0.000311965642773677
1320,0,249.441759368695,1.00342271488821e-05,7.38702009513941e-13,0,0,0.557914947826326,2.94204580114872e-08,0.000311965696717977
1350,0,249.441765150611,5.77981809072385e-06,2.45092381764626e-13,0,0,0.557914982077187,1.69464880502051e-08,0.000311965727790459
1380,0,249.441768481055,3.32923453220988e-06,8.13186726660863e-14,0,0,0.557915001806039,9.76135151682014e-09,0.00031196574568853
1410,0,249.441770399425,1.91767320082506e-06,2.69805447462821e-14,0,0,0.55791501317006,5.62263865014837e-09,0.000311965755998004
1440,0,249.441771504425,1.10459939361785e-06,8.95181556709386e-15,0,0,0.557915019715853,3.23869747236056e-09,0.000311965761936367
1470,0,249.441772140917,6.36260551824927e-07,2.97010310523449e-15,0,0,0.557915023486297,1.86552289717012e-09,0.000311965765356925
1500,0,249.441772507543,3.66492585427889e-07,9.85443930242874e-16,0,0,0.557915025658111,1.07456027507441e-09,0.000311965767327201
1530,0,249.441772718723,2.11103476982573e-07,3.26958255770158e-16,0,0,0.557915026909099,6.18957708960248e-10,0.0003119657684621
1560,0,249.441772840365,1.21597761282121e-07,1.08480753872115e-16,0,0,0.55791502762968,3.56525969887025e-10,0.000311965769115814
1590,0,249.441772910432,7.00415537676392e-08,3.59925884028465e-17,0,0,0.557915028044742,2.05362604153487e-10,0.000311965769492359
1620,0,249.441772950791,4.03446510819845e-08,1.19419009494804e-17,0,0,0.557915028283822,1.18290959713066e-10,0.000311965769709254
1650,0,249.441772974039,2.32389315030223e-08,3.96217678337139e-18,0,0,0.557915028421535,6.81368022142215e-11,0.000311965769834187
1680,0,249.44177298743,1.33858621356902e-08,1.31460183097897e-18,0,0,0.557915028500859,3.92474946997592e-11,0.00031196576990615
1710,0,249.441772995143,7.71039344352415e-09,4.36168820302809e-19,0,0,0.55791502854655,2.26069582052979e-11,0.000311965769947601
1740,0,249.441772999586,4.44126545211846e-09,1.44715483642648e-19,0,0,0.557915028572869,1.30218390535982e-11,0.000311965769971478
1770,0,249.441773002145,2.55821430643158e-09,4.80148287286061e-20,0,0,0.557915028588029,7.50071242608944e-12,0.00031196576998523
1800,0,249.441773003619,1.47355759479945e-09,1.59307333234822e-20,0,0,0.557915028596761,4.3204870422044e-12,0.000311965769993152
1830,0,249.441773004468,8.48784239735127e-10,5.28562260732056e-21,0,0,0.55791502860179,2.48864470747043e-12,0.000311965769997715
1860,0,249.441773004957,4.88908399753195e-10,1.75370497886899e-21,0,0,0.557915028604687,1.43348479452494e-12,0.000311965770000343
1890,0,249.441773005239,2.81616236680871e-10,5.81857877747971e-22,0,0,0.557915028606356,8.25701897081109e-13,0.000311965770001857
1920,0,249.441773005401,1.62213831470563e-10,1.93053332216307e-22,0,0,0.557915028607317,4.75612734396962e-13,0.000311965770002729
1950,0,249.441773005495,9.3436825342363e-11,6.40527360803589e-23,0,0,0.557915028607871,2.73957797504959e-13,0.000311965770003232
1980,0,249.441773005548,5.38205666613371e-11,2.12519149618903e-23,0,0,0.55791502860819,1.57802492207918e-13,0.000311965770003521
