"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,250.000322400697,0,0,0,0,0,0,0,0
60,250.000090984018,0,0,0,0,0,0,0,0
90,250.000018876751,0,0,0,0,0,0,0,0
120,220.430517122595,0,0,0,50.5522174380276,0.00622588978083622,0,0,0
150,155.518037267403,0,0,0,97.7518528928778,0.0235688847422785,0,0,0
180,121.910808581391,0,0,0,87.8636638468996,0.0411945607394587,0,0,0
210,118.725530299661,0,0,0,82.0558408953465,0.0714466807892173,0,0,0
240,122.96617879852,0,0,0,78.5311456165775,0.115401595254947,0,0,0
270,129.615950912051,0,0,0,75.3660465678255,0.177012447633805,0,0,0
300,137.911461725382,0,0,0,71.5298664916837,0.259383691300627,0,0,0
330,147.692468053325,0,0,0,66.7190016975373,0.365921735757327,0,0,0
360,158.890499306567,0,0,0,60.7635996364292,0.497879212136747,0,0,0
390,171.289160299745,0,0,0,53.6432664360419,0.653039088176418,0,0,0
420,184.431963143736,0,0,0,45.5428789354514,0.824288889321123,0,0,0
450,197.611556884821,0,0,0,36.9020249660556,0.999784565098148,0,0,0
480,209.976577907348,0,0,0,28.3710425908088,1.16532576389557,0,0,0
510,220.7448128651,0,0,0,20.6452639968414,1.30844171010672,0,0,0
540,229.425709587519,0,0,0,14.2450080945791,1.42202539383247,0,0,0
570,235.924088034486,0,0,0,9.3740239977497,1.50540531456563,0,0,0
600,240.478119937007,0,0,0,5.93327706082084,1.56269489071426,0,0,0
630,243.499597681668,0,0,0,3.64597117386863,1.60004805385381,0,0,0
660,245.42072423881,0,0,0,2.1938130798983,1.62346915768451,0,0,0
690,246.604626475735,0,0,0,1.30153480477119,1.63775411640127,0,0,0
720,247.318449249074,0,0,0,0.765207108906758,1.64630520785973,0,0,0
750,247.742592460837,0,0,0,0.447366099677436,1.65136180845634,0,0,0
780,247.992239385408,0,0,0,0.260657598031772,1.65432892151265,0,0,0
810,248.138307770904,0,0,0,0.151564682812154,1.65606164311895,0,0,0
840,248.223460120493,0,0,0,0.088025216215115,1.65707056754497,0,0,0
870,248.272990911639,0,0,0,0.0510872514323322,1.65765701620833,0,0,0
900,248.301763516918,0,0,0,0.0296374530503614,1.65799754283743,0,0,0
930,248.318464529824,0,0,0,0.0171896163205922,1.6581951518609,0,0,0
960,248.328154138711,0,0,0,0.00996854157749447,1.65830978412199,0,0,0
990,248.333774347639,0,0,0,0.00578045888147413,1.65837626795299,0,0,0
1020,248.337033692034,0,0,0,0.00335175947612587,1.65841482220093,0,0,0
1050,248.338923719845,0,0,0,0.00194344243294321,1.65843717838171,0,0,0
1080,248.34001965022,0,0,0,0.00112684383645179,1.65845014136852,0,0,0
1110,248.340655104444,0,0,0,0.000653358963124414,1.65845765763456,0,0,0
1140,248.341023553766,0,0,0,0.000378824180719884,1.65846201569425,0,0,0
1170,248.34123718597,0,0,0,0.00021964544921878,1.65846454255146,0,0,0
1200,248.341361052235,0,0,0,0.000127352055776451,1.65846600764785,0,0,0
1230,248.341432870985,0,0,0,7.38395881490512e-05,1.65846685712268,0,0,0
1260,248.341474512043,0,0,0,4.28126700339939e-05,1.65846734965434,0,0,0
1290,248.341498655817,0,0,0,2.48230540100416e-05,1.6584676352275,0,0,0
1320,248.341512654535,0,0,0,1.43925591876164e-05,1.65846780080465,0,0,0
1350,248.341520771079,0,0,0,8.3448932561615e-06,1.65846789680731,0,0,0
1380,248.341525477102,0,0,0,4.8384194831591e-06,1.65846795247025,0,0,0
1410,248.341528205683,0,0,0,2.80534471394275e-06,1.65846798474395,0,0,0
1440,248.34152978773,0,0,0,1.62655569943502e-06,1.65846800345645,0,0,0
1470,248.341530705011,0,0,0,9.4308674282563e-07,1.65846801430605,0,0,0
1500,248.341531236856,0,0,0,5.46807341464171e-07,1.65846802059673,0,0,0
1530,248.341531545222,0,0,0,3.17042169916572e-07,1.65846802424409,0,0,0
1560,248.341531724015,0,0,0,1.83822947548794e-07,1.65846802635886,0,0,0
1590,248.34153182768,0,0,0,1.0658164497326e-07,1.65846802758501,0,0,0
1620,248.341531887786,0,0,0,6.1796675480134e-08,1.65846802829594,0,0,0
1650,248.341531922635,0,0,0,3.58300821821455e-08,1.65846802870815,0,0,0
1680,248.341531942842,0,0,0,2.07744960199725e-08,1.65846802894715,0,0,0
1710,248.341531954557,0,0,0,1.20451770838206e-08,1.65846802908572,0,0,0
1740,248.341531961351,0,0,0,6.98386573744391e-09,1.65846802916606,0,0,0
1770,248.341531965289,0,0,0,4.04928713762291e-09,1.65846802921265,0,0,0
1800,248.341531967572,0,0,0,2.34780090838141e-09,1.65846802923966,0,0,0
1830,248.341531968896,0,0,0,1.36126901302643e-09,1.65846802925532,0,0,0
1860,248.341531969664,0,0,0,7.89271917900053e-10,1.6584680292644,0,0,0
1890,248.341531970109,0,0,0,4.57624580020893e-10,1.65846802926966,0,0,0
1920,248.341531970367,0,0,0,2.65333469352e-10,1.65846802927271,0,0,0
1950,248.341531970516,0,0,0,1.53841932955185e-10,1.65846802927448,0,0,0
1980,248.341531970603,0,0,0,8.91984731257569e-11,1.65846802927551,0,0,0
