"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,250.000322400697,0,0,0,0,0,0,0,0
60,250.000090984018,0,0,0,0,0,0,0,0
90,250.000018876751,0,0,0,0,0,0,0,0
120,212.401340900048,0,0,0,56.0871838724722,7.02506869899919,0,0,0
150,139.298353496078,0,0,0,96.5399162869825,23.9628766395004,0,0,0
180,85.3393496616876,0,0,0,111.294628091588,41.5895008440432,0,0,0
210,49.4600710639837,0,0,0,115.25386161749,58.4598827387643,0,0,0
240,27.5718151399441,0,0,0,116.089864722305,72.3282504029586,0,0,0
270,15.025601975707,0,0,0,116.47409021214,82.7145797009409,0,0,0
300,8.07825411583873,0,0,0,116.906011779012,90.024353657256,0,0,0
330,5.57333102515672,0,0,0,89.4010215574492,94.9951546541268,0,0,0
360,4.43123550207994,0,0,0,77.4369074985835,119.74546653527,0,0,0
390,3.92593029098273,0,0,0,71.0742037800585,141.423224178719,0,0,0
420,3.4375183164222,0,0,0,63.2816522238394,160.135154624538,0,0,0
450,3.05366144657553,0,0,0,56.0419146698427,174.798278787894,0,0,0
480,2.73745770303683,0,0,0,49.3467558491392,186.494885407452,0,0,0
510,2.48136094767558,0,0,0,43.4013222261046,195.872562571624,0,0,0
540,2.27254793755492,0,0,0,38.1859942107173,203.493553440888,0,0,0
570,2.10130299802843,0,0,0,33.6423606236108,209.758270420137,0,0,0
600,1.95974562346953,0,0,0,29.691569160743,214.963293399559,0,0,0
630,1.84179132356162,0,0,0,26.2552652689686,219.328686193872,0,0,0
660,1.74273890853108,0,0,0,23.2617902116322,223.02046260632,0,0,0
690,1.65895377230118,0,0,0,20.6483659157683,226.165574534629,0,0,0
720,1.58760816866527,0,0,0,18.3610900422305,228.862418466716,0,0,0
750,1.52648502684135,0,0,0,16.3541361208959,231.188208182133,0,0,0
780,1.47383103436894,0,0,0,14.588701761511,233.20423488421,0,0,0
810,1.4282473718193,0,0,0,13.03195742176,234.959669541641,0,0,0
840,1.38860829083875,0,0,0,11.6560941386943,236.494348134466,0,0,0
870,1.3540001535692,0,0,0,10.4375005112253,237.840837242034,0,0,0
900,1.32367548703736,0,0,0,9.35606858104599,239.025983931747,0,0,0
930,1.2970180924465,0,0,0,8.39461602033829,240.072091566007,0,0,0
960,1.27351633793646,0,0,0,7.53840830806936,240.997821112787,0,0,0
990,1.25274254986048,0,0,0,6.77476467210357,241.818888827194,0,0,0
1020,1.23433698218824,0,0,0,6.09273321075565,242.54861131103,0,0,0
1050,1.21799524888505,0,0,0,5.48282270921315,243.198335060475,0,0,0
1080,1.20345839586947,0,0,0,4.93678074832852,243.777777779087,0,0,0
1110,1.19050500023495,0,0,0,4.4474095692499,244.295301701127,0,0,0
1140,1.17894483805882,0,0,0,4.00841274846214,244.758134089962,0,0,0
1170,1.16861377469195,0,0,0,3.61426705766293,245.172546370419,0,0,0
1200,1.15936961447311,0,0,0,3.26011496040191,245.544000625752,0,0,0
1230,1.15108870851864,0,0,0,2.9416740689464,245.877270163716,0,0,0
1260,1.14366316540806,0,0,0,2.6551605861662,246.176539338986,0,0,0
1290,1.13699854437193,0,0,0,2.39722432020795,246.445486673848,0,0,0
1320,1.13101193697341,0,0,0,2.16489331134878,246.687354448149,0,0,0
1350,1.12563036342218,0,0,0,1.95552647290887,246.905007262332,0,0,0
1380,1.12078942514022,0,0,0,1.76677293946634,247.100981562856,0,0,0
1410,1.11643216716792,0,0,0,1.59653705028272,247.277527719936,0,0,0
1440,1.11250811330919,0,0,0,1.4429480853085,247.436645935558,0,0,0
1470,1.10897244419569,0,0,0,1.30433402452424,247.580117014642,0,0,0
1500,1.10578529417857,0,0,0,1.17919872591864,247.709528838518,0,0,0
1530,1.10291114748552,0,0,0,1.0662020188493,247.826299226011,0,0,0
1560,1.10031831768059,0,0,0,0.964142292425381,247.931695744525,0,0,0
1590,1.09797849734033,0,0,0,0.871941226508616,248.026852934868,0,0,0
1620,1.09586636716735,0,0,0,0.788630368829267,248.112787333959,0,0,0
1650,1.0939592556237,0,0,0,0.713339307849502,248.190410615113,0,0,0
1680,1.09223684167357,0,0,0,0.645285229214563,248.260541113055,0,0,0
1710,1.09068089445137,0,0,0,0.583763675381471,248.323913957917,0,0,0
1740,1.08927504467298,0,0,0,0.528140354487811,248.381190007181,0,0,0
1770,1.08800458342998,0,0,0,0.477843866671584,248.432963735501,0,0,0
1800,1.08685628468371,0,0,0,0.432359234646309,248.479770218193,0,0,0
1830,1.0858182483364,0,0,0,0.391222140997084,248.522091324239,0,0,0
1860,1.08487976122099,0,0,0,0.354013787899543,248.56036121786,0,0,0
1890,1.08403117373944,0,0,0,0.320356306187308,248.594971253778,0,0,0
1920,1.08326379020341,0,0,0,0.289908650241936,248.626274339462,0,0,0
1950,1.08256977120326,0,0,0,0.262362923328683,248.654588827741,0,0,0
1980,1.0819420465613,0,0,0,0.237441084978944,248.680201994706,0,0,0
