"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,250.000322400697,0,0,0,0,0,0,0,0
60,250.000090984018,0,0,0,0,0,0,0,0
90,250.000018876751,0,0,0,0,0,0,0,0
120,205.996801069808,0,0,0,74.9523253470789,0,0,0,0
150,119.739794445387,0,0,0,131.44199718889,0,0,0,0
180,59.4363471252594,0,0,0,140.954677042974,0,0,0,0
210,24.0242178072475,0,0,0,124.998836368377,0,0,0,0
240,7.44333509707484,0,0,0,100.113110347559,0,0,0,0
270,1.68383530703963,0,0,0,79.7411803725705,0,0,0,0
300,0.267972575049662,0,0,0,69.0057642471283,0,0,0,0
330,0.0306940063995049,0,0,0,65.3741259038859,0,0,0,0
360,0.00280518899883635,0,0,0,64.5944314439865,0,0,0,0
390,0.000225664294985908,0,0,0,64.4794510459411,0,0,0,0
420,1.99424493096108e-05,0,0,0,3.80879247213613,0,0,0,0
450,3.02027188616806e-06,0,0,0,0.225418610436845,0,0,0,0
480,3.77363028437063e-07,0,0,0,0.0134393495565972,0,0,0,0
510,3.51880443200948e-08,0,0,0,0.000810393537401981,0,0,0,0
540,2.84903937017346e-09,0,0,0,4.94210681071102e-05,0,0,0,0
570,2.14169540411879e-10,0,0,0,3.04501773573826e-06,0,0,0,0
600,1.53892801329858e-11,0,0,0,1.8932302671416e-07,0,0,0,0
630,1.0729334897576e-12,0,0,0,1.18627493566439e-08,0,0,0,0
660,7.32130661142737e-14,0,0,0,7.48107316667345e-10,0,0,0,0
690,4.91636888332101e-15,0,0,0,4.7423514162185e-11,0,0,0,0
720,3.26089418283659e-16,0,0,0,3.01839698046125e-12,0,0,0,0
750,2.14183878379585e-17,0,0,0,1.92695456053356e-13,0,0,0,0
780,1.39576106865716e-18,0,0,0,1.23282349216801e-14,0,0,0,0
810,9.03693236287802e-20,0,0,0,7.89854856122463e-16,0,0,0,0
840,5.81949356306208e-21,0,0,0,5.06465154355825e-17,0,0,0,0
870,3.73052124916444e-22,0,0,0,3.24860320838519e-18,0,0,0,0
900,2.38212417797522e-23,0,0,0,2.08363033959299e-19,0,0,0,0
930,1.51601452672106e-24,0,0,0,1.33594960394156e-20,0,0,0,0
960,9.62002924702971e-26,0,0,0,8.56058733770209e-22,0,0,0,0
990,6.08891022522304e-27,0,0,0,5.48131179688251e-23,0,0,0,0
1020,3.84522939987669e-28,0,0,0,3.50651939655372e-24,0,0,0,0
1050,2.42344111330772e-29,0,0,0,2.24098061387917e-25,0,0,0,0
1080,1.52461806418043e-30,0,0,0,1.43067860041371e-26,0,0,0,0
1110,9.57601642951226e-32,0,0,0,9.12368317902152e-28,0,0,0,0
1140,6.00577885464396e-33,0,0,0,5.8118213369502e-29,0,0,0,0
1170,3.76158056557259e-34,0,0,0,3.69797621321039e-30,0,0,0,0
1200,2.35307662475867e-35,0,0,0,2.35031600739289e-31,0,0,0,0
1230,1.47030684252475e-36,0,0,0,1.49211634510314e-32,0,0,0,0
1260,9.17745218765869e-38,0,0,0,9.46237198304352e-34,0,0,0,0
1290,5.72281790415808e-39,0,0,0,5.99413854246349e-35,0,0,0,0
1320,3.56532271795049e-40,0,0,0,3.79308748188782e-36,0,0,0,0
1350,2.21928478319458e-41,0,0,0,2.39777863640996e-37,0,0,0,0
1380,1.38030099718272e-42,0,0,0,1.51421265784192e-38,0,0,0,0
1410,8.57827621343054e-44,0,0,0,9.55296006874393e-40,0,0,0,0
1440,5.32731659701874e-45,0,0,0,6.02107773385499e-41,0,0,0,0
1470,3.3060868179277e-46,0,0,0,3.79146930451827e-42,0,0,0,0
1500,2.0503628815513e-47,0,0,0,2.38533628901147e-43,0,0,0,0
1530,1.27077911369768e-48,0,0,0,1.49938081767845e-44,0,0,0,0
1560,7.87124150601631e-50,0,0,0,9.41685261024085e-46,0,0,0,0
1590,4.87259376675606e-51,0,0,0,5.90938090145997e-47,0,0,0,0
1620,3.01460253585369e-52,0,0,0,3.70536619068567e-48,0,0,0,0
1650,1.86406531171023e-53,0,0,0,2.32157867919763e-49,0,0,0,0
1680,1.15202273621855e-54,0,0,0,1.45347848422311e-50,0,0,0,0
1710,7.11601571082159e-56,0,0,0,9.09318789094359e-52,0,0,0,0
1740,4.39334400130633e-57,0,0,0,5.68479924875206e-53,0,0,0,0
1770,2.71107834815607e-58,0,0,0,3.55151943344578e-54,0,0,0,0
1800,1.67218048052409e-59,0,0,0,2.2172858130839e-55,0,0,0,0
1830,1.03091715791144e-60,0,0,0,1.38339295110366e-56,0,0,0,0
1860,6.3528546026591e-62,0,0,0,8.6256826845998e-58,0,0,0,0
1890,3.91312118915295e-63,0,0,0,5.37492928452429e-59,0,0,0,0
1920,2.40930266748715e-64,0,0,0,3.34726734438283e-60,0,0,0,0
1950,1.4827820491542e-65,0,0,0,2.08330631647903e-61,0,0,0,0
1980,9.12189728013659e-67,0,0,0,1.29588773502667e-62,0,0,0,0
