"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,250.000322400697,0,0,0,0,0,0,0,0
60,250.000090984018,0,0,0,0,0,0,0,0
90,250.000018876751,0,0,0,0,0,0,0,0
120,194.675799066375,0,0,0,87.2201953856022,10.5876334737558,0,0,0
150,101.538991995807,0,0,0,134.915273128131,32.2033243639435,0,0,0
180,47.134026165561,0,0,0,143.25458592127,49.8087744194556,0,0,0
210,29.1400188723526,0,0,0,89.867587946733,59.7881265784352,0,0,0
240,23.7262426107562,0,0,0,79.0172336485124,86.0817467653692,0,0,0
270,21.9097703721216,0,0,0,73.0914218205513,111.79230924536,0,0,0
300,19.7822978545335,0,0,0,65.6088639021499,135.138738934275,0,0,0
330,17.9469080552931,0,0,0,58.1168015913568,153.833034647252,0,0,0
360,16.3215296845308,0,0,0,50.962636171383,168.77687687031,0,0,0
390,14.9506513505196,0,0,0,44.5271550984271,180.676233542842,0,0,0
420,13.8042828315462,0,0,0,38.8706225167133,190.244764263986,0,0,0
450,12.8495403128649,0,0,0,33.959623144632,198.016975576757,0,0,0
480,12.0527296148352,0,0,0,29.7160799926298,204.396592854934,0,0,0
510,11.3849326486723,0,0,0,26.0532676261863,209.684232458754,0,0,0
540,10.8223183877745,0,0,0,22.888743000379,214.105736079504,0,0,0
570,10.3457021794256,0,0,0,20.1493054728934,217.832412839497,0,0,0
600,9.93974681087215,0,0,0,17.7719647044096,220.995724669545,0,0,0
630,9.59219735077625,0,0,0,15.7033402387882,223.697734627687,0,0,0
660,9.29322937295793,0,0,0,13.8985027235497,226.018586433812,0,0,0
690,9.03492572068687,0,0,0,12.3197165206967,228.021896484148,0,0,0
720,8.81086654270485,0,0,0,10.9352696554436,229.758679369675,0,0,0
750,8.61581154226924,0,0,0,9.71845479456913,231.270235687862,0,0,0
780,8.44545445694009,0,0,0,8.6467104926292,232.590299253764,0,0,0
810,8.29623314501496,0,0,0,7.70090981776226,233.746650573572,0,0,0
840,8.16518216629443,0,0,0,6.86477615157961,234.762341768482,0,0,0
870,8.04981778242898,0,0,0,6.12440521113421,235.656635768576,0,0,0
900,7.94804772995272,0,0,0,5.46787425001629,236.445733290338,0,0,0
930,7.85809999001073,0,0,0,4.8849221469544,237.143340669674,0,0,0
960,7.77846619438442,0,0,0,4.36668688031016,237.761117234547,0,0,0
990,7.70785636944999,0,0,0,3.90548939428666,238.309030680328,0,0,0
1020,7.64516251409893,0,0,0,3.49465499086061,238.795641582058,0,0,0
1050,7.5894291020477,0,0,0,3.12836513303749,239.228332874421,0,0,0
1080,7.53982904477267,0,0,0,2.80153396175778,239.613496257906,0,0,0
1110,7.49564398689421,0,0,0,2.50970496338785,239.956684637873,0,0,0
1140,7.45624805957757,0,0,0,2.24896412857487,240.262737585258,0,0,0
1170,7.42109441032559,0,0,0,2.01586666154044,240.535885222176,0,0,0
1200,7.38970397480794,0,0,0,1.80737486945836,240.779834739555,0,0,0
1230,7.36165606945978,0,0,0,1.62080531517266,240.997842844954,0,0,0
1260,7.33658047089248,0,0,0,1.45378367776756,241.192776743057,0,0,0
1290,7.3141507159267,0,0,0,1.30420605389001,241.367165715295,0,0,0
1320,7.29407840893979,0,0,0,1.17020566359573,241.523244949433,0,0,0
1350,7.27610836469714,0,0,0,1.05012410989402,241.662992945559,0,0,0
1380,7.26001444754067,0,0,0,0.94248649055946,241.788163570371,0,0,0
1410,7.2455959937192,0,0,0,0.845979781579719,241.900313630623,0,0,0
1440,7.23267472427889,0,0,0,0.759434009644797,242.000826677092,0,0,0
1470,7.22109207244035,0,0,0,0.681805810941302,242.090933623043,0,0,0
1500,7.21070686265998,0,0,0,0.612164038810795,242.171730659048,0,0,0
1530,7.20139328929001,0,0,0,0.549677136423864,242.244194863682,0,0,0
1560,7.19303915144695,0,0,0,0.493602034777048,242.309197842839,0,0,0
1590,7.18554430778293,0,0,0,0.443274372839782,242.367517676132,0,0,0
1620,7.17881932065356,0,0,0,0.39809986699932,242.419849404415,0,0,0
1650,7.17278426394296,0,0,0,0.357546682221768,242.466814255919,0,0,0
1680,7.16736767274153,0,0,0,0.321138678488151,242.508967778428,0,0,0
1710,7.16250561633456,0,0,0,0.288449423817196,242.546807019897,0,0,0
1740,7.15814087867487,0,0,0,0.259096880149519,242.58077687916,0,0,0
1770,7.15422223278257,0,0,0,0.232738681025561,242.611275730973,0,0,0
1800,7.15070379741933,0,0,0,0.209067930735591,242.638660415068,0,0,0
1830,7.14754446598865,0,0,0,0.187809463774775,242.663250666591,0,0,0
1860,7.14470739897053,0,0,0,0.168716511262113,242.685333054889,0,0,0
1890,7.14215957234999,0,0,0,0.151567727693668,242.705164488788,0,0,0
1920,7.13987137547975,0,0,0,0.136164537175108,242.722975338984,0,0,0
1950,7.13781625265592,0,0,0,0.122328763261956,242.73897222169,0,0,0
1980,7.13597038340399,0,0,0,0.109900510849262,242.753340482215,0,0,0
