"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,250.000322400697,0,0,0,0,0,0,0,0
60,250.000090984018,0,0,0,0,0,0,0,0
90,250.000018876751,0,0,0,0,0,0,0,0
120,198.060045271605,0,0,0,90.4206728017769,0,0,0,0
150,103.073791746204,0,0,0,149.32808187525,0,0,0,0
180,43.7129274931708,0,0,0,150.906397467971,0,0,0,0
210,14.4241717116123,0,0,0,127.946876492747,0,0,0,0
240,5.27343902430199,0,0,0,43.1173477153338,0,0,0,0
270,2.42766865924912,0,0,0,29.4742797945699,0,0,0,0
300,1.30537287798839,0,0,0,19.8330475688335,0,0,0,0
330,0.693566490347526,0,0,0,14.0715217769786,0,0,0,0
360,0.35824427653227,0,0,0,9.58927245050842,0,0,0,0
390,0.177811921327285,0,0,0,6.33102817263633,0,0,0,0
420,0.084301694460139,0,0,0,3.99080364483361,0,0,0,0
450,0.0378505573401322,0,0,0,2.38084673764073,0,0,0,0
480,0.0158696294712693,0,0,0,1.32202248036167,0,0,0,0
510,0.00608519476103977,0,0,0,0.667353634348033,0,0,0,0
540,0.00207635416125646,0,0,0,0.296962078196523,0,0,0,0
570,0.000612795220395887,0,0,0,0.1127914459999,0,0,0,0
600,0.000153486527199511,0,0,0,0.0357613956689585,0,0,0,0
630,3.2568111084252e-05,0,0,0,0.00943158665215936,0,0,0,0
660,5.93157334121185e-06,0,0,0,0.00209637165775545,0,0,0,0
690,9.45701647963112e-07,0,0,0,0.000400958243229872,0,0,0,0
720,1.34643351068442e-07,0,0,0,6.74207022163659e-05,0,0,0,0
750,1.74207654975985e-08,0,0,0,1.01591828435099e-05,0,0,0,0
780,2.0786548799651e-09,0,0,0,1.39425039673473e-06,0,0,0,0
810,2.31530841462798e-10,0,0,0,1.76653203220652e-07,0,0,0,0
840,2.43165075912221e-11,0,0,0,2.08975235039148e-08,0,0,0,0
870,2.42804620188056e-12,0,0,0,2.32988603257673e-09,0,0,0,0
900,2.32090659567537e-13,0,0,0,2.46740747839161e-10,0,0,0,0
930,2.13591910982233e-14,0,0,0,2.49839165930432e-11,0,0,0,0
960,1.90157511215796e-15,0,0,0,2.43213581713175e-12,0,0,0,0
990,1.64432623433204e-16,0,0,0,2.2868906932904e-13,0,0,0,0
1020,1.38574175398898e-17,0,0,0,2.08521220896053e-14,0,0,0,0
1050,1.14142861319942e-18,0,0,0,1.84998044277026e-15,0,0,0,0
1080,9.21206551883138e-20,0,0,0,1.60159178467529e-16,0,0,0,0
1110,7.30004539284288e-21,0,0,0,1.356395274516e-17,0,0,0,0
1140,5.69045570031229e-22,0,0,0,1.126178032152e-18,0,0,0,0
1170,4.37027677677166e-23,0,0,0,9.1839344338859e-20,0,0,0,0
1200,3.31138978682168e-24,0,0,0,7.36822875980626e-21,0,0,0,0
1230,2.47842353671693e-25,0,0,0,5.82417565964671e-22,0,0,0,0
1260,1.83427997714933e-26,0,0,0,4.54143434667834e-23,0,0,0,0
1290,1.34365446578775e-27,0,0,0,3.49724047463331e-24,0,0,0,0
1320,9.74994490712898e-29,0,0,0,2.66234272904069e-25,0,0,0,0
1350,7.0134258267412e-30,0,0,0,2.00536546580467e-26,0,0,0,0
1380,5.00447169739387e-31,0,0,0,1.49574845814373e-27,0,0,0,0
1410,3.54440144668158e-32,0,0,0,1.10552357500753e-28,0,0,0,0
1440,2.49295752127807e-33,0,0,0,8.10214320391212e-30,0,0,0,0
1470,1.7421362029184e-34,0,0,0,5.89122043639194e-31,0,0,0,0
1500,1.21013160886951e-35,0,0,0,4.25217658140698e-32,0,0,0,0
1530,8.35866360945265e-37,0,0,0,3.04806488474932e-33,0,0,0,0
1560,5.74314536220431e-38,0,0,0,2.17085948281591e-34,0,0,0,0
1590,3.92656446824743e-39,0,0,0,1.53675643428612e-35,0,0,0,0
1620,2.67211201762545e-40,0,0,0,1.08168492369753e-36,0,0,0,0
1650,1.81048011112736e-41,0,0,0,7.57290380656605e-38,0,0,0,0
1680,1.22162657503932e-42,0,0,0,5.27499259208645e-39,0,0,0,0
1710,8.21085787724951e-44,0,0,0,3.65679276243885e-40,0,0,0,0
1740,5.49839398870261e-45,0,0,0,2.52353782451794e-41,0,0,0,0
1770,3.66914854705932e-46,0,0,0,1.73401819722627e-42,0,0,0,0
1800,2.44036814355422e-47,0,0,0,1.18666339175726e-43,0,0,0,0
1830,1.61800087490709e-48,0,0,0,8.08947315523117e-45,0,0,0,0
1860,1.06955476755576e-49,0,0,0,5.4943225373421e-46,0,0,0,0
1890,7.05002973778079e-51,0,0,0,3.71865557524084e-47,0,0,0,0
1920,4.63447954987569e-52,0,0,0,2.50845948587684e-48,0,0,0,0
1950,3.03869846568913e-53,0,0,0,1.68672474270959e-49,0,0,0,0
1980,1.98747544640097e-54,0,0,0,1.13073182562098e-50,0,0,0,0
