"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,250,0,0,0,0,0,0,0
30,0,250.000322400697,0,0,0,0,0,0,0
60,0,250.000090984018,0,0,0,0,0,0,0
90,0,250.000018876751,0,0,0,0,0,0,0
120,0,198.060045271605,14.598216276689,158.06616615509,0,0,0,0,0
150,0,103.073791746204,69.0280838439595,244.515717877515,0,0,0,0,0
180,0,43.7129274931707,70.3419872973409,344.235207861588,0,0,0,0,0
210,0,14.4241717116123,47.3668519990936,430.962109257633,0,0,0,0,0
240,0,3.49179373381509,22.5614052117338,485.625232281497,0,0,0,0,0
270,0,0.595509640429224,7.38484523603133,507.833089988127,0,0,0,0,0
300,0,0.104929740514348,2.87996151250607,355.73304733096,0,0,0,0,0
330,0,0.0296740439667283,2.15633354165461,160.140334968341,0,0,0,0,0
360,0,0.00821286118222044,0.988618038289714,87.1973413077861,0,0,0,0,0
390,0,0.00250345283743037,0.375667797656832,45.1765332586241,0,0,0,0,0
420,0,0.000686731870216561,0.133220255179854,20.0902754872193,0,0,0,0,0
450,0,0.000163672513829191,0.0400392875375883,7.65078298816557,0,0,0,0,0
480,0,3.34728668602398e-05,0.0101233158713415,2.40477393469671,0,0,0,0,0
510,0,5.9119233716749e-06,0.00217420965656193,0.630189780184496,0,0,0,0,0
540,0,9.18644412828022e-07,0.000403925709971805,0.140535527198374,0,0,0,0,0
570,0,1.27997457776862e-07,6.62628086765697e-05,0.0272486675324141,0,0,0,0,0
600,0,1.62617051687739e-08,9.77726888379177e-06,0.00468593818573901,0,0,0,0,0
630,0,1.91057711483903e-09,1.31800965084802e-06,0.000727069734936564,0,0,0,0,0
660,0,2.10021953753266e-10,1.64447878454619e-07,0.000103261793398829,0,0,0,0,0
690,0,2.1809626954731e-11,1.91978942102734e-08,1.35872064148431e-05,0,0,0,0,0
720,0,2.15661091232744e-12,2.11599654004297e-09,1.67318040203016e-06,0,0,0,0,0
750,0,2.04410162827248e-13,2.21863651262165e-10,1.94477352638039e-07,0,0,0,0,0
780,0,1.86736321337553e-14,2.22695301903536e-11,2.14891267851377e-08,0,0,0,0,0
810,0,1.65177263627356e-15,2.15129118050067e-12,2.27102188157404e-09,0,0,0,0,0
840,0,1.42019994648895e-16,2.00910965306118e-13,2.30732638451202e-10,0,0,0,0,0
870,0,1.1908305636629e-17,1.8208913864435e-14,2.26352657644682e-11,0,0,0,0,0
900,0,9.76478072552875e-19,1.60678487318286e-15,2.15219622801492e-12,0,0,0,0,0
930,0,7.84914614431197e-20,1.38433474001858e-16,1.9897632796074e-13,0,0,0,0,0
960,0,6.19754517284128e-21,1.16730204996642e-17,1.79373286436285e-14,0,0,0,0,0
990,0,4.81529867097287e-22,9.65368637718382e-19,1.58053779758746e-15,0,0,0,0,0
1020,0,3.68723243021156e-23,7.84444684575146e-20,1.36415017711962e-16,0,0,0,0,0
1050,0,2.7863379776643e-24,6.27310712478713e-21,1.15540733631647e-17,0,0,0,0,0
1080,0,2.08033468666897e-25,4.94381351010841e-22,9.61905139600187e-19,0,0,0,0,0
1110,0,1.53619964003611e-26,3.84446921278308e-23,7.88277847629925e-20,0,0,0,0,0
1140,0,1.12298450408584e-27,2.95311314692844e-24,6.36694512402948e-21,0,0,0,0,0
1170,0,8.13323518010919e-29,2.24292523109391e-25,5.07435904606879e-22,0,0,0,0,0
1200,0,5.84022493997344e-30,1.68584063679105e-26,3.99457230158608e-23,0,0,0,0,0
1230,0,4.16056526198152e-31,1.25493641587794e-27,3.10880281259338e-24,0,0,0,0,0
1260,0,2.9422697843015e-32,9.25832627111544e-29,2.39389251032704e-25,0,0,0,0,0
1290,0,2.06654872406831e-33,6.7736200824326e-30,1.82525897142239e-26,0,0,0,0,0
1320,0,1.44226589507087e-34,4.91736552299809e-31,1.37892868694398e-27,0,0,0,0,0
1350,0,1.0006119200248e-35,3.54396981952943e-32,1.03280575785992e-28,0,0,0,0,0
1380,0,6.90356953190846e-37,2.53685436286615e-33,7.67349480535559e-30,0,0,0,0,0
1410,0,4.7382870227735e-38,1.8044011960046e-34,5.6582546326718e-31,0,0,0,0,0
1440,0,3.23628830506775e-39,1.27576512154736e-35,4.14271180482098e-32,0,0,0,0,0
1470,0,2.20027954765479e-40,8.96937320465416e-37,3.01287675652325e-33,0,0,0,0,0
1500,0,1.48946177172421e-41,6.27260813558231e-38,2.1774034561104e-34,0,0,0,0,0
1530,0,1.00417227913112e-42,4.36474045384424e-39,1.56426529817515e-35,0,0,0,0,0
1560,0,6.74392101319311e-44,3.02281904812416e-40,1.11747261363342e-36,0,0,0,0,0
1590,0,4.51265840708357e-45,2.08410387419555e-41,7.94051185970919e-38,0,0,0,0,0
1620,0,3.0092041023419e-46,1.43080930146122e-42,5.61391203416088e-39,0,0,0,0,0
1650,0,2.00007952020371e-47,9.78348320698611e-44,3.95002370260663e-40,0,0,0,0,0
1680,0,1.32522892756542e-48,6.66410698949175e-45,2.76665024265706e-41,0,0,0,0,0
1710,0,8.75485700194065e-50,4.52280940411747e-46,1.92941408236415e-42,0,0,0,0,0
1740,0,5.76744604693623e-51,3.05891922091407e-47,1.3399937694548e-43,0,0,0,0,0
1770,0,3.78923858570282e-52,2.06201357046256e-48,9.26978645431772e-45,0,0,0,0,0
1800,0,2.48317893933172e-53,1.38562120648284e-49,6.38857833587003e-46,0,0,0,0,0
1830,0,1.62331173914203e-54,9.28300164443028e-51,4.38711607582841e-47,0,0,0,0,0
1860,0,1.05871885295544e-55,6.20127107711126e-52,3.00235918312757e-48,0,0,0,0,0
1890,0,6.88950714717492e-57,4.13119082827718e-53,2.04794711754162e-49,0,0,0,0,0
1920,0,4.47368818924553e-58,2.74487515750745e-54,1.3925391682688e-50,0,0,0,0,0
1950,0,2.8990256595998e-59,1.81915719038796e-55,9.44028480181302e-52,0,0,0,0,0
1980,0,1.87492382826559e-60,1.20271525174299e-56,6.3812364415661e-53,0,0,0,0,0
