"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,250.000322400697,0,0,0,0,0,0,0,0
60,250.000090984018,0,0,0,0,0,0,0,0
90,250.000018876751,0,0,0,0,0,0,0,0
120,198.056524965436,0,0,0,90.4172052718582,0.0111434353254134,0,0,0
150,103.07203976536,0,0,0,149.311966952524,0.0366645380998542,0,0,0
180,43.7177340104603,0,0,0,150.902004855521,0.0626741859670635,0,0,0
210,14.4355162383476,0,0,0,127.992968916793,0.0865514369714313,0,0,0
240,3.50468581120677,0,0,0,103.281286836871,0.105295594843175,0,0,0
270,0.60460756520988,0,0,0,88.2144732283025,0.119659914489056,0,0,0
300,0.11400968822827,0,0,0,8.60430877576754,0.105875544099182,0,0,0
330,0.0398197583346777,0,0,0,4.6227238452664,0.193764274427833,0,0,0
360,0.0522956486988615,0,0,0,8.62570351123654,0.887646850834287,0,0,0
390,0.0892418202296092,0,0,0,21.5091930816367,5.52159413187376,0,0,0
420,0.135814748695152,0,0,0,44.7170851539485,17.8163025919062,0,0,0
450,0.150769800421932,0,0,0,67.7549537417434,35.7434547165172,0,0,0
480,0.135660074641615,0,0,0,78.6018448171723,56.8121121860152,0,0,0
510,0.115858071516171,0,0,0,85.0416745997269,75.6093634564423,0,0,0
540,0.0953565248348078,0,0,0,86.3735161747578,92.9411696427047,0,0,0
570,0.0777759768882494,0,0,0,85.1929081971986,108.125739015812,0,0,0
600,0.0635038115771283,0,0,0,82.6388991273373,121.356017797378,0,0,0
630,0.0521187226609454,0,0,0,79.3239698582966,132.882167845632,0,0,0
660,0.0431080664094019,0,0,0,75.7027211992259,142.906887741105,0,0,0
690,0.035961129500855,0,0,0,72.0057435022211,151.653070648877,0,0,0
720,0.0302636627846768,0,0,0,68.3781682971455,159.306779701039,0,0,0
750,0.0256888449438699,0,0,0,64.8974794210107,166.031382356752,0,0,0
780,0.0219859184347761,0,0,0,61.6037800293483,171.964595699968,0,0,0
810,0.0189636885374417,0,0,0,58.5136560983214,177.22238824919,0,0,0
840,0.0164765317070545,0,0,0,55.6298130979724,181.901908720811,0,0,0
870,0.014413171226962,0,0,0,52.9468664552048,186.084515870771,0,0,0
900,0.0126881189402346,0,0,0,50.4549727594049,189.838417008691,0,0,0
930,0.0112352653806772,0,0,0,48.1420704485032,193.220925374818,0,0,0
960,0.0100031180846649,0,0,0,45.9952510651373,196.280346082465,0,0,0
990,0.00895126995843451,0,0,0,44.0015818656615,199.057534265138,0,0,0
1020,0.00804777467170873,0,0,0,42.1485824415298,201.587174395818,0,0,0
1050,0.00726718798760153,0,0,0,40.4244839504094,203.898827650697,0,0,0
1080,0.00658909807167376,0,0,0,38.8183527929431,206.017788818457,0,0,0
1110,0.00599701585625854,0,0,0,37.3201309859005,207.965787955349,0,0,0
1140,0.00547753170830009,0,0,0,35.9206265895984,209.761565955895,0,0,0
1170,0.00501967013459057,0,0,0,34.6114754393818,211.42134787049,0,0,0
1200,0.00461439264827628,0,0,0,33.3850876371322,212.95923328163,0,0,0
1230,0.00425421218767334,0,0,0,32.2345872312972,214.387519317585,0,0,0
1260,0.00393289207096038,0,0,0,31.1537502688357,215.716968845388,0,0,0
1290,0.00364520943203371,0,0,0,30.1369443113159,216.95703393617,0,0,0
1320,0.00338676815918261,0,0,0,29.1790711659078,218.116042731663,0,0,0
1350,0.00315385007967918,0,0,0,28.2755137286262,219.201356269122,0,0,0
1380,0.00294329587715524,0,0,0,27.4220873018513,220.219500565741,0,0,0
1410,0.0027524092635998,0,0,0,26.6149954198498,221.176278259124,0,0,0
1440,0.00257887944615618,0,0,0,25.8507900219927,222.076863296243,0,0,0
1470,0.0024207180686116,0,0,0,25.1263357058719,222.925881518298,0,0,0
1500,0.00227620766808871,0,0,0,24.43877774018,223.7274794704,0,0,0
1530,0.00214385934114611,0,0,0,23.7855134994328,224.485383347153,0,0,0
1560,0.00202237781288964,0,0,0,23.1641669858913,225.202949647414,0,0,0
1590,0.00191063248636691,0,0,0,22.5725661195943,225.883208837781,0,0,0
1620,0.00180763334590048,0,0,0,22.0087224995573,226.52890310168,0,0,0
1650,0.00171251081819476,0,0,0,21.470813364322,227.142519069402,0,0,0
1680,0.00162449887474419,0,0,0,20.957165505893,227.726316275805,0,0,0
1710,0.00154292080005648,0,0,0,20.466240916298,228.282351970473,0,0,0
1740,0.00146717716136196,0,0,0,19.9966239698049,228.812502804715,0,0,0
1770,0.00139673560353446,0,0,0,19.5470099657847,229.318483836785,0,0,0
1800,0.0013311221630215,0,0,0,19.1161948772005,229.801865228071,0,0,0
1830,0.00126991385059159,0,0,0,18.7030661676836,230.264086945791,0,0,0
1860,0.00121273229766807,0,0,0,18.306594556226,230.706471740228,0,0,0
1890,0.0011592382972619,0,0,0,17.925826622791,231.13023662466,0,0,0
1920,0.00110912709984809,0,0,0,17.559878160769,231.536503052825,0,0,0
1950,0.00106212434836142,0,0,0,17.2079281933426,231.926305960708,0,0,0
1980,0.00101798255592324,0,0,0,16.8692135806327,232.30060181577,0,0,0
