"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,250,0,0,0,0,0,0,0
30,0,250.000322400697,0,0,0,0,0,0,0
60,0,250.000090984018,0,0,0,0,0,0,0
90,0,250.000018876751,0,0,0,0,0,0,0
120,0,198.056524965436,14.5947487467703,158.046486004259,0,0,0.00703141167232505,0.0164464505408883,8.22404767521169e-07
150,0,103.064910883835,69.0048695013069,244.458945115478,0,0,0.0299145719001945,0.0440374590508791,3.22712462382815e-06
180,0,43.7025410154906,70.3055133006192,344.089278655806,0,0,0.0417921440561661,0.10153272127383,1.11448735821437e-05
210,0,14.4174878186998,47.3313207446126,430.668314242561,0,0,0.0385415843867731,0.187601483476256,2.88250567583427e-05
240,0,3.48949198603024,22.5441350152954,485.142521522451,0,0,0.0263699501897044,0.293330716667032,6.02553240601413e-05
270,0,0.595346502712627,7.39090977838942,507.178306718502,0,0,0.0135303861348007,0.401573054366447,0.000106937449600658
300,0,0.0723056524740178,1.6257539812239,511.08503479922,0,0,0.00506630742298703,0.491171989979477,0.000162692436312994
330,0,0.00686234086172447,0.25336149325088,510.457892095522,0,0,0.00138524683759237,0.556059748519492,0.000216387135872167
360,0,0.000704361762214796,0.0491769855580991,349.669316590617,0,0,0.000565025577664623,1.41894062540614,0.000821554935519637
390,0,0.000115828807238332,0.0289937073886536,148.7877862163,0,0,0.00041002281477077,3.08077146668415,0.00599524430516935
420,0,1.33623873038314e-05,0.0141767542909832,106.846315621965,0,0,0.00100956827441101,10.3224636190744,0.111911896798912
450,0,1.88213431044384e-06,0.0139721905913622,149.274064977388,0,0,0.00227734952134919,31.9166092586491,1.25007054365338
480,0,6.09081021912868e-07,0.010662539632585,168.685778510434,0,0,0.00352898847919039,67.5428743637986,5.37172088543293
510,0,2.78812392113957e-07,0.00714232623766755,150.130107878145,0,0,0.00394229825271321,100.971759539911,14.1166354478044
540,0,1.38883073827158e-07,0.00466700866260992,131.009109246541,0,0,0.00365946511450511,119.883207408502,24.6709869979662
570,0,7.01756532046566e-08,0.00299072990555428,107.429040729258,0,0,0.00317974588954497,131.028110128329,36.6826322279056
600,0,3.72706769782577e-08,0.00195842368948343,88.0052744228454,0,0,0.002679208757369,135.623061829228,49.0529270207646
630,0,2.07164594720964e-08,0.00131544758016354,72.3562905417069,0,0,0.00223266530996952,136.290395750376,61.1079648113109
660,0,1.2027187140423e-08,0.0009059312223314,59.8030244689557,0,0,0.0018575334440045,134.448935185249,72.6867643623962
690,0,7.27496359823423e-09,0.000639865455311712,49.8514783270706,0,0,0.00155050898779717,131.102271761511,83.5471526863278
720,0,4.56521801402131e-09,0.000462492593205201,41.8999948843562,0,0,0.00130154948281419,126.885782002449,93.6464537980539
750,0,2.96146402028522e-09,0.00034148323180342,35.5143642476162,0,0,0.00110003458770542,122.22202963784,102.966282381493
780,0,1.97905224667917e-09,0.000257062380680089,30.3456368078007,0,0,0.000936479867664889,117.381797996762,111.532758617826
810,0,1.35825150835358e-09,0.000196941397722945,26.1288036815159,0,0,0.000803073769034177,112.538405906642,119.388868886978
840,0,9.54747582689616e-10,0.000153303771284045,22.6608832675185,0,0,0.000693582905374667,107.799732307615,126.58699325392
870,0,6.85705749129254e-10,0.000121072224489793,19.7864540814802,0,0,0.000603110429376831,103.230441637018,133.182326042219
900,0,5.02122600251898e-10,9.68808489865771e-05,17.3858894921685,0,0,0.000527831286981046,98.8666654706061,139.229331927467
930,0,3.74194975297092e-10,7.84550924854105e-05,15.3665549042586,0,0,0.000464759212245151,94.7258305739461,144.779743063815
960,0,2.83330331537097e-10,6.42300564337893e-05,13.6562275932361,0,0,0.000411556904618396,90.8132448205333,149.881551338236
990,0,2.17655820413426e-10,5.31108891679909e-05,12.198196692183,0,0,0.000366387097922626,87.1265067651862,154.578612033933
1020,0,1.69425150213429e-10,4.43195418361632e-05,10.9476102868344,0,0,0.000327797847694961,83.658457937478,158.91060633817
1050,0,1.33483453965552e-10,3.72949977836703e-05,9.86874187431745,0,0,0.000294634913134529,80.3991527855081,162.913208330081
1080,0,1.06337240224399e-10,3.16272140889348e-05,8.93293462749604,0,0,0.000265975018748164,77.337165897819,166.618358603182
1110,0,8.55787130046969e-11,2.70126842296468e-05,8.11704634634075,0,0,0.000241074986775926,74.4604510354113,170.054585018038
1140,0,6.9522269822951e-11,2.32240952809197e-05,7.40226577951593,0,0,0.000219332859895063,71.7568969253443,173.247334879929
1170,0,5.69706847678416e-11,2.00893159525024e-05,6.77320578430988,0,0,0.000200258067582793,69.214678014622,176.219298011576
1200,0,4.7062093068054e-11,1.74766525155651e-05,6.21720403132897,0,0,0.000183448421279792,66.8224669429593,178.990709647583
1230,0,3.91682304731218e-11,1.52843734633636e-05,5.72378024389706,0,0,0.000168572280675883,64.5695542282405,181.579627914752
1260,0,3.28257345139668e-11,1.34331794024998e-05,5.2842122324141,0,0,0.00015535465138799,62.4459062203089,184.00218418412
1290,0,2.76891094611712e-11,1.18607300982741e-05,4.89120264714937,0,0,0.000143566285477411,60.4421825356702,186.272806636705
1320,0,2.34980966108906e-11,1.05176251244467e-05,4.53861544027201,0,0,0.000133015087264372,58.549727452053,188.404418519901
1350,0,2.00547565514172e-11,9.36442295291312e-06,4.22126622254088,0,0,0.000123539298388214,56.7605451216544,190.40861313507
1380,0,1.7207184691968e-11,8.36940961743582e-06,3.93475453883859,0,0,0.000115002063598758,55.0672652847557,192.295807812657
1410,0,1.48378129676881e-11,7.50691377083137e-06,3.67532893949917,0,0,0.000107287073902366,53.4631039773981,194.075379141515
1440,0,1.28549191007461e-11,6.75602374607166e-06,3.43977785657073,0,0,0.000100295054929249,51.9418222193606,195.755781613756
1470,0,1.1186403726503e-11,6.09960300462231e-06,3.22534089697633,0,0,9.39409219719126e-05,50.4976846309418,197.344651681554
1500,0,9.7751875404923e-12,5.52352892186229e-06,3.02963637633759,0,0,8.81514636361942e-05,49.1254192143507,198.8488990322
1530,0,8.57577698900427e-12,5.01610006890193e-06,2.85060183860119,0,0,8.28634467952784e-05,47.8201790481819,200.274786692967
1560,0,7.5516806440316e-12,4.56757157999165e-06,2.68644501107234,0,0,7.80220590050057e-05,46.577506312561,201.628001389675
1590,0,6.67345029840401e-12,4.16978858890944e-06,2.53560318602443,0,0,7.35796225404756e-05,45.3932988402845,202.913715408531
1620,0,5.9171846605201e-12,3.81589526798554e-06,2.39670943861217,0,0,6.94945280923372e-05,44.2637792423558,204.136641052656
1650,0,5.26337831205132e-12,3.50010253196382e-06,2.26856441598956,0,0,6.57303469142453e-05,43.1854665615499,205.301078643481
1680,0,4.69603029539705e-12,3.2175015481346e-06,2.15011268644,0,0,6.22550885856033e-05,42.1551503488107,206.410958892448
1710,0,4.20194933777228e-12,2.96391322610773e-06,2.0404228365587,0,0,5.90405781044113e-05,41.1698670230572,207.469880359199
1740,0,3.77020902167009e-12,2.73576612991427e-06,1.93867066160828,0,0,5.6061931174536e-05,40.2268783574483,208.481142617126
1770,0,3.39171804450928e-12,2.52999696504571e-06,1.84412491858958,0,0,5.32971106184376e-05,39.3236519287723,209.447775664555
1800,0,3.05887936443405e-12,2.34396908973727e-06,1.75613521056548,0,0,5.072655007248e-05,38.4578433675521,210.372566048192
1830,0,2.76531840454422e-12,2.17540548919297e-06,1.67412164988482,0,0,4.83328336924049e-05,37.6272802520018,211.258080103648
1860,0,2.50566521707888e-12,2.02233341082416e-06,1.59756601143885,0,0,4.61004226533475e-05,36.8299474972921,212.106684664451
1890,0,2.27537904065059e-12,1.88303844470925e-06,1.52600413823872,0,0,4.40154208813744e-05,36.063974101423,212.920565544855
1920,0,2.07060633769098e-12,1.75602628836639e-06,1.45901940298662,0,0,4.20653737867225e-05,35.3276211194981,213.701744062041
1950,0,1.88806540608808e-12,1.63999078979999e-06,1.39623706292204,0,0,4.02390948486292e-05,34.619270748799,214.452091828961
1980,0,1.72495218533966e-12,1.53378714102154e-06,1.33731937261989,0,0,3.85265157793974e-05,33.9374164173846,215.173344019499
