Time,Patch,ZW,ZZ,MZ,MM,MW,RW,RZ,MR,RR
0,1,0,0,0,0,0,0,0,0,0
60,1,0,243.553237066239,0,0,0,0,0,0,0
120,1,0,247.4302108524,9.85415549894891,0,0,0,0,0,0
180,1,0,245.533411072771,3.60711511030203,0.0741339139200427,0,0,0,0,0
240,1,0,248.310552960843,1.25731802608208,0.0112123768071515,0,0,0,0,0
300,1,0,249.421574252986,0.425397433958301,0.00131352945055171,0,0,0,0,0
360,1,0,249.806575213822,0.141866722718269,0.000147090740927325,0,0,0,0,0
420,1,0,249.935771272824,0.0470712420750903,1.62320517305207e-05,0,0,0,0,0
480,1,0,249.978720228782,0.0155913678617293,1.78231588886015e-06,0,0,0,0,0
540,1,0,249.992954974903,0.00516135825970059,1.95372249461562e-07,0,0,0,0,0
600,1,0,249.997668198115,0.00170828871574462,2.14040934003862e-08,0,0,0,0,0
660,1,0,249.999228269785,0.000565367980055583,2.34449751692398e-09,0,0,0,0,0
720,1,0,249.999744596002,0.000187107888277873,2.56788684071346e-10,0,0,0,0,0
780,1,0,249.999915474838,6.19227153066933e-05,2.81250370355766e-11,0,0,0,0,0
840,1,0,249.999972026742,2.04930639566203e-05,3.08040191085851e-12,0,0,0,0,0
900,1,0,249.999990742373,6.78208878758595e-06,3.37381055180645e-13,0,0,0,0,0
960,1,0,249.99999693623,2.24450169697877e-06,3.69516365999136e-14,0,0,0,0,0
