"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,0,0,0,0,0,0,0,0
30,211.074940123261,0,0,0,0,0,0,0,0
60,243.553237066239,0,0,0,0,0,0,0,0
90,248.585967990154,0,0,0,0,0,0,0,0
120,231.534478518281,0,0,0,32.6961769552485,0,0,0,0
150,188.926748112326,0,0,0,66.8830626041429,0,0,0,0
180,151.304599111375,0,0,0,87.8016630433149,0,0,0,0
210,132.487939283444,0,0,0,80.5554873528487,0,0,0,0
240,134.638432783102,0,0,0,74.7364508621727,0,0,0,0
270,142.477178195512,0,0,0,69.8220469847071,0,0,0,0
300,152.679030566115,0,0,0,64.4194964859007,0,0,0,0
330,164.493520218108,0,0,0,57.9329595059176,0,0,0,0
360,177.440552777033,0,0,0,50.342623904222,0,0,0,0
390,190.908784280262,0,0,0,41.9145351710983,0,0,0,0
420,204.080871959459,0,0,0,33.1897794533211,0,0,0,0
450,216.073742730791,0,0,0,24.8738381663512,0,0,0,0
480,226.177025995172,0,0,0,17.6271842919388,0,0,0,0
510,234.049064011437,0,0,0,11.8541104372442,0,0,0,0
540,239.752643167608,0,0,0,7.62010492979188,0,0,0,0
570,243.633539690629,0,0,0,4.72601588723111,0,0,0,0
600,246.143779947281,0,0,0,2.85472097341772,0,0,0,0
630,247.706289189469,0,0,0,1.69321866045992,0,0,0,0
660,248.652453470857,0,0,0,0.992378410773899,0,0,0,0
690,249.214698390316,0,0,0,0.577277253307005,0,0,0,0
720,249.544690589003,0,0,0,0.334277242638273,0,0,0,0
750,249.736848451732,0,0,0,0.193038972495856,0,0,0,0
780,249.84819849133,0,0,0,0.111297773607808,0,0,0,0
810,249.912531436015,0,0,0,0.0641093964834083,0,0,0,0
840,249.949634122098,0,0,0,0.0369080665271183,0,0,0,0
870,249.971009866606,0,0,0,0.0212414774188764,0,0,0,0
900,249.983317362725,0,0,0,0.0122227685347273,0,0,0,0
930,249.990401096875,0,0,0,0.00703249107749548,0,0,0,0
960,249.994477379519,0,0,0,0.00404597065043494,0,0,0,0
990,249.996822763396,0,0,0,0.0023276692225779,0,0,0,0
