"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,0,0,0,0,0,0,0,0
30,0,211.074940123261,0,0,0,0,0,0,0
60,0,243.553237066239,0,0,0,0,0,0,0
90,0,248.585967990154,0,0,0,0,0,0,0
120,0,209.641977045388,12.0549996088854,115.854608688423,0,0,2.82771595763978,0,0
150,0,124.890819241173,54.4660025651898,169.458765279261,0,0,16.8355253494579,2.62010026512112,0.345584028090037
180,0,65.8541070600061,62.2804953540925,227.058154702758,0,0,24.0605701028872,9.42312882161309,1.5027843000513
210,0,39.8872954056454,67.1242847309321,135.258324640837,0,0,30.6908582635207,21.9445493079023,4.17425001403926
240,0,32.8507508003894,56.6245872481901,103.476578032074,0,0,37.7363587680514,30.0924197960439,8.59445614930754
270,0,31.7444797537715,49.4274889242183,83.673520007261,0,0,45.8082485279787,33.8901463303687,14.0737123551882
300,0,32.0905491620487,43.5993943186568,66.2275296524084,0,0,54.3576129124246,36.1957847432456,20.5457306518759
330,0,33.5040376270911,38.1189604934259,50.098715480904,0,0,63.4204309783277,36.0357687982878,27.7059134378295
360,0,35.6670813972042,32.5012723601184,35.4892714571772,0,0,72.987491872568,33.6682808656399,35.3538699933448
390,0,38.3911833204539,26.6553107378048,23.1208922460126,0,0,82.8553820722324,29.3717812768165,43.1394717821446
420,0,41.397574232919,20.7443617921895,13.6133952835578,0,0,92.5373978783389,23.7813886268403,50.5985032493164
450,0,44.3517857492975,15.1592136039928,7.14761316920814,0,0,101.366460344154,17.783750171356,57.210424567201
480,0,46.9397740164877,10.3516913368764,3.32699436221066,0,0,108.732655957818,12.2831465771005,62.5701047050213
510,0,48.9688453810704,6.62149987113926,1.37813453121378,0,0,114.32521750219,7.88764590564707,66.5302633675493
540,0,50.4072750095633,4.00248178454515,0.514508031273937,0,0,118.207886565084,4.76647498134734,69.2143424597101
570,0,51.3441374296278,2.31464112342327,0.176345744519793,0,0,120.703613202314,2.75075750497015,70.9055216619956
600,0,51.9152583718594,1.29691809059455,0.056624876465669,0,0,122.212886968657,1.53760172410138,71.9125139015005
630,0,52.2470242749113,0.711663090466195,0.0173570305353746,0,0,123.085493550085,0.842044458960151,72.4882169335762
660,0,52.4334718526856,0.385492841883815,0.00515761551147249,0,0,123.574548569605,0.455465556789613,72.8084256982798
690,0,52.5360156266428,0.207225137659616,0.00150272516683972,0,0,123.84310308531,0.244614176577123,72.9834101518508
720,0,52.5916587095058,0.110912825348135,0.000432661305165977,0,0,123.988698716864,0.13085206106718,73.0779980477691
750,0,52.6216081118992,0.0592207690540325,0.000123712114792748,0,0,124.067024734355,0.0698449298330642,73.1287960065177
780,0,52.6376516900807,0.0315787386128914,3.52352543736178e-05,0,0,124.108971173068,0.0372373509736529,73.1559736456167
810,0,52.6462227167517,0.0168270024691668,1.00138629925534e-05,0,0,124.13137679619,0.0198403235493249,73.1704826740992
840,0,52.6507946506665,0.00896299149562051,2.84257710343551e-06,0,0,124.143327274647,0.0105675003334389,73.1782190520067
870,0,52.653231329655,0.00477321009600532,8.06390080562159e-07,0,0,124.149696142051,0.00562752774398345,73.1823413996537
900,0,52.654529387959,0.00254167953598076,2.28680373519372e-07,0,0,124.15308884877,0.00299654887158812,73.1845371905407
930,0,52.6552207089508,0.00135333652329816,6.48384672666322e-08,0,0,124.154895712709,0.00159552235847004,73.1857065548396
960,0,52.6555888426031,0.000720571977912314,1.83820495008527e-08,0,0,124.155857873711,0.000849518038492495,73.1863292296041
990,0,52.6557848620054,0.00038365580585308,5.21113557491796e-09,0,0,124.156370191477,0.000452309825458979,73.1866607781441
