"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,0,0,0,0,0,0,0,0
30,0,211.074940123261,0,0,0,0,0,0,0
60,0,243.553237066239,0,0,0,0,0,0,0
90,0,248.585967990154,0,0,0,0,0,0,0
120,0,205.606664298858,14.3137023012191,126.067521302914,0,0,0,0,0
150,0,119.514183731912,67.2568864136015,195.811889624644,0,0,0,0,0
180,0,59.2954392515029,76.4828703071235,281.903158917519,0,0,0,0,0
210,0,32.9672771026122,84.8586977028124,217.35163140346,0,0,0,0,0
240,0,22.3921739347236,74.488907581941,213.678361689572,0,0,0,0,0
270,0,16.3266037621319,65.126058603847,222.39480325456,0,0,0,0,0
300,0,11.4629684520477,56.5522317605215,233.93964711411,0,0,0,0,0
330,0,7.70360907137318,47.6284644017465,243.4397252444,0,0,0,0,0
360,0,4.91934932090475,38.7525934987511,248.808430691266,0,0,0,0,0
390,0,2.98992801832587,30.3892453693289,248.755518566053,0,0,0,0,0
420,0,1.73297765934332,22.9675538726364,242.661722592201,0,0,0,0,0
450,0,0.960464363767583,16.7315626629727,230.451283149119,0,0,0,0,0
480,0,0.509990054131431,11.7458250190405,212.501348970687,0,0,0,0,0
510,0,0.259549637667582,7.93328628801566,189.534297332854,0,0,0,0,0
540,0,0.126349958850183,5.13510607629747,162.536761768679,0,0,0,0,0
570,0,0.0585081350094536,3.16192933669786,132.754075846913,0,0,0,0,0
600,0,0.0255040763630134,1.82912754165172,101.770982416923,0,0,0,0,0
630,0,0.0102900847175676,0.975049266941617,71.6475698618626,0,0,0,0,0
660,0,0.00375113654121396,0.466102082270897,44.9406136576258,0,0,0,0,0
690,0,0.0012003130668594,0.193400382977646,24.2220970380465,0,0,0,0,0
720,0,0.000328682994312168,0.0676562375279285,10.8555817359929,0,0,0,0,0
750,0,7.6149187713349e-05,0.01967588008017,3.97754027184472,0,0,0,0,0
780,0,1.50164628803455e-05,0.00478139373372258,1.19605232501967,0,0,0,0,0
810,0,2.56422767350053e-06,0.000988333121597496,0.30052903173634,0,0,0,0,0
840,0,3.86954127550109e-07,0.000177586618804157,0.0645574169620123,0,0,0,0,0
870,0,5.25893896988858e-08,2.83138451482414e-05,0.012120104154442,0,0,0,0,0
900,0,6.54189711643896e-09,4.07745962802047e-06,0.00202751212512203,0,0,0,0,0
930,0,7.54958715718126e-10,5.3835257583147e-07,0.000307214053985351,0,0,0,0,0
960,0,8.17303352703732e-11,6.59827961558922e-08,4.27486226318674e-05,0,0,0,0,0
990,0,8.37658885070273e-12,7.58532702123352e-09,5.52611565810062e-06,0,0,0,0,0
