"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,0,0,0,0,0,0,0,0
30,211.074940123261,0,0,0,0,0,0,0,0
60,243.553237066239,0,0,0,0,0,0,0,0
90,248.585967990154,0,0,0,0,0,0,0,0
120,210.195334241253,0,0,0,78.360743368363,5.69279952887845,0,0,0
150,128.946336395289,0,0,0,121.093900962214,26.9279650891114,0,0,0
180,77.2884388210676,0,0,0,136.362589382762,36.4024960571282,0,0,0
210,57.6951327484702,0,0,0,85.1939781204636,49.3433874950287,0,0,0
240,62.2239619807234,0,0,0,73.4663022877278,63.8336575932803,0,0,0
270,71.2403587857462,0,0,0,59.3246454582325,82.8976004079974,0,0,0
300,81.1454452495745,0,0,0,44.419491357875,100.754738207531,0,0,0
330,89.8517256168935,0,0,0,30.1016448690056,115.630271444016,0,0,0
360,96.5386127992753,0,0,0,18.563128274818,126.519822239382,0,0,0
390,101.065283223114,0,0,0,10.5767667411871,133.668364650816,0,0,0
420,103.833288602227,0,0,0,5.68091331877365,137.946517278821,0,0,0
450,105.398549148333,0,0,0,2.93263802812612,140.333247736713,0,0,0
480,106.236391646337,0,0,0,1.47748648805322,141.6001409816,0,0,0
510,106.668881119014,0,0,0,0.734096522515757,142.250872692093,0,0,0
540,106.887125448005,0,0,0,0.362012186172571,142.578306869402,0,0,0
570,106.99577300299,0,0,0,0.177827767834133,142.741049161047,0,0,0
600,107.049439213678,0,0,0,0.0871802174251257,142.821363826166,0,0,0
630,107.075831701563,0,0,0,0.0426980761396688,142.860842743866,0,0,0
660,107.088780229985,0,0,0,0.020901962300314,142.880206696593,0,0,0
690,107.095124815746,0,0,0,0.0102296720639734,142.889693467689,0,0,0
720,107.098231463604,0,0,0,0.00500593590756016,142.89433837251,0,0,0
750,107.099752107409,0,0,0,0.00244953602302036,142.896611881465,0,0,0
780,107.100496297506,0,0,0,0.00119858854197848,142.897724496908,0,0,0
810,107.100860463859,0,0,0,0.000586476229708786,142.898268945613,0,0,0
840,107.101038658725,0,0,0,0.000286964234303277,142.898535355476,0,0,0
870,107.101125851435,0,0,0,0.000140411827845115,142.898665712446,0,0,0
900,107.101168515274,0,0,0,6.87035077334608e-05,142.898729496704,0,0,0
930,107.101189390783,0,0,0,3.36165998930091e-05,142.898760706461,0,0,0
960,107.101199605184,0,0,0,1.64485830164846e-05,142.898775977412,0,0,0
990,107.10120460309,0,0,0,8.0482806950873e-06,142.898783449487,0,0,0
