"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,0,0,0,0,0,0,0,0
30,211.074940123261,0,0,0,0,0,0,0,0
60,243.553237066239,0,0,0,0,0,0,0,0
90,248.585967990154,0,0,0,0,0,0,0,0
120,215.87443526008,0,0,0,82.106240939422,11.1711722921495,0,0,0
150,139.080265262767,0,0,0,111.682448435105,51.1733076968571,0,0,0
180,93.1009335443446,0,0,0,124.982098736552,71.8780868494913,0,0,0
210,75.1378959769266,0,0,0,57.7283680617218,94.6034401262087,0,0,0
240,83.965504183902,0,0,0,35.4678850000838,113.094589183744,0,0,0
270,91.9203573958652,0,0,0,18.3461242110029,129.69134094692,0,0,0
300,97.2719242673071,0,0,0,8.52689894165639,139.214246248466,0,0,0
330,99.9977935475866,0,0,0,3.69440709793155,144.016107687116,0,0,0
360,101.268209566599,0,0,0,1.53887328034513,146.190492205313,0,0,0
390,101.81937415313,0,0,0,0.628419131813001,147.127830095747,0,0,0
420,102.05098009213,0,0,0,0.254263395114413,147.518852608971,0,0,0
450,102.146260034852,0,0,0,0.102459155409301,147.679318623768,0,0,0
480,102.18505277368,0,0,0,0.0412161953145559,147.744521095369,0,0,0
510,102.200748402069,0,0,0,0.0165681660500027,147.770880592686,0,0,0
540,102.207078814067,0,0,0,0.00665815842375185,147.781506075193,0,0,0
570,102.209627397092,0,0,0,0.00267536109831702,147.785782751001,0,0,0
600,102.210652487525,0,0,0,0.00107495417271923,147.787502648658,0,0,0
630,102.21106458738,0,0,0,0.00043190590417155,147.788194019125,0,0,0
660,102.211230212958,0,0,0,0.000173534158141615,147.788471873491,0,0,0
690,102.211296769367,0,0,0,6.97235442576731e-05,147.788583526525,0,0,0
720,102.211323512969,0,0,0,2.80138884612378e-05,147.788628390263,0,0,0
750,102.211334258617,0,0,0,1.12555602430187e-05,147.78864641652,0,0,0
780,102.211338576155,0,0,0,4.52231438720736e-06,147.788653659342,0,0,0
810,102.211340310898,0,0,0,1.8169975832097e-06,147.788656569428,0,0,0
840,102.211341007896,0,0,0,7.30042148157839e-07,147.788657738664,0,0,0
870,102.21134128794,0,0,0,2.93319889932041e-07,147.788658208446,0,0,0
900,102.211341400458,0,0,0,1.17851493361813e-07,147.788658397198,0,0,0
930,102.211341445666,0,0,0,4.73509466456309e-08,147.788658473035,0,0,0
960,102.21134146383,0,0,0,1.90248938081017e-08,147.788658503506,0,0,0
990,102.211341471127,0,0,0,7.64391442889001e-09,147.788658515749,0,0,0
