"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,0,0,0,0,0,0,0,0
30,0,211.074940123261,0,0,0,0,0,0,0
60,0,243.553237066239,0,0,0,0,0,0,0
90,0,248.585967990154,0,0,0,0,0,0,0
120,0,219.819684702209,4.51743416698208,101.591856402435,0,0,13.5523025009462,0,0
150,0,128.450108830694,17.0799651220575,120.363116455326,0,0,71.8984823555537,5.89116557864794,7.10188738194235
180,0,70.092930903359,17.030097121466,128.497609664806,0,0,94.3392579193069,16.5675705274359,25.1529588123841
210,0,43.2194341027514,14.1267636314756,23.7199282797714,0,0,102.220033911023,23.98417958683,49.7329386081311
240,0,40.7705632899073,7.39458343253543,4.12089922854641,0,0,109.123638634897,13.8276110486904,68.3577695746282
270,0,41.9558391215855,3.40044567120807,0.708055434290451,0,0,115.316837945824,5.70272394905065,78.0467936165366
300,0,42.7645477587058,1.38719905810988,0.112135878022069,0,0,118.852992213418,2.14759303246297,82.3364392868527
330,0,43.1702751967885,0.529451053966584,0.0165068692992203,0,0,120.478379431057,0.779576069554541,84.0126382644106
360,0,43.3372028353411,0.195010667698302,0.00230452281788177,0,0,121.140362182437,0.27942451216982,84.6484891642965
390,0,43.4024715019155,0.0705927830510604,0.000310510131547072,0,0,121.394617876412,0.0997932577928955,84.8825877733624
420,0,43.4268333743557,0.0253504661743912,4.08996317264636e-05,0,0,121.489058717316,0.0356172646777946,84.9679877723756
450,0,43.4357848593072,0.00907198508938087,5.31263890492684e-06,0,0,121.52353938471,0.0127128766235424,84.998847332167
480,0,43.439029079304,0.0032418688927714,6.84393484628326e-07,0,0,121.536003810293,0.00453816307082059,85.0099552491886
510,0,43.440198500463,0.00115782188397226,8.7746171808074e-08,0,0,121.540485899914,0.00162012734666561,85.0139395624542
540,0,43.440618186493,0.000413421794155549,1.12198069876803e-08,0,0,121.542092647208,0.000578407443835149,85.0153663332252
570,0,43.4407685139361,0.000147607863245831,1.43252502933838e-09,0,0,121.542667662788,0.00020650246287021,85.0158765987433
600,0,43.4408222816975,5.27002334051337e-05,1.8275686015886e-10,0,0,121.542873239897,7.37257556201211e-05,85.0160589701428
630,0,43.4408414995431,1.88152856849625e-05,2.33056848329334e-11,0,0,121.5429466953,2.63217180523228e-05,85.0161241208419
660,0,43.4408483650993,6.7174952974295e-06,2.97135193450698e-12,0,0,121.542972932988,9.39744096862356e-06,85.0161473898316
690,0,43.4408508172061,2.39829888112965e-06,3.78788391047195e-13,0,0,121.542982303062,3.35509727493058e-06,85.0161556991817
720,0,43.4408516928574,8.56246907628754e-07,4.82851717668897e-14,0,0,121.542985648939,1.19784514139264e-06,85.0161586661938
750,0,43.4408520055264,3.05699443076403e-07,6.15485705206095e-15,0,0,121.542986843609,4.27657657591713e-07,85.016159725564
780,0,43.4408521171649,1.09141583499002e-07,7.84540988428711e-16,0,0,121.542987270157,1.52683404947643e-07,85.0161601038002
810,0,43.4408521570242,3.89660015387938e-08,1.0000231090867e-16,0,0,121.54298742245,5.45114108338616e-08,85.0161602388426
840,0,43.4408521712553,1.39117393620712e-08,1.27468479001302e-17,0,0,121.542987476823,1.94618001721654e-08,85.0161602870565
870,0,43.4408521763362,4.96680397927171e-09,1.62478074085044e-18,0,0,121.542987496235,6.94830055583609e-09,85.0161603042701
900,0,43.4408521781502,1.7732607763924e-09,2.07102967551019e-19,0,0,121.542987503166,2.48069963717403e-09,85.0161603104158
930,0,43.4408521787978,6.33093996263047e-10,2.6398404823525e-20,0,0,121.54298750564,8.85665586995244e-10,85.0161603126099
960,0,43.4408521790291,2.26028801508343e-10,3.36487511831591e-21,0,0,121.542987506524,3.16202542321999e-10,85.0161603133933
990,0,43.4408521791116,8.06973678638184e-11,4.28904072337728e-22,0,0,121.542987506839,1.12891422270568e-10,85.0161603136729
