"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,0,0,0,0,0,0,0,0
30,0,211.074940123261,0,0,0,0,0,0,0
60,0,243.553237066239,0,0,0,0,0,0,0
90,0,248.585967990154,0,0,0,0,0,0,0
120,0,197.668279176935,14.613413536657,158.269464851695,0,0,0,0,0
150,0,102.857849898973,69.0647804291654,244.757657149666,0,0,0,0,0
180,0,43.5955302117315,70.298701131967,344.500051735429,0,0,0,0,0
210,0,20.7602547763039,72.4154062937489,262.387864533602,0,0,0,0,0
240,0,12.3041003965299,60.3670252280177,243.953149692886,0,0,0,0,0
270,0,8.09287411111107,48.8369983539543,246.267121030753,0,0,0,0,0
300,0,5.12951421452806,39.6461114754725,249.357824523071,0,0,0,0,0
330,0,3.12582217477168,31.0739746688015,249.259205084164,0,0,0,0,0
360,0,1.81716894661031,23.5523571589917,243.464968659359,0,0,0,0,0
390,0,1.01070452441155,17.2044708444617,231.721209034831,0,0,0,0,0
420,0,0.538527369506681,12.1156539440689,214.207314235473,0,0,0,0,0
450,0,0.275052077962341,8.21009600348702,191.622244466882,0,0,0,0,0
480,0,0.134414102275641,5.33438388840262,164.915226024938,0,0,0,0,0
510,0,0.0625224909438929,3.29964117872339,135.309656888927,0,0,0,0,0
540,0,0.0274066974805248,1.91997356681493,104.355130140822,0,0,0,0,0
570,0,0.01113849012668,1.03144379223723,74.0679218905898,0,0,0,0,0
600,0,0.00409934119619822,0.498166543306384,46.971464843131,0,0,0,0,0
630,0,0.00132752983048231,0.209420749069704,25.6747008689899,0,0,0,0,0
660,0,0.00036852538636657,0.0743711433951723,11.6960123764004,0,0,0,0,0
690,0,8.65778455492839e-05,0.0219656697031701,4.35863140436831,0,0,0,0,0
720,0,1.72943139576436e-05,0.00541533209284773,1.33168817970365,0,0,0,0,0
750,0,2.98655772841998e-06,0.0011336513316282,0.339370357757434,0,0,0,0,0
780,0,4.55012754821146e-07,0.000205923856084422,0.0737961149541241,0,0,0,0,0
810,0,6.23403441701187e-08,3.31370460041544e-05,0.0140002311514382,0,0,0,0,0
840,0,7.80804361078013e-09,4.80980876698617e-06,0.00236310506620619,0,0,0,0,0
870,0,9.06322811673514e-10,6.39338819835713e-07,0.000360830294509929,0,0,0,0,0
900,0,9.86043495452964e-11,7.88147747118421e-08,5.0543655997595e-05,0,0,0,0,0
930,0,1.01491351801759e-11,9.10583360110453e-09,6.57146009292224e-06,0,0,0,0,0
960,0,9.95930534802783e-13,9.94645122679027e-10,8.00856237244907e-07,0,0,0,0,0
990,0,9.37722727676949e-14,1.03473412860856e-10,9.22420916177434e-08,0,0,0,0,0
