"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,150,0,0,0,0,0,0,0,0,0,0,100,0,0
30,187.151866461256,0,0,0,0,0,0,0,0,0,0,31.8509409260229,25.3616031927969,5.63591182062152
60,198.274449099016,0,0,0,0,0,0,0,0,0,0,24.8525061290003,18.2728824972332,8.60025325876791
90,196.897763513559,0,0,0,0,0,0,0,0,0,0,22.8454095744837,16.9243598774823,13.3324859112262
120,197.126041894481,0,0,0,0,0,0,0,0,0,0,20.5881172565824,15.2087386359814,17.0771061835758
150,197.087777454285,0,0,0,0,0,0,0,0,0,0,18.6913310734906,13.6571898628214,20.5637024453866
180,197.094082980131,0,0,0,0,0,0,0,0,0,0,16.9517320596702,12.2760880841094,23.6780970520458
210,197.093049845667,0,0,0,0,0,0,0,0,0,0,15.3742646784195,11.0436248190131,26.4890606939366
240,197.09321790271,0,0,0,0,0,0,0,0,0,0,13.94143057974,9.94308056408604,29.02227096126
270,197.093190771207,0,0,0,0,0,0,0,0,0,0,12.6408602567474,8.95858063845579,31.3073683352309
300,197.093195107303,0,0,0,0,0,0,0,0,0,0,11.4606926077617,8.07666531927665,33.3694469660044
330,197.093194421286,0,0,0,0,0,0,0,0,0,0,10.390062454605,7.2856453306029,35.2310977935786
360,197.093194528242,0,0,0,0,0,0,0,0,0,0,9.41899797033107,6.57536452361733,36.9124429778248
390,197.093194511813,0,0,0,0,0,0,0,0,0,0,8.53837731297826,5.93695417392952,38.4314740012829
420,197.093194514277,0,0,0,0,0,0,0,0,0,0,7.73987345746129,5.36264121147774,39.8042908167843
450,197.093194513917,0,0,0,0,0,0,0,0,0,0,7.01589715157143,4.84558939397541,41.0453189405366
480,197.093194513967,0,0,0,0,0,0,0,0,0,0,6.35954015131209,4.37976806678547,42.1674972679353
510,197.093194513961,0,0,0,0,0,0,0,0,0,0,5.76452014819629,3.95984270805245,43.1824426297908
540,197.093194513961,0,0,0,0,0,0,0,0,0,0,5.2251283196666,3.58108305018001,44.1005941161921
570,197.093194513961,0,0,0,0,0,0,0,0,0,0,4.73617999382544,3.23928546160985,44.9313400306036
600,197.093194513961,0,0,0,0,0,0,0,0,0,0,4.29296866152862,2.93070699219193,45.6831298323182
630,197.093194513961,0,0,0,0,0,0,0,0,0,0,3.89122339161801,2.65200902598469,46.3635730684361
660,197.093194513961,0,0,0,0,0,0,0,0,0,0,3.52706959229593,2.40020890142999,46.9795269923129
690,197.093194513961,0,0,0,0,0,0,0,0,0,0,3.19699299097808,2.17263818083936,47.5371743142213
720,197.093194513961,0,0,0,0,0,0,0,0,0,0,2.89780666325789,1.96690650239521,48.0420923203857
750,197.093194513961,0,0,0,0,0,0,0,0,0,0,2.62662091943395,1.7808701453959,48.499314421209
780,197.093194513961,0,0,0,0,0,0,0,0,0,0,2.3808158479607,1.61260459585865,48.9133850422195
810,197.093194513961,0,0,0,0,0,0,0,0,0,0,2.15801631472612,1.46038052425258,49.28840864706
840,197.093194513961,0,0,0,0,0,0,0,0,0,0,1.95606922216758,1.32264268715013,49.6280935767211
870,197.093194513961,0,0,0,0,0,0,0,0,0,0,1.77302284079267,1.19799134533075,49.9357912999154
900,197.093194513961,0,0,0,0,0,0,0,0,0,0,1.6071080362251,1.08516585645156,50.2145315933621
930,197.093194513961,0,0,0,0,0,0,0,0,0,0,1.45672122645931,0.98303015397024,50.4670541056091
960,197.093194513961,0,0,0,0,0,0,0,0,0,0,1.32040891591684,0.890559868008741,50.6958367021132
990,197.093194513961,0,0,0,0,0,0,0,0,0,0,1.19685366471572,0.806830880184706,50.9031209411383
