"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,75,0,0,175,0,0,0,0,0,0,0,0,0
30,0,122.350741504901,27.8220587580856,17.2231889570211,18.7755498938908,7.41920886074514,0,30.0301651434044,14.8384177214903,4.94613924049676,6.59485232066235,0,0,0
60,0,99.9216833055402,25.4743525901192,18.5686187103927,4.03242273693257,2.66121650751374,0.718525501068514,68.2886078762332,11.1638384370744,6.17091023261069,12.9999150865329,0,0,0
90,0,99.648308038336,17.4815807995541,11.6425165104004,1.25908810095678,0.900435909742118,0.375270360894325,86.9197308556925,7.75226858939327,5.02517634952735,18.9956433622542,0,0,0
120,0,99.0755350222879,11.1333967617463,7.32840373864942,0.46770172148613,0.339489120898076,0.15604201896828,98.1252866358121,5.44387028246589,3.67922897617176,24.2510496921348,0,0,0
150,0,99.1262365624288,7.01524445315656,4.6469155078392,0.182106666433698,0.132957787306932,0.061948859920577,104.926852413176,3.67113168884713,2.49568974541609,27.7409171514589,0,0,0
180,0,99.1139239542867,4.42102134931072,2.94687819569563,0.0719147382267315,0.0527820684198873,0.0244600251170366,109.227776626611,2.41786206923751,1.64118065694025,30.0822004921106,0,0,0
210,0,99.1158182630793,2.79019210087129,1.86826268564113,0.0285795921128134,0.0210501392293335,0.00969697371053931,111.936549013473,1.56814054693307,1.06247925938554,31.5992314626005,0,0,0
240,0,99.1154745687156,1.7628807764964,1.18385763785345,0.0113956035612569,0.00841187955551428,0.00385899074627643,113.648414061081,1.00770795640025,0.68184766937069,32.5761508640156,0,0,0
270,0,99.1155327034624,1.11463701273926,0.749930786106416,0.00455278029043884,0.00336523230338125,0.00153979212922583,114.730561199528,0.643930161495947,0.435318275744041,33.2006320578422,0,0,0
300,0,99.1155226514335,0.705097684247941,0.474953571272548,0.00182112947845317,0.00134720927270492,0.000615432752906285,115.415081911989,0.410049140255866,0.277049052130731,33.5984622175118,0,0,0
330,0,99.1155243666552,0.446165239970386,0.300762132143139,0.000729006534596636,0.000539566609540594,0.00024623822945857,115.848205090805,0.260552681803352,0.175978075170282,33.8512976021522,0,0,0
360,0,99.1155240738974,0.282374156048462,0.190440131934209,0.000291962148089499,0.000216160637890951,9.85860779989654e-05,116.122318295588,0.165336345735947,0.111642897269995,34.0117573906777,0,0,0
390,0,99.1155241235984,0.178733762321516,0.120578702006762,0.000116963497583472,8.66135353037214e-05,3.94870397114112e-05,116.295820098774,0.104826777809608,0.0707736165953232,34.1134998548247,0,0,0
420,0,99.1155241151858,0.113141376303302,0.0763427972759034,4.68657186583099e-05,3.47091783422434e-05,1.58199859836317e-05,116.405648392987,0.0664268497045954,0.0448438077720672,34.1779752658893,0,0,0
450,0,99.115524116603,0.0716237979423961,0.0483343912934718,1.87806862260757e-05,1.39102296933194e-05,6.33911402436362e-06,116.475174376746,0.0420792813965251,0.0284054444003207,34.2188195615883,0,0,0
480,0,99.1155241163651,0.0453426136527873,0.0306012076351639,7.52662056976938e-06,5.57499133578629e-06,2.54036332945659e-06,116.519188744792,0.0266501849120461,0.0179894263514548,34.2446880643163,0,0,0
510,0,99.1155241164048,0.0287054384442683,0.0193739047677499,3.01653990845511e-06,2.23442986124586e-06,1.01810231151584e-06,116.547053222852,0.0168761543554522,0.0113914845780708,34.261069409526,0,0,0
540,0,99.1155241163982,0.0181730221779936,0.012265730061008,1.20901333051829e-06,8.9556531071529e-07,4.08042049943756e-07,116.564693813827,0.0106858641083333,0.00721290137088433,34.2714420394356,0,0,0
570,0,99.1155241163993,0.0115051823905076,0.00776547731320347,4.84575336792184e-07,3.58949102056597e-07,1.63542167178959e-07,116.575861906362,0.00676584937704612,0.00456686908292729,34.2780095920083,0,0,0
600,0,99.1155241163992,0.0072838668574062,0.0049163406232954,1.94221236667961e-07,1.43870479691658e-07,6.55483473786538e-08,116.582932358585,0.00428371079433079,0.00289143728729313,34.2821677658133,0,0,0
630,0,99.1155241163992,0.0046113898997696,0.00311254169273883,7.78458401971157e-08,5.76650331632431e-08,2.6272311400271e-08,116.587408634474,0.00271211782824904,0.00183062985425946,34.2848004080693,0,0,0
660,0,99.1155241163992,0.00291946011836191,0.00197055251069918,3.12015512313538e-08,2.31129132160776e-08,1.05302260031915e-08,116.590242553437,0.00171708189832633,0.00115899604466389,34.2864671747473,0,0,0
690,0,99.1155241163992,0.00184830565689544,0.00124755760453102,1.25059958139676e-08,9.26398080684071e-09,4.22064592280275e-09,116.592036702805,0.00108710050269019,0.000733770047957458,34.2875224209937,0,0,0
720,0,99.1155241163992,0.00117016036069188,0.000789828956769737,5.0125787147704e-09,3.71313826253251e-09,1.69169201322369e-09,116.593172576749,0.000688249646273961,0.000464553634661474,34.2881905038366,0,0,0
750,0,99.1155241163992,0.00074082766058506,0.000500040752377749,2.00911437081291e-09,1.48828094769237e-09,6.78054194204542e-10,116.593891697653,0.000435733335232372,0.000294110403609621,34.2886134696207,0,0,0
780,0,99.1155241163992,0.000469017593851681,0.000316575781301959,8.0528284756744e-10,5.96525385862664e-10,2.7177404346542e-10,116.594346972691,0.000275863739730435,0.000186201876159761,34.2888812502455,0,0,0
810,0,99.1155241163992,0.000296934846288999,0.000200424097357183,3.22769469931766e-10,2.39096417844736e-10,1.08931086942768e-10,116.594635207122,0.000174649701178883,0.000117884627089511,34.2890507825359,0,0,0
840,0,99.1155241163992,0.000187989353293874,0.00012688847007016,1.29370895165353e-10,9.58334872257702e-11,4.36612216678497e-11,116.594817688243,0.000110570860913742,7.46328370549396e-05,34.2891581135681,0,0,0
870,0,99.1155241163992,0.000119016007175869,8.03330711122317e-05,5.18538255412962e-11,3.84115264765731e-11,1.75000805090765e-11,116.594933216988,7.00024584543208e-05,4.72500758383949e-05,34.2892260648929,0,0,0
900,0,99.1155241163992,7.53490048122085e-05,5.08588539669743e-05,2.07838057564416e-11,1.53959281033769e-11,7.01429915138872e-12,116.595006358207,4.43185701494827e-05,2.99140304074176e-05,34.2892690848912,0,0,0
930,0,99.1155241163992,4.7703437916436e-05,3.2198731534152e-05,8.33046763703529e-12,6.17092407921809e-12,2.81143837457815e-12,116.595052663897,2.80580891516221e-05,1.89385735208306e-05,34.289296320855,0,0,0
960,0,99.1155241163992,3.02010363800201e-05,2.03850111083736e-05,3.3389791698107e-12,2.4734010775036e-12,1.12686757495896e-12,116.595081980019,1.77635752359544e-05,1.19900099191303e-05,34.2893135639429,0,0,0
990,0,99.1155241163992,1.91202699440825e-05,1.29057467707878e-05,1.33831409374762e-12,9.91377130964067e-13,4.51665808495542e-13,116.595100540049,1.12461178353557e-05,7.59087404902102e-06,34.2893244805403,0,0,0
